gen	min         	avg         	max     	std        
0  	-3.32039e+08	-674432     	-1579.88	1.48342e+07
1  	-3.32038e+08	-674438     	-1579.88	1.48342e+07
2  	-3.32038e+08	-674459     	-1579.88	1.48342e+07
3  	-3.32038e+08	-674536     	-1579.88	1.48342e+07
4  	-3.32038e+08	-675141     	-1579.88	1.48341e+07
5  	-3.32038e+08	-675218     	-1579.88	1.48341e+07
6  	-3.32038e+08	-678511     	-1579.88	1.48342e+07
7  	-3.32038e+08	-678546     	-1579.88	1.48342e+07
8  	-3.32038e+08	-678632     	-1575.18	1.48341e+07
9  	-3.32038e+08	-678653     	-1575.18	1.48341e+07
10 	-3.32036e+08	-678728     	-1551.06	1.4834e+07 
11 	-3.32036e+08	-678795     	-1511.26	1.4834e+07 
12 	-3.32036e+08	-678847     	-1511.26	1.4834e+07 
13 	-3.32036e+08	-678910     	-1511.26	1.4834e+07 
14 	-3.32036e+08	-678954     	-1511.26	1.4834e+07 
15 	-3.32036e+08	-678993     	-1511.26	1.4834e+07 
16 	-3.32036e+08	-679046     	-1511.26	1.4834e+07 
17 	-3.32036e+08	-679065     	-1505.72	1.4834e+07 
18 	-3.32036e+08	-679072     	-1495.99	1.4834e+07 
19 	-3.32036e+08	-679376     	-1495.99	1.4834e+07 
20 	-3.32036e+08	-679437     	-1495.99	1.4834e+07 
21 	-3.32036e+08	-679443     	-1488.29	1.4834e+07 
22 	-3.32036e+08	-679514     	-1488.29	1.4834e+07 
23 	-3.32036e+08	-679535     	-1488.29	1.4834e+07 
24 	-3.32032e+08	-679624     	-1488.29	1.48338e+07
25 	-3.32032e+08	-679712     	-1488.29	1.48338e+07
26 	-3.32033e+08	-678545     	-1488.29	1.48339e+07
27 	-3.32033e+08	-678544     	-1488.29	1.48339e+07
28 	-3.32033e+08	-678487     	-1488.29	1.48339e+07
29 	-3.32033e+08	-678501     	-1488.29	1.48339e+07
30 	-3.32033e+08	-678585     	-1488.29	1.48339e+07
31 	-2.444e+10  	-4.88945e+07	-1488.29	1.09189e+09
32 	-2.444e+10  	-4.88946e+07	-1488.29	1.09189e+09
33 	-2.444e+10  	-4.88948e+07	-1488.29	1.09189e+09
34 	-2.444e+10  	-4.88948e+07	-1488.29	1.09189e+09
35 	-2.444e+10  	-4.88947e+07	-1488.29	1.09189e+09
36 	-2.444e+10  	-4.88948e+07	-1488.29	1.09189e+09
37 	-2.444e+10  	-4.88949e+07	-1488.29	1.09189e+09
38 	-2.444e+10  	-4.88949e+07	-1488.29	1.09189e+09
39 	-2.444e+10  	-4.88949e+07	-1488.29	1.09189e+09
40 	-2.444e+10  	-4.8895e+07 	-1488.29	1.09189e+09
41 	-2.444e+10  	-4.8895e+07 	-1488.29	1.09189e+09
42 	-2.444e+10  	-4.88951e+07	-1488.29	1.09189e+09
43 	-2.444e+10  	-4.88951e+07	-1488.29	1.09189e+09
44 	-2.444e+10  	-4.88951e+07	-1488.29	1.09189e+09
45 	-2.444e+10  	-4.88952e+07	-1488.29	1.09189e+09
46 	-2.444e+10  	-4.88956e+07	-1488.29	1.09189e+09
47 	-2.444e+10  	-4.88963e+07	-1487.01	1.09189e+09
48 	-2.444e+10  	-4.88964e+07	-1487.01	1.09189e+09
49 	-2.444e+10  	-4.88962e+07	-1487.01	1.09189e+09
50 	-2.444e+10  	-4.88962e+07	-1484.41	1.09189e+09
51 	-2.444e+10  	-4.88962e+07	-1484.41	1.09189e+09
52 	-2.444e+10  	-4.88971e+07	-1484.41	1.09189e+09
53 	-2.444e+10  	-4.88972e+07	-1484.41	1.09189e+09
54 	-2.444e+10  	-4.88973e+07	-1484.41	1.09189e+09
55 	-2.444e+10  	-4.88973e+07	-1484.41	1.09189e+09
56 	-2.444e+10  	-4.88974e+07	-1484.41	1.09189e+09
57 	-2.444e+10  	-4.88974e+07	-1484.41	1.09189e+09
58 	-2.444e+10  	-4.8898e+07 	-1484.41	1.09189e+09
59 	-2.444e+10  	-4.88978e+07	-1484.41	1.09189e+09
60 	-2.444e+10  	-4.88979e+07	-1484.41	1.09189e+09
61 	-2.444e+10  	-4.88979e+07	-1484.41	1.09189e+09
62 	-2.444e+10  	-4.8898e+07 	-1484.41	1.09189e+09
63 	-2.444e+10  	-4.88985e+07	-1484.41	1.09189e+09
64 	-2.444e+10  	-4.88988e+07	-1483.41	1.09189e+09
65 	-2.444e+10  	-4.88992e+07	-1483.41	1.09189e+09
66 	-2.444e+10  	-4.88992e+07	-1483.41	1.09189e+09
67 	-2.444e+10  	-4.88988e+07	-1483.41	1.09189e+09
68 	-2.444e+10  	-4.88986e+07	-1483.41	1.09189e+09
69 	-2.444e+10  	-4.88988e+07	-1483.41	1.09189e+09
70 	-2.444e+10  	-4.88989e+07	-1483.41	1.09189e+09
71 	-2.444e+10  	-4.88989e+07	-1483.41	1.09189e+09
72 	-2.444e+10  	-4.8899e+07 	-1483.41	1.09189e+09
73 	-2.444e+10  	-4.88991e+07	-1483.41	1.09189e+09
74 	-2.444e+10  	-4.88991e+07	-1483.41	1.09189e+09
75 	-2.444e+10  	-4.88986e+07	-1483.41	1.09189e+09
76 	-2.444e+10  	-4.88987e+07	-1483.41	1.09189e+09
77 	-2.444e+10  	-4.88987e+07	-1483.41	1.09189e+09
78 	-2.444e+10  	-4.88987e+07	-1475.59	1.09189e+09
79 	-2.444e+10  	-4.88983e+07	-1475.59	1.09189e+09
80 	-2.444e+10  	-4.88984e+07	-1475.59	1.09189e+09
81 	-2.444e+10  	-4.88999e+07	-1475.59	1.09189e+09
82 	-2.444e+10  	-4.89007e+07	-1475.59	1.09189e+09
83 	-2.444e+10  	-4.89007e+07	-1475.59	1.09189e+09
84 	-2.444e+10  	-4.89009e+07	-1475.59	1.09189e+09
85 	-2.444e+10  	-4.8901e+07 	-1475.59	1.09189e+09
86 	-2.444e+10  	-4.88978e+07	-1475.59	1.09189e+09
87 	-2.444e+10  	-4.88982e+07	-1475.59	1.09189e+09
88 	-2.444e+10  	-4.88987e+07	-1475.59	1.09189e+09
89 	-2.444e+10  	-4.88989e+07	-1475.59	1.09189e+09
90 	-2.444e+10  	-4.88992e+07	-1475.59	1.09189e+09
91 	-2.444e+10  	-4.88981e+07	-1475.59	1.09189e+09
92 	-2.444e+10  	-4.88981e+07	-1475.59	1.09189e+09
93 	-2.444e+10  	-4.88976e+07	-1475.59	1.09189e+09
94 	-2.444e+10  	-4.8896e+07 	-1475.59	1.09189e+09
95 	-2.444e+10  	-4.8896e+07 	-1475.59	1.09189e+09
96 	-2.444e+10  	-4.88961e+07	-1475.59	1.09189e+09
97 	-2.444e+10  	-4.88961e+07	-1475.59	1.09189e+09
98 	-2.444e+10  	-4.88961e+07	-1474.91	1.09189e+09
99 	-2.444e+10  	-4.88964e+07	-1474.91	1.09189e+09
