gen	min         	avg     	max     	std    
0  	-439465     	-6397.34	-1781.65	22702.1
1  	-439463     	-6447.41	-1769.97	22706.7
2  	-439463     	-6529.91	-1769.97	22747.9
3  	-439463     	-6557.21	-1769.97	22755.1
4  	-439463     	-6577.82	-1769.97	22742.1
5  	-439463     	-6683.01	-1769.97	22802.6
6  	-1.47789e+06	-9703.33	-1708.24	69609.6
7  	-1.47793e+06	-9726.02	-1708.24	69608.5
8  	-1.47793e+06	-9802.68	-1708.24	69600.5
9  	-1.47783e+06	-9823.42	-1697.35	69598.4
10 	-1.47783e+06	-10063.8	-1697.35	69769  
11 	-1.47788e+06	-10892.6	-1697.35	71983.1
12 	-1.47788e+06	-10992.3	-1697.35	72016.2
13 	-1.47788e+06	-11028.8	-1697.35	72014.9
14 	-1.47788e+06	-11662.6	-1697.35	73200.2
15 	-1.4766e+06 	-11654.8	-1697.35	73154.3
16 	-1.4766e+06 	-11813.1	-1684.73	73185.2
17 	-1.4766e+06 	-11885.7	-1684.73	73238.8
18 	-1.47662e+06	-11941.5	-1684.73	73248.9
19 	-1.47662e+06	-12320.4	-1684.73	73436.8
20 	-1.47671e+06	-12358.3	-1684.73	73455.6
21 	-1.47671e+06	-12484.9	-1684.73	73615.8
22 	-1.47671e+06	-12874.1	-1684.73	74729.4
23 	-1.47671e+06	-12919.1	-1684.73	74714.3
24 	-1.47668e+06	-12952.4	-1684.73	74738.9
25 	-1.47668e+06	-12996.8	-1680.42	74742.4
26 	-1.47668e+06	-13041.9	-1680.42	74745.8
27 	-1.47668e+06	-13034.7	-1680.42	74727.9
28 	-1.47707e+06	-13472  	-1680.42	75496  
29 	-1.47707e+06	-13612.2	-1680.42	75510.5
30 	-1.47698e+06	-13628.1	-1680.42	75556.7
31 	-1.47698e+06	-13804.5	-1680.42	75632.6
32 	-1.47698e+06	-13861.6	-1680.42	75665.6
33 	-1.47698e+06	-13853.3	-1680.42	75692.9
34 	-1.47684e+06	-14052.3	-1680.42	75731.9
35 	-1.47684e+06	-14238.3	-1680.42	75895.5
36 	-1.47684e+06	-14407  	-1680.42	75963.4
37 	-1.47705e+06	-14605.5	-1680.42	76070.6
38 	-1.47705e+06	-14973  	-1680.42	76480.3
39 	-1.47705e+06	-16982.6	-1680.42	87857.4
40 	-1.47714e+06	-16842.7	-1680.42	87702  
41 	-1.47714e+06	-16852.5	-1680.42	87639.6
42 	-1.47709e+06	-16962.4	-1680.42	87647.3
43 	-1.47709e+06	-16972.1	-1680.42	87646.5
44 	-1.47692e+06	-16984  	-1680.42	87673.5
45 	-1.47692e+06	-17528  	-1680.42	88086.8
46 	-1.47692e+06	-17885.7	-1680.42	88268.3
47 	-1.48059e+06	-17962.7	-1680.42	88359.4
48 	-1.48059e+06	-18023.8	-1673.93	88289.6
49 	-1.48072e+06	-18700.2	-1668.31	90645.5
50 	-1.47716e+06	-18814  	-1668.31	90555.9
51 	-1.47716e+06	-19005.7	-1668.31	90231.1
52 	-1.47716e+06	-19126.2	-1668.31	96429.5
