gen	min         	avg     	max     	std    
0  	-1.09809e+06	-18762.1	-4775.59	58221.9
1  	-515970     	-16683.3	-4775.59	34592.3
2  	-308385     	-16027.7	-4634.01	26740.8
3  	-309527     	-16005.1	-4583.44	26679.3
4  	-309570     	-16252.8	-4583.44	26486  
5  	-308276     	-16334.7	-4583.44	26512.5
6  	-247492     	-16271.4	-4548.41	24161.1
7  	-212112     	-16146.2	-4548.41	22940  
8  	-208257     	-15970.9	-4548.41	21214.7
9  	-189846     	-15802.2	-4548.41	18817.1
10 	-182954     	-15808.5	-4548.41	18825.9
11 	-335425     	-16800.5	-4548.41	23977.3
12 	-183476     	-16294.4	-4548.41	19744.5
13 	-144306     	-16053.9	-4548.41	18194.4
14 	-140380     	-15931.9	-4474.1 	17126.5
15 	-112390     	-15667.7	-4474.1 	16319.8
16 	-110468     	-15652.1	-4474.1 	15768.3
17 	-109947     	-15577.2	-4474.1 	15360.2
18 	-100697     	-15525.5	-4474.1 	14506.2
19 	-111901     	-15837  	-4437.92	15274.3
20 	-101670     	-15905  	-4437.92	15261.3
21 	-137099     	-16036.3	-4437.92	15685.8
22 	-101379     	-16065.6	-4437.92	14560.8
23 	-101069     	-16142.4	-4437.92	14389.2
24 	-99828.2    	-16125.2	-4429.29	14149.9
25 	-92136.7    	-16094.4	-4429.29	13627.1
26 	-100197     	-16192.6	-4429.29	13806.9
27 	-100197     	-16184  	-4429.29	13926.6
28 	-100367     	-16159.9	-4429.29	13496.5
29 	-98876.3    	-16306.2	-4429.29	13717.9
30 	-96851.5    	-16370.7	-4429.29	12995.6
31 	-278924     	-17035.5	-4429.29	17642.3
32 	-99372.5    	-16542.5	-4429.29	13290.1
33 	-99346      	-16972.2	-4429.29	14308.8
34 	-92474.3    	-17054  	-4429.29	13830  
35 	-92575.4    	-17560.5	-4429.29	14035.6
36 	-88023.9    	-17565.2	-4429.29	13498.1
37 	-105808     	-17609.3	-4429.29	13829.1
38 	-87815      	-17581.1	-4429.29	12976.8
39 	-83890.9    	-17437.7	-4429.29	12538.1
40 	-83454.5    	-17560.6	-4429.29	12681.3
41 	-76994.9    	-17598.2	-4429.29	12133.1
42 	-76294.2    	-17557.1	-4407.8 	11971.7
43 	-76076.9    	-17698.3	-4407.8 	12173.5
44 	-82032.8    	-18028.3	-4407.8 	12529  
45 	-78087.6    	-18102.9	-4407.8 	12492  
46 	-78089.6    	-18255.8	-4407.8 	12672.6
47 	-97527.5    	-18212.4	-4407.8 	12475.5
48 	-71880.6    	-18343.3	-4407.8 	12033.6
49 	-87892      	-18530.7	-4407.8 	12933.5
50 	-95367.2    	-18484.3	-4407.8 	12877.2
51 	-88640.4    	-18579.2	-4407.8 	12676.7
52 	-145100     	-19041.7	-4407.8 	14008.2
53 	-89320.1    	-18912.1	-4407.8 	13063.7
54 	-88418.7    	-18899  	-4407.8 	13251.7
55 	-90591.8    	-18945.9	-4407.8 	13167.8
56 	-86610.1    	-19000.5	-4407.8 	12882.2
57 	-76304.3    	-19030.3	-4407.8 	12210.4
58 	-73671.4    	-19130.6	-4407.8 	12162.7
59 	-80196.1    	-19389.6	-4407.8 	12554.2
60 	-75579.7    	-19524.9	-4407.8 	12752.9
61 	-71088.8    	-19622.4	-4406.93	12365.1
62 	-77765.6    	-19753.1	-4406.93	12409.4
63 	-85605.6    	-19891.5	-4406.93	12734.6
64 	-85605.6    	-19917.4	-4406.93	13001.2
65 	-85605.6    	-20219.4	-4406.93	13044.8
66 	-88736.9    	-20428.2	-4406.93	13615.6
67 	-85290.6    	-20496.9	-4406.93	13561.6
68 	-88709.4    	-20839.9	-4406.93	14144.4
69 	-105210     	-21333.7	-4406.93	15385.9
70 	-118820     	-21343.3	-4406.93	15252.8
71 	-114114     	-21531  	-4406.93	15102.8
72 	-114302     	-21757.1	-4406.93	15298.4
73 	-117708     	-22255.4	-4406.93	16255  
74 	-113019     	-22468.7	-4406.93	16336.5
75 	-140185     	-22910  	-4406.93	17480.6
76 	-126063     	-22884.6	-4406.93	17078.3
77 	-121803     	-23031  	-4406.93	16731  
78 	-121916     	-23165.7	-4406.93	16947.1
79 	-106442     	-23293.1	-4406.93	16863.5
80 	-106564     	-23515.5	-4406.93	17014.4
81 	-107392     	-23867.2	-4406.93	17200.4
82 	-97421.4    	-23868.8	-4406.93	16914.2
83 	-97907.3    	-23933.8	-4406.93	16732  
84 	-101501     	-23926.6	-4397.28	16595.3
85 	-102842     	-24066.8	-4397.28	16721.1
86 	-97675.4    	-24004.2	-4397.28	16827.1
87 	-91390.5    	-24189  	-4397.28	16635.6
88 	-114012     	-24414.9	-4397.28	16843.8
89 	-93136.9    	-24279  	-4397.28	16253.1
90 	-104226     	-24438.8	-4397.28	16436.7
91 	-105507     	-24863.9	-4397.28	16754.4
92 	-158634     	-25444.7	-4397.28	18068.9
93 	-105665     	-25405.6	-4397.28	17233.1
94 	-98159.3    	-25624.8	-4397.28	17445  
95 	-90293.4    	-25687.6	-4397.28	17526.7
96 	-109261     	-25947.8	-4397.28	17731  
97 	-89929      	-25895.7	-4397.28	17677.4
98 	-114468     	-26001.7	-4397.28	17454.2
99 	-101939     	-25869.8	-4397.28	17227.9
