gen	min     	avg     	max     	std    
0  	-335626 	-14287.5	-5163.4 	22851.4
1  	-189470 	-13813.9	-5163.4 	17763.1
2  	-177983 	-13498.4	-5157.33	16272.1
3  	-153791 	-13242.7	-5049.03	13739.9
4  	-153615 	-13680.1	-5049.03	14797.8
5  	-140272 	-13760.9	-5049.03	14396.1
6  	-134708 	-13606  	-5049.03	13470.2
7  	-134706 	-13671.4	-4934.41	13424.9
8  	-130176 	-14196.8	-4934.41	14340.8
9  	-170686 	-14533.8	-4934.41	15964.4
10 	-129905 	-14310.3	-4934.41	14503.7
11 	-130307 	-14202.9	-4934.41	13700  
12 	-308482 	-14898.1	-4934.41	18941.9
13 	-138397 	-14638.2	-4921.78	14870  
14 	-131016 	-15008  	-4916.04	15236.4
15 	-133592 	-15153.6	-4916.04	14939.8
16 	-133592 	-15486.6	-4847.89	15190.2
17 	-120862 	-15831.5	-4847.89	14988.6
18 	-120598 	-16026.3	-4847.89	15372.7
19 	-121531 	-15951.1	-4847.89	14841.5
20 	-109579 	-16085.6	-4746.39	14911.3
21 	-112288 	-16462.4	-4746.39	15698.1
22 	-109435 	-16426  	-4746.39	15211.2
23 	-108810 	-16503.8	-4746.39	14865.6
24 	-94539.1	-16443.7	-4695.54	14123.3
25 	-96933.4	-16581.9	-4695.54	14111.9
26 	-89044.4	-16489.1	-4695.54	13438.8
27 	-91190.2	-16677  	-4695.54	13437.7
28 	-91190.2	-16931.7	-4695.54	13733  
29 	-83187.7	-16939.8	-4695.54	13852.8
30 	-91851  	-16852.4	-4695.54	13364.6
31 	-82901.9	-16877.8	-4695.54	12681.4
32 	-80087.2	-16925.1	-4695.54	12113  
33 	-85685.6	-16994  	-4695.54	12402.6
34 	-81095.7	-17100.1	-4695.54	12084.7
35 	-81190.3	-17076  	-4695.54	12169  
36 	-77723.9	-17064.8	-4695.54	11842.5
37 	-77723.9	-17111  	-4695.54	11943.1
38 	-98906.1	-17175.4	-4695.54	12039.3
39 	-78214.1	-17099.4	-4695.54	11650.9
40 	-78085.3	-17119.2	-4695.54	11378.8
41 	-105141 	-17433.6	-4695.54	12172.1
42 	-84112.4	-17361.8	-4695.54	11710.1
43 	-79766.3	-17342.9	-4695.54	11383.9
44 	-79713.8	-17323.1	-4695.54	11292.8
45 	-78615  	-17638.3	-4695.54	11771.3
46 	-77059.3	-17817.9	-4695.54	11802.2
47 	-77307.5	-17925.9	-4695.54	11588.9
48 	-76848.6	-18013.4	-4695.54	11610.8
49 	-78451.1	-17900.2	-4695.54	11239.4
50 	-70625  	-18022.1	-4695.54	11328.5
51 	-235992 	-18448.5	-4685.11	14612.1
52 	-92701.4	-18293.1	-4685.11	11697.2
53 	-75291.5	-18308.2	-4685.11	11547.8
54 	-80405.7	-18377.8	-4685.11	11562.5
55 	-85772.6	-18514.6	-4685.11	11949  
56 	-71129.2	-18414.8	-4685.11	11245.1
57 	-71627.9	-18471.8	-4685.11	11136.6
58 	-71627.9	-18582.3	-4685.11	11328.9
59 	-96070.2	-18817.9	-4685.11	11830.6
60 	-72371.1	-18874.1	-4685.11	11680.6
61 	-71855.1	-18991.5	-4685.11	11825.4
62 	-69310  	-19092  	-4685.11	11444.6
63 	-65508.2	-18999.2	-4685.11	11183.7
64 	-68562.1	-18989.4	-4685.11	10938.1
65 	-66132.2	-19004.9	-4685.11	10829.5
66 	-66132.2	-19148.6	-4685.11	11196.7
67 	-67460.9	-19298.6	-4685.11	11169.2
68 	-68208.8	-19487  	-4685.11	11596.4
69 	-75551.6	-19603.1	-4685.11	12023.2
70 	-68293.9	-19664.9	-4685.11	11513.3
71 	-81643.5	-19609.7	-4685.11	11874.8
72 	-70289.6	-19634.3	-4685.11	11442.2
73 	-88220.2	-19902.6	-4685.11	11430.4
74 	-86446.3	-20161.9	-4685.11	11336.5
75 	-70230.1	-20370.1	-4685.11	11425.4
76 	-66495.3	-20421.2	-4685.11	11271.6
77 	-57549  	-20370  	-4685.11	11043.1
78 	-68249.3	-20482.4	-4685.11	11169.7
79 	-119475 	-20667.8	-4685.11	12102.9
80 	-82000.6	-20679.9	-4685.11	11834.2
81 	-78964.9	-20712.8	-4685.11	11828.9
82 	-63177.8	-20690.9	-4685.11	11600.3
83 	-89436.7	-20962.1	-4683.11	12231.2
84 	-76420.8	-21246  	-4683.11	12270.7
85 	-77113.7	-21234.1	-4683.11	12473  
86 	-77031.6	-21304.5	-4683.11	12521.4
87 	-99159.7	-21702.1	-4683.11	13131.5
88 	-99372.9	-21836.1	-4683.11	13501.3
89 	-100560 	-22021.8	-4683.11	13577  
90 	-79419.5	-21990.4	-4683.11	12962.6
91 	-148090 	-22218  	-4683.11	13793.9
92 	-201627 	-22623.7	-4683.11	15976.3
93 	-150918 	-22825.4	-4683.11	15979.1
94 	-147304 	-22812.2	-4683.11	15299.6
95 	-130153 	-22857.4	-4683.11	14627.4
96 	-125332 	-22926.2	-4683.11	14588.5
97 	-125321 	-22888.6	-4683.11	13944.4
98 	-125321 	-23019.4	-4683.11	14392.8
99 	-126029 	-23135.9	-4683.11	14172  
