gen	min     	avg     	max     	std    
0  	-62060.1	-3504.88	-1857.41	5789.57
1  	-58097.5	-3360.35	-1857.41	5216.97
2  	-56904.9	-3257.22	-1857.41	4591.13
3  	-51896.8	-3165.05	-1852.32	3925.51
4  	-49807.8	-3070.42	-1852.32	3375.98
5  	-34515.7	-3045.48	-1852.32	3005.02
6  	-32696.1	-3013.69	-1852.32	2531.77
7  	-24602.2	-2945.46	-1852.32	2134.81
8  	-22385.9	-2919.85	-1852.32	1937.28
9  	-24295.7	-2992.41	-1852.32	2242.28
10 	-22321  	-2967.55	-1852.32	2022.86
11 	-19528.8	-2935.35	-1852.32	1828.9 
12 	-34252.5	-2975.07	-1852.32	2227.36
13 	-20281  	-2953.05	-1852.32	1851.61
14 	-20281  	-2958.43	-1852.32	1901.48
15 	-20220  	-2941.72	-1852.32	1778.25
16 	-20220  	-2954.91	-1852.32	1743.3 
17 	-17191.8	-2946.62	-1852.32	1579.39
18 	-14453.9	-2924.66	-1852.32	1447.61
19 	-13607.6	-2909.41	-1852.32	1328.21
20 	-13607.6	-2927.16	-1852.32	1409.42
21 	-13563.7	-2947.5 	-1852.32	1413.38
22 	-13082.7	-2949.46	-1834.71	1368.93
23 	-12019  	-2931.3 	-1834.71	1285.03
24 	-11600.5	-2936.58	-1834.71	1265.14
25 	-13255.7	-2950.45	-1834.71	1307.36
26 	-13165.8	-2943.05	-1834.71	1249.7 
27 	-18487.4	-3000.03	-1834.71	1513.59
28 	-18539.1	-2982.26	-1834.71	1463.7 
29 	-14228.2	-2978.93	-1834.71	1351.81
30 	-11733.9	-3003.66	-1834.71	1314.04
31 	-10532.8	-2991.46	-1834.71	1256.1 
32 	-9620.44	-2995.68	-1834.71	1198.79
33 	-16858  	-3060.6 	-1834.71	1445.95
34 	-11324.8	-3042.72	-1834.71	1294.94
35 	-11410.4	-3038.06	-1834.71	1263.66
36 	-11335  	-3030.58	-1834.71	1229.22
37 	-10654  	-3042.79	-1834.71	1270.53
38 	-10196  	-3065.14	-1834.71	1298.84
39 	-10247.5	-3094.58	-1834.71	1341.67
40 	-10200.7	-3089.82	-1831.71	1293.07
41 	-9372.39	-3081.07	-1831.71	1227.57
42 	-9772.51	-3078.33	-1831.71	1196.55
43 	-11261.7	-3076.64	-1831.71	1236.67
44 	-8540.4 	-3068.48	-1831.71	1173.96
45 	-8802.01	-3080.45	-1831.71	1196.69
46 	-8573.98	-3098.89	-1831.71	1195.8 
47 	-8399.03	-3102.2 	-1831.71	1173.29
48 	-13827.9	-3159.23	-1831.71	1394.95
49 	-14742.9	-3191.21	-1831.71	1531.72
50 	-13889.7	-3183.81	-1831.71	1433.01
51 	-13833.1	-3219.24	-1831.71	1507.07
52 	-13753.4	-3223.44	-1831.71	1427.81
53 	-15325.5	-3259.58	-1831.71	1511.52
54 	-13537.5	-3248   	-1831.71	1411.02
55 	-10894.3	-3227.4 	-1831.71	1340.16
56 	-13870.1	-3268.98	-1831.71	1415.49
57 	-10862.3	-3261.77	-1831.71	1323.22
58 	-10313.2	-3264.15	-1831.71	1305.16
59 	-9844.45	-3267.95	-1831.71	1251.61
60 	-8924.3 	-3262.53	-1831.71	1228.54
61 	-7995.39	-3252.91	-1831.71	1183.12
62 	-8140.22	-3253.02	-1831.71	1198.99
63 	-8108.8 	-3257.34	-1831.71	1182.15
64 	-7933.33	-3248.27	-1831.71	1193.07
65 	-12316.4	-3261.02	-1831.71	1251.18
66 	-12317.9	-3281.25	-1831.71	1277.58
67 	-9667.62	-3281.57	-1831.71	1253.73
68 	-8833.71	-3332.77	-1831.71	1292.74
69 	-8286.06	-3342.74	-1831.71	1292.16
70 	-11096.2	-3346.25	-1831.71	1289.59
71 	-8229.08	-3343.57	-1831.71	1293.71
72 	-9645.62	-3345.55	-1831.71	1314.72
73 	-8990.8 	-3330.46	-1831.71	1285.71
74 	-10138.3	-3315.99	-1831.71	1265.91
75 	-9291.54	-3331.44	-1831.71	1271.57
76 	-10722.2	-3331.28	-1831.71	1275.87
77 	-10189.7	-3341.43	-1822.48	1261.24
78 	-9107.87	-3359.47	-1822.48	1270.79
79 	-9182.13	-3355.67	-1822.48	1282.79
80 	-9337.26	-3370.11	-1822.48	1328.13
81 	-9975.43	-3357.33	-1822.48	1328.12
82 	-9975.43	-3366.1 	-1822.48	1300.24
83 	-10033.4	-3363.6 	-1822.48	1296.58
84 	-12712.5	-3414.29	-1822.48	1429.33
85 	-10832.4	-3411.24	-1822.48	1397.98
86 	-12023.9	-3410.23	-1822.48	1381.73
87 	-10789.1	-3398.82	-1822.48	1335.52
88 	-10264  	-3396.92	-1822.48	1331.02
89 	-9835.26	-3402.94	-1822.48	1386.24
90 	-9383.7 	-3398.63	-1822.48	1299.32
91 	-8644.2 	-3403.58	-1822.48	1297.8 
92 	-19300.2	-3472.47	-1815.64	1605.35
93 	-14415.6	-3490   	-1815.64	1510.64
94 	-12474.2	-3521.42	-1815.64	1454.46
95 	-10021.7	-3510.85	-1815.64	1414.35
96 	-11425.4	-3542.24	-1815.64	1457.37
97 	-11638.7	-3553.85	-1815.64	1492.61
98 	-11617.8	-3561.56	-1815.64	1521.14
99 	-11617.8	-3578.29	-1815.64	1549.69
