gen	min         	avg     	max     	std    
0  	-1.12965e+06	-7880.59	-2836.36	50531.9
1  	-100131     	-5813.31	-2836.36	6872.09
2  	-90703      	-5695.79	-2776.83	5476.97
3  	-54594.8    	-5566.8 	-2776.83	3973.43
4  	-35527.5    	-5502.9 	-2776.83	3169.76
5  	-34552.2    	-5565.1 	-2776.83	3188.97
6  	-25659      	-5568.27	-2776.83	3004.38
7  	-25046      	-5599.6 	-2756.32	2976.38
8  	-24726.8    	-5624.98	-2756.32	2881.93
9  	-23777.3    	-5620.6 	-2756.32	2865.77
10 	-23761.5    	-5702.57	-2756.32	2882.74
11 	-23750      	-5705.32	-2756.32	2811.85
12 	-23724.6    	-5752.36	-2756.32	2928.01
13 	-23733.2    	-5788.28	-2756.32	2956.84
14 	-23796.2    	-5784.86	-2756.32	2921.64
15 	-22218.2    	-5821.41	-2756.32	2896.02
16 	-23821.2    	-5930.3 	-2756.32	3020.13
17 	-23180.4    	-5964.88	-2756.32	2961.76
18 	-29646.5    	-5988.15	-2756.32	3097.68
19 	-29646.5    	-6006.72	-2756.32	3013.61
20 	-21369.4    	-5984.51	-2756.32	2868.66
21 	-19999.5    	-6005.86	-2756.32	2832.35
22 	-24513.1    	-6051.59	-2756.32	2933.7 
23 	-24779.9    	-6096.14	-2756.32	2947.57
24 	-18818.6    	-6085.46	-2756.32	2806.74
25 	-19424.7    	-6105.17	-2756.32	2783.13
26 	-18600.1    	-6152.21	-2756.32	2893.79
27 	-18603.2    	-6146.23	-2756.32	2821.5 
28 	-21151.8    	-6194.18	-2756.32	2890.85
29 	-19328.7    	-6218.98	-2756.32	2921.06
30 	-19436.8    	-6231.12	-2756.32	2964.7 
31 	-19764.5    	-6239.39	-2756.32	2797.82
32 	-20336      	-6285.29	-2756.32	2932.7 
33 	-21798.3    	-6414.63	-2756.32	3159.7 
34 	-21750.3    	-6446.53	-2756.32	3142.35
35 	-21757.5    	-6498.99	-2756.32	3172.98
36 	-21940.4    	-6548.21	-2756.32	3172.36
37 	-21005.7    	-6614.22	-2756.32	3223.34
38 	-21005.7    	-6648.48	-2756.32	3243.75
39 	-20892.9    	-6710.23	-2756.32	3309.68
40 	-24296.2    	-6771.66	-2756.32	3387.44
41 	-28060.8    	-6802.15	-2756.32	3399.53
42 	-21107.7    	-6813.61	-2756.32	3320.04
43 	-21010      	-6840.51	-2756.32	3233.1 
44 	-28196.8    	-6883.39	-2756.32	3341.24
45 	-22360.1    	-6973.04	-2756.32	3481.17
46 	-32198.2    	-7009.01	-2756.32	3596.17
47 	-28581.2    	-6995.33	-2755.03	3422.29
48 	-20564.7    	-7020.44	-2755.03	3250.53
49 	-22562.5    	-7056.54	-2755.03	3346.53
50 	-46149.8    	-7157.65	-2755.03	3820.56
51 	-30451.6    	-7206.87	-2755.03	3802.02
52 	-34186.1    	-7375.51	-2755.03	3933.83
53 	-30437      	-7383.98	-2755.03	3911.62
54 	-26930.4    	-7413.03	-2755.03	3946.67
55 	-27126.6    	-7422.34	-2755.03	3946.74
56 	-26029.1    	-7429.41	-2755.03	3847.78
57 	-23282.1    	-7441.34	-2755.03	3757.28
58 	-26181.1    	-7453.63	-2755.03	3728.85
59 	-25900.5    	-7532.2 	-2755.03	3709.16
60 	-61806.1    	-7711.23	-2755.03	4539.72
61 	-30354      	-7656.34	-2755.03	3802.27
62 	-30354      	-7709.37	-2755.03	3814.61
63 	-79790.8    	-7922.09	-2755.03	5062.47
64 	-31452.9    	-7877.17	-2755.03	4128.65
65 	-30534.7    	-7901.44	-2755.03	4118.97
66 	-26105.4    	-7887.8 	-2755.03	4099.56
67 	-26258.2    	-7989.68	-2755.03	4248.56
68 	-27234.3    	-8001.2 	-2755.03	4224.35
69 	-27404.5    	-7989.32	-2755.03	4220.65
70 	-27274.7    	-8014.82	-2755.03	4224.73
71 	-30235.2    	-8034.49	-2755.03	4213.53
72 	-33908.2    	-8084.16	-2755.03	4317.96
73 	-26991.6    	-8128.62	-2755.03	4206.45
74 	-33561.5    	-8191.12	-2755.03	4410.16
75 	-28854.8    	-8146.26	-2755.03	4155.17
76 	-28850.9    	-8127.95	-2755.03	4083.02
77 	-25443.1    	-8126.72	-2755.03	4020.15
78 	-24879.9    	-8142.73	-2755.03	3929.88
79 	-24879.9    	-8191.43	-2755.03	4004.85
80 	-58597.6    	-8338.77	-2755.03	4655.3 
81 	-47091.9    	-8370.65	-2755.03	4576.36
82 	-47846.6    	-8416.13	-2755.03	4639.67
83 	-30036.9    	-8411.7 	-2755.03	4365.55
84 	-30219      	-8488.29	-2755.03	4497.69
85 	-30169.6    	-8533.8 	-2755.03	4540.82
86 	-30153.6    	-8554.13	-2755.03	4328.17
87 	-30215.3    	-8605.66	-2755.03	4373.67
88 	-28364.7    	-8582.36	-2755.03	4434.42
89 	-34083.2    	-8612.63	-2755.03	4424.55
90 	-60043.9    	-8784.31	-2755.03	5341.49
91 	-56861      	-8962.98	-2755.03	5678.9 
92 	-56197.5    	-8913.09	-2755.03	5274.97
93 	-37780.3    	-8804.7 	-2755.03	4749.33
94 	-29519.5    	-8816.61	-2755.03	4672.93
95 	-164375     	-9222.66	-2755.03	8397.55
96 	-37979.1    	-8993.44	-2755.03	4808.72
97 	-36236.3    	-9028.28	-2755.03	4854.29
98 	-36236.3    	-9085.85	-2755.03	5085.23
99 	-42395.9    	-9180.45	-2755.03	5305.16
