gen	min     	avg     	max     	std    
0  	-911766 	-8863.9 	-3199.52	41079.3
1  	-88730.1	-7214.09	-3185.95	7528.36
2  	-74312.8	-7234.15	-3185.95	7213.1 
3  	-57404.6	-7250.14	-3185.95	6951.97
4  	-48884.6	-7204.03	-3185.95	6510.01
5  	-49401.5	-7272.53	-3185.95	6658.92
6  	-50126.2	-7310.14	-3185.95	6553.12
7  	-48182.5	-7274.36	-3185.95	6309.66
8  	-47256.4	-7219.73	-3185.95	6115.8 
9  	-46048.2	-7253.37	-3185.95	5980.64
10 	-46024.8	-7264.84	-3185.95	5769.47
11 	-42805.1	-7248.31	-3185.95	5569.28
12 	-43429.5	-7359.87	-3185.95	5768.11
13 	-46220.4	-7364.68	-3185.95	5735.39
14 	-45651.4	-7328.48	-3185.95	5475.52
15 	-41962.1	-7365.3 	-3185.95	5527.15
16 	-51017  	-7466.94	-3185.95	5976.49
17 	-52566.4	-7649.61	-3114.93	6461.71
18 	-50861.5	-7605.31	-3114.93	6113.67
19 	-51527.9	-7536.54	-3052.23	5939.81
20 	-47367.6	-7595.5 	-3052.23	5952.19
21 	-44961.8	-7556.98	-3052.23	5487.63
22 	-44368.9	-7545.71	-3052.23	5231.88
23 	-44070.3	-7499.55	-3052.23	5022.92
24 	-34832.7	-7492.21	-3052.23	4686.18
25 	-34788.6	-7542.72	-3052.23	4689.52
26 	-34732  	-7560.43	-3052.23	4659.68
27 	-33945  	-7534.98	-3052.23	4539.43
28 	-84628.6	-7739.59	-3052.23	5787.87
29 	-34533.8	-7612.95	-3052.23	4655.59
30 	-34395.3	-7589.37	-3052.23	4591.79
31 	-34048  	-7616.27	-3052.23	4647.45
32 	-32471.5	-7589.53	-3052.23	4543.4 
33 	-34130  	-7572.92	-3052.23	4412.22
34 	-31638.5	-7596.99	-3052.23	4327.26
35 	-31475.8	-7588.79	-3052.23	4213.66
36 	-41951.4	-7797.24	-3052.23	4850.11
37 	-38823.5	-7794.23	-3048.23	4710.79
38 	-39123.2	-7906.9 	-3048.23	4898.16
39 	-45384.8	-8183.91	-3048.23	5606.47
40 	-41748.4	-8213.89	-3048.23	5472.62
41 	-40592.8	-8182.18	-3048.23	5306.62
42 	-42529  	-8224.5 	-3048.23	5360.09
43 	-42526.5	-8223   	-3048.23	5169.48
44 	-40041.2	-8247.57	-3048.23	5034.87
45 	-41040.1	-8337.33	-3048.23	5310.54
46 	-40987.9	-8358.74	-3048.23	5298.86
47 	-40985.9	-8346.93	-3048.23	5305.12
48 	-38307.6	-8353.24	-3048.23	5033.18
49 	-42574.5	-8411.5 	-3048.23	5202.48
50 	-37857  	-8431.24	-3048.23	4940.32
51 	-43858.2	-8479.85	-3048.23	5031.49
52 	-46778.7	-8694.96	-3048.23	5840.97
53 	-44980  	-8665.53	-3048.23	5623.65
54 	-43641.2	-8670.9 	-3048.23	5346.86
55 	-38380  	-8645.76	-3048.23	5018.79
56 	-32619.5	-8664.95	-3048.23	4739.58
57 	-33924.4	-8684.12	-3048.23	4826.73
58 	-29751.5	-8677.31	-3048.23	4774.53
59 	-42717.4	-8765.5 	-3048.23	4835.3 
60 	-29850  	-8740.2 	-3048.23	4709.4 
61 	-30668.6	-8747.14	-3048.23	4734.95
62 	-29065.1	-8718.14	-3048.23	4713.08
63 	-27848.4	-8712.67	-3048.23	4631.08
64 	-27429  	-8732.09	-3048.23	4516.53
65 	-26316  	-8736.94	-3048.23	4452.32
66 	-27281  	-8806.92	-3048.23	4498.56
67 	-35372.1	-8887.08	-3048.23	4734.24
68 	-29729.2	-8982.15	-3048.23	4880.83
69 	-30816  	-8928.13	-3048.23	4780.53
70 	-35641.3	-8977.5 	-3048.23	4975.76
71 	-35513.7	-9088.29	-3048.23	4974.4 
72 	-34220.7	-9125.16	-3048.23	4995.81
73 	-78417.7	-9447.59	-3048.23	6275.58
74 	-47391  	-9383.13	-3048.23	5492.81
75 	-34107.2	-9365.8 	-3048.23	5209.03
76 	-31930.2	-9395.42	-3048.23	5021.98
77 	-43445.7	-9595.66	-3048.23	5579.77
78 	-37613.6	-9583.17	-3048.23	5342.04
79 	-36709.9	-9623.97	-3048.23	5283.42
80 	-36330.7	-9656.89	-3048.23	5124.34
81 	-113462 	-10001.5	-3048.23	6973.08
82 	-113462 	-10117.5	-3048.23	7157.19
83 	-36527.8	-10013.6	-3048.23	5370.18
84 	-37623.6	-10058.9	-3048.23	5376.99
85 	-37602.1	-10084.5	-3048.23	5419.5 
86 	-35785.6	-10137.9	-3048.23	5343.02
87 	-42118.8	-10210.6	-3048.23	5515.98
88 	-36701  	-10232.6	-3048.23	5548.97
89 	-33507.2	-10172.1	-3048.23	5308.34
90 	-33576.5	-10288.2	-3048.23	5404.53
91 	-33786.8	-10307  	-3048.23	5415.56
92 	-46216.2	-10440.1	-3048.23	5623.47
93 	-48429.4	-10478.1	-3048.23	5780.29
94 	-49064.2	-10637.6	-3048.23	6111.04
95 	-49610.1	-10665  	-3007.29	6000.02
96 	-38736.2	-10708  	-3007.29	5831.01
97 	-49989.2	-10819.9	-3007.29	6152.6 
98 	-49828.3	-10885.9	-3007.29	6351.6 
99 	-38298.7	-10862.7	-3007.29	5973.98
