gen	min     	avg     	max     	std    
0  	-78437.8	-4217.83	-1657.83	6453.35
1  	-72667.5	-4088.1 	-1639.81	5541.5 
2  	-60350.9	-4017.56	-1586.12	4649.32
3  	-52948.5	-3948.99	-1586.12	4022.75
4  	-40293.6	-3834.52	-1586.12	3325.39
5  	-31075.7	-3805.52	-1574.72	3051.81
6  	-127187 	-4054.91	-1574.72	6298.66
7  	-31079.3	-3820.24	-1574.72	3034.04
8  	-24470.6	-3781.86	-1574.72	2807.94
9  	-22177.7	-3782.67	-1574.72	2783.57
10 	-22177.7	-3790.38	-1574.72	2803.93
11 	-21754  	-3793.79	-1571.92	2729.7 
12 	-21465.2	-3799.05	-1571.92	2682.75
13 	-144759 	-4123.11	-1571.92	6853.34
14 	-21354.6	-3878.33	-1571.92	2761.34
15 	-20382.5	-3868.39	-1571.92	2637.55
16 	-19247.3	-3869.73	-1571.92	2599.59
17 	-19247.3	-3895.97	-1571.92	2596.04
18 	-18357.5	-3881.07	-1536.05	2548.25
19 	-18079.7	-3889.11	-1536.05	2547.78
20 	-17134.6	-3859.21	-1536.05	2488.89
21 	-16753.5	-3876.87	-1536.05	2486.26
22 	-147633 	-4119.22	-1536.05	6863.12
23 	-16753.5	-3853.2 	-1526.75	2401.11
24 	-20984.8	-3865.74	-1526.75	2497.86
25 	-16993.5	-3845.6 	-1526.75	2360.11
26 	-16975  	-3847.57	-1526.75	2310.31
27 	-60497.6	-3979.32	-1526.75	3453.19
28 	-16745.7	-3878.12	-1526.75	2380.53
29 	-16539.5	-3857.14	-1526.75	2300.7 
30 	-15955.4	-3843.66	-1526.75	2258.01
31 	-16090  	-3884.01	-1526.75	2344.1 
32 	-15250.3	-3890.98	-1526.75	2283.1 
33 	-15257.9	-3896.98	-1526.75	2228.54
34 	-43342.1	-4040.67	-1526.75	2931.36
35 	-16359.1	-3980.56	-1526.75	2386.41
36 	-15456.5	-3972.71	-1526.75	2351.86
37 	-15456.5	-3963.85	-1526.75	2293.46
38 	-15246.3	-3993.38	-1526.75	2322.61
39 	-17988.2	-4018.93	-1526.75	2412.88
40 	-17988.2	-4018.83	-1526.75	2423.73
41 	-16397.4	-4065.28	-1525.86	2439.4 
42 	-16353.8	-4070.08	-1516.56	2423.15
43 	-18979.2	-4094.24	-1516.56	2510.89
44 	-18979.2	-4137.36	-1516.56	2544.56
45 	-20945.7	-4145.34	-1516.56	2589.82
46 	-18652.9	-4151.94	-1516.56	2455.57
47 	-15657.6	-4136   	-1516.56	2390.65
48 	-20695.8	-4199.51	-1516.56	2494.77
49 	-15677.4	-4174.28	-1516.56	2388.38
50 	-15108.5	-4169.77	-1516.56	2375.75
51 	-15108.5	-4202.8 	-1516.56	2495.94
52 	-15108.5	-4230.07	-1516.56	2472.27
53 	-15032.2	-4232.24	-1516.56	2422.47
54 	-13945  	-4236.21	-1516.56	2400.36
55 	-16088.7	-4243.53	-1516.56	2433.77
56 	-15974.8	-4255.39	-1516.56	2414.13
57 	-18878.7	-4290.69	-1516.56	2518.33
58 	-18878.7	-4261.59	-1516.56	2424.59
59 	-18878.7	-4312.27	-1516.26	2445.22
60 	-18878.7	-4323.93	-1516.26	2507.15
61 	-17663.3	-4337.99	-1516.26	2467.35
62 	-17726.8	-4377.05	-1516.26	2540.87
63 	-16353  	-4365.95	-1516.26	2513.73
64 	-16247  	-4386.13	-1516.26	2489.22
65 	-15678.3	-4365.2 	-1516.26	2473.58
66 	-15678.3	-4346.46	-1516.26	2439.67
67 	-14276.1	-4372.91	-1515.61	2445.04
68 	-23395.2	-4411   	-1515.61	2602.44
69 	-23395.2	-4417.58	-1513.56	2598.47
70 	-19099.9	-4392.03	-1513.56	2526.89
71 	-19099.9	-4421.09	-1513.56	2549.54
72 	-13897.9	-4420.06	-1513.56	2462.01
73 	-14757.3	-4420.38	-1513.56	2506.6 
74 	-13671.2	-4427.82	-1513.56	2450.04
75 	-16247.9	-4442.39	-1513.56	2515.03
76 	-13703.6	-4456.4 	-1513.56	2529.45
77 	-14654.7	-4480.93	-1513.56	2524.81
78 	-66292.4	-4616.39	-1513.56	3823.4 
79 	-28870.1	-4604.43	-1513.56	3061.85
80 	-66561.8	-4818.23	-1513.56	4254.24
81 	-47684.6	-4845.22	-1513.56	3816.92
82 	-29038.9	-4802.57	-1513.56	3415.81
83 	-26495.2	-4773.57	-1513.56	3218.49
84 	-26495.2	-4750.53	-1513.56	3140.5 
85 	-24359.4	-4760.64	-1513.56	3037.03
86 	-17273.9	-4751.38	-1513.56	2929.13
87 	-17273.9	-4742.26	-1513.56	2912.94
88 	-16667.7	-4692.49	-1513.56	2853.45
89 	-16284.8	-4711.91	-1513.56	2816.69
90 	-15928.5	-4720.91	-1513.56	2758.2 
91 	-17414.7	-4765.54	-1513.56	2799.81
92 	-18958.2	-4780.07	-1513.56	2871.16
93 	-18958.2	-4799.24	-1512.34	2844   
94 	-18451.1	-4808.07	-1512.34	2857.24
95 	-27519.2	-4888.54	-1512.34	3141.89
96 	-26987.6	-4856.55	-1512.34	3046.35
97 	-26276.4	-4865.96	-1512.34	3125.39
98 	-35410.1	-4950.47	-1507.17	3395.43
99 	-35427.2	-5005.62	-1507.17	3387.06
