gen	min         	avg     	max     	std    
0  	-476293     	-16752.1	-4853.49	34354.1
1  	-476190     	-16787.8	-4846.08	34206.1
2  	-409795     	-16164.6	-4846.08	27940.4
3  	-407244     	-16093.7	-4738.78	27775.1
4  	-323866     	-15387.6	-4738.78	22449.8
5  	-1.044e+06  	-16748.2	-4729.08	49081.9
6  	-1.04387e+06	-17126.2	-4718.38	49702.3
7  	-1.03871e+06	-17344.8	-4718.38	49589.3
8  	-1.04018e+06	-18335  	-4718.38	55526.9
9  	-1.05152e+06	-18531.4	-4718.38	55939.1
10 	-580408     	-16737.3	-4718.38	31533.1
11 	-579910     	-16490.8	-4718.38	30442.1
12 	-597464     	-16436.5	-4718.38	31022.8
13 	-597541     	-16574.2	-4718.38	30924.1
14 	-599527     	-16706.5	-4718.38	31031.2
15 	-581573     	-16699.9	-4718.38	30188.1
16 	-580735     	-17175  	-4718.38	31194.8
17 	-580457     	-17655.4	-4718.38	32648.4
18 	-578808     	-18045.6	-4718.38	33139  
19 	-578660     	-18071.1	-4718.38	32345.2
20 	-607440     	-18438.4	-4548.62	33716.9
21 	-606022     	-18410.2	-4548.62	33825.7
22 	-606160     	-18505.2	-4548.62	32807.6
23 	-602495     	-18543  	-4548.62	33240.2
24 	-602826     	-18653.8	-4548.62	33063.9
25 	-602671     	-19519.3	-4471.95	40491.7
26 	-602976     	-19403.2	-4471.95	40349.3
27 	-603177     	-19908.2	-4471.95	41624  
28 	-578247     	-19023.4	-4471.95	31914.1
29 	-598346     	-19053.4	-4471.95	32034.2
30 	-579746     	-19432.6	-4471.95	32068.6
31 	-579375     	-19285.6	-4471.95	31423.9
32 	-572323     	-19397.9	-4471.95	31060.1
33 	-575804     	-19516.4	-4438.21	31239.2
34 	-575395     	-19492.6	-4438.21	30590.5
35 	-575425     	-19717.2	-4438.21	31007.4
36 	-575629     	-19814.7	-4438.21	30929.6
37 	-575821     	-20121.1	-4438.21	31178.6
38 	-574659     	-20116.2	-4438.21	31160.5
39 	-574996     	-20471  	-4438.21	31247.7
40 	-573928     	-20312.2	-4368.72	31083.5
41 	-576674     	-20061.8	-4368.72	30324  
42 	-575265     	-20033  	-4368.72	30282.8
43 	-575521     	-20052.8	-4368.72	30395.1
44 	-149051     	-19151.6	-4322.41	17379.3
45 	-167254     	-19564.9	-4322.41	17844.1
46 	-149155     	-19654.8	-4322.41	17386.5
47 	-177693     	-20194.4	-4322.41	18703.5
48 	-143358     	-20406.1	-4322.41	18638  
49 	-143662     	-20610.6	-4322.41	19015.4
50 	-168686     	-21105.2	-4322.41	19891.4
51 	-357633     	-21921.3	-4322.41	25281.8
52 	-358412     	-21892.6	-4322.41	25491.2
53 	-355413     	-21936.4	-4322.41	25186.6
54 	-355531     	-21779.8	-4322.41	24244.4
55 	-355552     	-21951.6	-4322.41	23358.9
56 	-355407     	-21752.8	-4322.41	23036.3
57 	-355452     	-22397.3	-4322.41	25413.1
58 	-403037     	-22807.1	-4322.41	27613.7
59 	-438137     	-22795.6	-4322.41	29016.7
60 	-1.74895e+06	-26874.5	-4322.41	82895.4
61 	-407455     	-23686.3	-4322.28	28959.4
62 	-407218     	-23482.9	-4322.28	28218.7
63 	-372027     	-23604.2	-4322.28	27130.4
64 	-372027     	-23321.3	-4322.28	26323.7
65 	-369957     	-23334.1	-4322.28	26135.3
66 	-369959     	-23553.5	-4322.28	27708.3
67 	-1.56814e+06	-26870.1	-4322.28	74079.3
68 	-1.61653e+06	-26862.3	-4322.28	75513.7
69 	-1.62955e+06	-26901.5	-4322.28	76254.3
70 	-1.573e+06  	-27025.2	-4322.28	74027.5
71 	-1.5741e+06 	-26965.2	-4322.28	73998.4
72 	-6.37517e+06	-39688.7	-4316   	293085 
73 	-6.37968e+06	-36650.5	-4316   	285134 
74 	-6.38036e+06	-36784.6	-4316   	285240 
75 	-6.39273e+06	-37841  	-4316   	286713 
76 	-6.39274e+06	-37788.5	-4316   	286702 
77 	-6.39283e+06	-37756.3	-4316   	286577 
78 	-1.31424e+06	-27748.8	-4316   	66812.3
79 	-3.67973e+06	-35041.3	-4316   	176261 
80 	-1.31466e+06	-28284.3	-4316   	66869.1
81 	-1.36154e+06	-28286.1	-4316   	68707.9
82 	-1.31301e+06	-28667.9	-4316   	67085  
83 	-1.313e+06  	-28773.9	-4316   	66894.2
84 	-1.31556e+06	-28738.5	-4316   	66934.8
85 	-1.31315e+06	-28105.3	-4316   	65129  
86 	-1.31391e+06	-27276.7	-4316   	60961.3
87 	-1.31396e+06	-27307.7	-4316   	60933.5
88 	-1.3137e+06 	-27482.7	-4316   	60761.2
89 	-1.31122e+06	-27507.5	-4316   	60612  
90 	-1.2762e+06 	-27257.5	-4316   	58930.2
91 	-3.68225e+06	-34611  	-4316   	173638 
92 	-3.6962e+06 	-32267  	-4316   	165111 
93 	-3.71019e+06	-32578.5	-4316   	165773 
94 	-3.71561e+06	-33266.2	-4316   	166441 
95 	-3.7181e+06 	-33559.2	-4316   	166591 
96 	-3.71347e+06	-33936.7	-4316   	166359 
97 	-3.71374e+06	-33786  	-4316   	166309 
98 	-3.69711e+06	-33855.2	-4316   	165511 
99 	-3.69796e+06	-34116.4	-4316   	165724 
