gen	min    	avg     	max     	std    
0  	-349551	-14086.6	-5050.79	25145  
1  	-351409	-14067.6	-5050.09	23625.5
2  	-351654	-14284.8	-5050.09	24228  
3  	-352030	-14459  	-5050.09	24189.4
4  	-704150	-15873.8	-5050.09	39010.8
5  	-704494	-15694.2	-4824.51	38409.5
6  	-704143	-15663.9	-4706.96	38244.1
7  	-705518	-16727.9	-4706.96	42110.2
8  	-706241	-17031.4	-4706.96	42049.9
9  	-703862	-17748.7	-4706.96	45570.6
10 	-703672	-17824.1	-4706.96	44236.6
11 	-368634	-16522.5	-4706.96	31841  
12 	-368614	-16259.3	-4706.96	31227.1
13 	-368670	-15776.7	-4706.96	28206.4
14 	-369119	-15947.6	-4706.96	28196.9
15 	-369102	-15993  	-4706.96	28199.6
16 	-370534	-16261.7	-4706.96	28461.3
17 	-351086	-15797.6	-4706.96	23479.6
18 	-232178	-15419  	-4706.96	18542.3
19 	-232137	-15407.4	-4706.96	18759.5
20 	-232144	-15431  	-4655.35	18522.9
21 	-238704	-15443.3	-4655.35	18203.2
22 	-241640	-15429.3	-4655.35	17594.7
23 	-297320	-16051.7	-4655.35	21976.7
24 	-295968	-16138.1	-4550.85	22063.9
25 	-295964	-15999.5	-4542.22	21783.2
26 	-296160	-16155.3	-4542.22	21894.8
27 	-295373	-16609.1	-4542.22	22845.9
28 	-301528	-16745.1	-4542.22	23504.7
29 	-304940	-16785.1	-4542.22	23631.4
30 	-337276	-17128.8	-4542.22	26314  
31 	-444219	-18074.9	-4542.22	32429.9
32 	-444022	-18039.6	-4542.22	32089.5
33 	-444595	-18180.4	-4542.22	32082.9
34 	-444998	-18034.6	-4542.22	31728.7
35 	-445031	-18153.7	-4542.22	31630  
36 	-451495	-19283.2	-4542.22	34518.6
37 	-499964	-19793.9	-4542.22	38849  
38 	-494779	-19824.3	-4542.22	38750.7
39 	-505030	-20270.4	-4542.22	39724.4
40 	-494454	-20256.7	-4542.22	39662.2
41 	-494256	-19923.5	-4542.22	37464.1
42 	-494249	-20065.2	-4542.22	37703.2
43 	-494226	-20495.7	-4542.22	38277.1
44 	-499535	-21833.7	-4542.22	42243  
45 	-497405	-22076.1	-4542.22	42169.7
46 	-497805	-22266.9	-4542.22	42355.1
47 	-499236	-22671.4	-4542.22	43287.6
48 	-498583	-22699.3	-4542.22	42862.1
49 	-498586	-22402.4	-4542.22	42010.5
50 	-514056	-21883.6	-4500.3 	38008.3
51 	-514035	-22038.2	-4500.3 	37879.5
52 	-514475	-22105.6	-4500.3 	38988.4
53 	-376348	-21479.3	-4500.3 	31848.3
54 	-302602	-21438.1	-4500.3 	27471.2
55 	-300753	-21477  	-4500.3 	27141.1
56 	-320683	-21405.4	-4500.3 	27445.2
57 	-304138	-21202.5	-4500.3 	25833.2
58 	-307614	-21075.2	-4500.3 	25386.4
59 	-307405	-20964.2	-4500.3 	24828.5
60 	-302388	-21025.4	-4500.3 	24689.6
61 	-302443	-21048.8	-4500.3 	23619.2
62 	-215877	-20523.4	-4500.3 	20013.9
63 	-211492	-20654.8	-4490.6 	20745.7
64 	-211482	-20918.5	-4490.6 	20820.8
65 	-211753	-20919.7	-4490.6 	20463.4
66 	-211752	-20922.3	-4490.6 	20373.6
67 	-211690	-20930.4	-4490.6 	20095.9
68 	-370829	-21358.8	-4490.6 	24444.2
69 	-369284	-21446.2	-4490.6 	24412.4
70 	-231807	-20953.5	-4486.35	18699.6
71 	-205341	-20704.8	-4486.35	17544.3
72 	-205324	-20843.4	-4486.35	17184.3
73 	-205534	-21210.7	-4486.35	18147.4
74 	-205530	-21322.7	-4486.35	18294.5
75 	-206206	-21616.9	-4486.35	18888.6
76 	-206217	-21556.5	-4486.35	18871  
77 	-206271	-21776.3	-4486.35	19803.3
78 	-347391	-22591.1	-4486.35	25068.3
79 	-345792	-22220.9	-4486.35	22990.4
80 	-346106	-22243  	-4486.35	22751.1
81 	-346629	-22347.2	-4486.35	22805.4
82 	-198678	-21995.6	-4486.35	18058.8
83 	-198687	-22197.1	-4486.35	18724.9
84 	-197638	-22398.4	-4486.35	19015.9
85 	-289572	-23163.3	-4486.35	23182.7
86 	-292220	-23058.2	-4486.35	22773.9
87 	-283720	-23054.7	-4486.35	22511.3
88 	-285918	-23023.9	-4486.35	21251.6
89 	-285890	-23224.3	-4486.35	21350.9
90 	-285123	-23218.4	-4486.35	21100.8
91 	-273716	-23514.1	-4486.35	21235.8
92 	-274997	-23664.2	-4486.35	21793.7
93 	-456544	-24497.1	-4486.35	28932.6
94 	-499065	-24455.3	-4486.35	30047.5
95 	-500287	-24785.4	-4486.35	29944.2
96 	-497436	-25288.4	-4486.35	32948.9
97 	-497629	-25127.9	-4486.35	32796.7
98 	-448180	-24570.8	-4486.35	26980.8
99 	-449125	-24621.1	-4486.35	26746.7
