gen	min         	avg     	max     	std        
0  	-918384     	-17969  	-5002.57	61203.1    
1  	-919973     	-18172.7	-4886.74	61276.1    
2  	-920359     	-18021.5	-4886.74	61010.8    
3  	-921898     	-17413  	-4886.74	54726.3    
4  	-921824     	-16947.4	-4886.74	51295.3    
5  	-921857     	-17007.3	-4886.74	51202.9    
6  	-921484     	-16473.2	-4886.74	49705.4    
7  	-921406     	-16444.1	-4886.74	49606.8    
8  	-921347     	-16523.8	-4886.74	49515.6    
9  	-922503     	-16030.2	-4886.74	46062.2    
10 	-307764     	-14648.9	-4842.07	23093.7    
11 	-435267     	-15306.2	-4842.07	28852.4    
12 	-438921     	-15378.8	-4704.6 	28887.6    
13 	-438761     	-15200.2	-4704.6 	28404      
14 	-438794     	-15360.4	-4704.6 	28484.5    
15 	-432013     	-15394  	-4704.6 	28285.6    
16 	-432716     	-15463.1	-4699.34	28142.5    
17 	-433046     	-15124.2	-4699.34	25069.6    
18 	-265779     	-14630.5	-4699.34	17505.7    
19 	-267911     	-14565.8	-4699.34	16180.2    
20 	-267898     	-14660.5	-4699.34	16553      
21 	-959087     	-16941.4	-4699.34	45949.9    
22 	-958647     	-16872.9	-4699.34	45582.5    
23 	-262333     	-15359.1	-4699.34	17995.1    
24 	-265859     	-16051.1	-4699.34	20194      
25 	-208623     	-15540.6	-4699.34	16366.5    
26 	-141985     	-15383.1	-4587.51	14425.9    
27 	-141428     	-15358.8	-4587.51	13993.7    
28 	-143451     	-15460.7	-4587.51	14118.2    
29 	-148732     	-15558.3	-4587.51	14317.5    
30 	-121178     	-15485.8	-4587.51	13021.2    
31 	-126433     	-15488.4	-4580.28	12442.7    
32 	-2.06744e+07	-60235.4	-4580.28	924250     
33 	-2.06745e+07	-60272.7	-4580.28	924251     
34 	-2.06745e+07	-60528.1	-4580.28	924240     
35 	-2.06744e+07	-60712.1	-4580.28	924231     
36 	-2.06784e+07	-60910.1	-4580.28	924407     
37 	-2.06784e+07	-60953.2	-4558.58	924410     
38 	-2.06779e+07	-60909.5	-4558.58	924383     
39 	-2.06787e+07	-60769.3	-4558.58	924352     
40 	-2.06787e+07	-62826.1	-4558.58	924894     
41 	-2.06786e+07	-62158.3	-4558.58	924426     
42 	-2.06781e+07	-62007.1	-4552.32	924399     
43 	-2.06799e+07	-61964.2	-4551.92	924454     
44 	-2.06797e+07	-63545.3	-4551.92	924782     
45 	-2.06812e+07	-64349.3	-4551.92	924837     
46 	-2.06812e+07	-65740.1	-4551.92	925213     
47 	-2.06809e+07	-65862.8	-4551.92	925252     
48 	-2.06809e+07	-65958.4	-4551.92	925249     
49 	-2.06871e+07	-65357.3	-4536.69	925161     
50 	-2.06868e+07	-64547.4	-4529.31	924995     
51 	-9.4448e+07 	-252641 	-4529.31	4.31694e+06
52 	-9.4449e+07 	-254903 	-4529.31	4.31735e+06
53 	-9.44655e+07	-255000 	-4529.31	4.31806e+06
54 	-9.44643e+07	-254908 	-4529.31	4.31802e+06
55 	-9.44473e+07	-255009 	-4518.31	4.31729e+06
56 	-9.44473e+07	-254797 	-4518.31	4.31731e+06
57 	-9.44464e+07	-254962 	-4518.31	4.31722e+06
58 	-9.44468e+07	-255026 	-4518.31	4.31723e+06
59 	-9.44473e+07	-256509 	-4518.31	4.3172e+06 
60 	-9.44479e+07	-257201 	-4518.31	4.31725e+06
61 	-9.44536e+07	-257416 	-4516.61	4.31756e+06
62 	-9.44452e+07	-257248 	-4516.61	4.31727e+06
63 	-9.44477e+07	-256200 	-4516.61	4.31738e+06
64 	-9.44496e+07	-215363 	-4516.61	4.21946e+06
65 	-9.44723e+07	-217808 	-4516.61	4.22062e+06
66 	-9.44748e+07	-217773 	-4516.61	4.22072e+06
67 	-9.44747e+07	-217518 	-4516.61	4.22073e+06
68 	-9.44725e+07	-215646 	-4516.61	4.22049e+06
69 	-9.44711e+07	-215525 	-4499.41	4.22042e+06
70 	-9.44713e+07	-212294 	-4499.41	4.21992e+06
71 	-9.44712e+07	-212326 	-4499.41	4.21992e+06
72 	-9.44706e+07	-212398 	-4499.41	4.21989e+06
73 	-9.44707e+07	-212600 	-4499.41	4.21988e+06
74 	-9.44728e+07	-212764 	-4499.41	4.21997e+06
75 	-9.4474e+07 	-212810 	-4489.09	4.22003e+06
76 	-1.02947e+06	-24187.8	-4489.09	51809.7    
77 	-1.02919e+06	-24824  	-4489.09	52182.3    
78 	-409687     	-23209.4	-4489.09	26666.6    
79 	-409318     	-23608.6	-4489.09	27623.3    
80 	-408120     	-23772.4	-4489.09	27933.2    
81 	-403927     	-24467.9	-4489.09	31797      
82 	-402921     	-23868.1	-4489.09	27812      
83 	-708984     	-25281.5	-4489.09	41439.4    
84 	-712649     	-25247.5	-4489.09	41150.2    
85 	-781122     	-25125.9	-4489.09	42990.7    
86 	-780987     	-25194.8	-4489.09	42944.3    
87 	-408005     	-24205.5	-4489.09	28124      
88 	-409054     	-24323.5	-4489.09	28730      
89 	-422700     	-24286.5	-4489.09	30512.1    
90 	-426385     	-24339.4	-4489.09	30393.8    
91 	-405349     	-24425.2	-4489.09	29890.1    
92 	-405311     	-24892.6	-4489.09	30085.3    
93 	-405629     	-24661.5	-4489.09	28565.8    
94 	-404733     	-24891.6	-4489.09	28812.4    
95 	-404974     	-24499.8	-4489.09	25970.5    
96 	-407280     	-24699.8	-4489.09	26003.6    
97 	-407699     	-25113.6	-4489.09	27282.6    
98 	-847199     	-26836.1	-4489.09	45911.1    
99 	-847613     	-26860.2	-4489.09	45794      
