gen	min         	avg     	max     	std        
0  	-39836.8    	-3114.8 	-1860.07	3205.31    
1  	-40024.5    	-3098.98	-1860.07	3169.57    
2  	-41152.1    	-3110.85	-1828.07	3178.12    
3  	-271227     	-3627.9 	-1828.07	12397.1    
4  	-41102.3    	-3100.98	-1828.07	3227.13    
5  	-40027.1    	-3047.3 	-1828.07	2858.74    
6  	-40030.6    	-3075.14	-1828.07	2892.45    
7  	-817703     	-4700.43	-1828.07	36510      
8  	-817785     	-4706.24	-1828.07	36514.6    
9  	-817876     	-4690.89	-1828.07	36516.1    
10 	-818321     	-4719.5 	-1828.07	36536.6    
11 	-817723     	-4885.57	-1828.07	36703.8    
12 	-817539     	-4889.58	-1828.07	36699.9    
13 	-817426     	-4903.27	-1828.07	36695.1    
14 	-817463     	-4975.72	-1828.07	36714.5    
15 	-817278     	-4930.46	-1828.07	36679.9    
16 	-817386     	-4893.88	-1817.64	36640.4    
17 	-817325     	-5042.77	-1817.64	36777.5    
18 	-817326     	-4861.6 	-1817.64	36578.2    
19 	-817323     	-5328.04	-1817.64	37646.7    
20 	-817338     	-5348.53	-1817.64	37651      
21 	-817323     	-5351.82	-1817.64	37650.8    
22 	-817364     	-4969.4 	-1817.64	36635.1    
23 	-817370     	-4993.07	-1817.64	36637.4    
24 	-78497.1    	-3371.12	-1817.64	4451.66    
25 	-79242.1    	-3453.94	-1817.64	4688.3     
26 	-78479      	-3447.61	-1817.64	4621.7     
27 	-78493.7    	-3437.44	-1817.64	4579.32    
28 	-2.50018e+07	-53369.5	-1817.64	1.11685e+06
29 	-2.50015e+07	-53481.1	-1817.64	1.11684e+06
30 	-2.50022e+07	-53360  	-1817.64	1.11687e+06
31 	-2.50021e+07	-53376.5	-1817.64	1.11687e+06
32 	-2.50006e+07	-53236.7	-1817.64	1.1168e+06 
33 	-60264.5    	-3257.4 	-1817.64	3086.12    
34 	-59172.7    	-3298.28	-1817.64	3146.34    
35 	-66157.1    	-3303.13	-1817.64	3345.49    
36 	-59167.5    	-3326.3 	-1817.64	3096.85    
37 	-890871     	-5109.71	-1817.64	39776.3    
38 	-890876     	-5107.91	-1817.64	39774.3    
39 	-890789     	-5094.53	-1817.64	39765.3    
40 	-891447     	-5306.11	-1817.64	39905.6    
41 	-891459     	-5270.19	-1817.64	39870.3    
42 	-891345     	-5158.25	-1817.64	39787.5    
43 	-891606     	-5076.6 	-1817.64	39736.9    
44 	-891312     	-5083.59	-1817.64	39720.8    
45 	-19084.5    	-3337.68	-1817.64	2001.81    
46 	-19154.4    	-3338.82	-1817.64	2027.63    
47 	-19058.1    	-3362.33	-1817.64	2063.69    
48 	-50293.7    	-3461.47	-1814.33	2893.6     
49 	-50285.4    	-3449.43	-1814.33	2865.02    
50 	-50607.2    	-3471.02	-1814.33	3051.94    
51 	-50200      	-3492.88	-1814.33	3008.77    
52 	-50058.4    	-3486.91	-1814.33	2988.3     
53 	-50121      	-3514.37	-1814.33	2957.6     
54 	-49257.3    	-3526.47	-1814.33	2913.38    
55 	-50818.7    	-3527.67	-1814.33	2991.16    
56 	-52103.2    	-3552.42	-1814.33	3079.2     
57 	-49584.1    	-3564.02	-1814.33	2958.89    
58 	-95289.4    	-3724.34	-1814.33	5058.26    
59 	-105537     	-3947.95	-1813.63	6839.03    
60 	-112959     	-3908.24	-1813.63	6976.33    
61 	-105488     	-3915.5 	-1813.63	6940.51    
62 	-105523     	-3915.08	-1813.63	6923.4     
63 	-105868     	-3827.51	-1813.63	6623.46    
64 	-105776     	-3892.34	-1813.63	6677.14    
65 	-105893     	-3732.8 	-1813.63	5073.25    
66 	-106108     	-3753.07	-1813.63	5105.97    
67 	-106010     	-3747.5 	-1813.63	5020.6     
68 	-105844     	-3741.53	-1813.63	5022.58    
69 	-106078     	-3908.22	-1813.63	6125.34    
70 	-109081     	-3900.04	-1813.63	6195.67    
71 	-111500     	-3876.56	-1813.63	6235.54    
72 	-114509     	-3860.28	-1813.63	6310.41    
73 	-81547.4    	-3783.95	-1813.63	4515.88    
74 	-81562.6    	-3863.43	-1813.63	4716.63    
75 	-81519.4    	-3899.7 	-1813.63	4841.53    
76 	-81570.8    	-3861   	-1813.63	4736.84    
77 	-81519.4    	-3892.2 	-1813.63	4724.1     
78 	-81770      	-3945.18	-1813.63	4772.85    
79 	-81679      	-3939.88	-1813.63	4748.76    
80 	-81694.3    	-3953.89	-1813.63	4743.62    
81 	-360100     	-4818.55	-1813.63	17662.4    
82 	-360102     	-4838.13	-1813.63	17672.2    
83 	-360367     	-4819.7 	-1813.63	17696.4    
84 	-362819     	-4521.04	-1813.63	16369.8    
85 	-48176      	-3874.74	-1813.63	3619.73    
86 	-48176      	-3885.31	-1813.63	3631.58    
87 	-48441.4    	-3840.9 	-1813.63	3321.47    
88 	-260245     	-4365.82	-1813.63	11922.6    
89 	-262520     	-4362   	-1813.63	12006.9    
90 	-260950     	-4788.75	-1813.63	15607.6    
91 	-261460     	-4793.53	-1813.63	15623.6    
92 	-260408     	-4775.92	-1813.63	15594.9    
93 	-229813     	-4262.08	-1813.63	10599.1    
94 	-229808     	-4179.14	-1813.63	10396.4    
95 	-229780     	-4187.73	-1813.63	10392.8    
96 	-230033     	-4205.01	-1813.63	10405.5    
97 	-229354     	-4222.54	-1813.24	10408.4    
98 	-231293     	-4248.75	-1813.24	10473.3    
99 	-231379     	-4356.42	-1813.24	10591.2    
