gen	min     	avg     	max     	std    
0  	-417340 	-3614.91	-1832.05	18610.7
1  	-417274 	-3654.52	-1832.05	18621.4
2  	-26300  	-2818.66	-1832.05	1945.24
3  	-46076.8	-2884.95	-1830.23	2665.54
4  	-44587.2	-2878.46	-1830.23	2608.26
5  	-44587.2	-2844.91	-1830.23	2387.06
6  	-44607.6	-2856.3 	-1806.49	2401.31
7  	-44504.7	-2850.24	-1806.49	2360.19
8  	-44548.6	-2876.12	-1806.49	2403.23
9  	-18005.2	-2814.53	-1806.49	1602.45
10 	-17860.4	-2806.33	-1806.49	1526.51
11 	-37816.5	-2852.19	-1806.49	2086.33
12 	-37773.2	-2886.53	-1806.49	2135.36
13 	-37771.2	-2915.39	-1806.49	2179.97
14 	-15182.8	-2857.55	-1806.49	1498.26
15 	-21928.3	-2898.44	-1806.49	1721.35
16 	-66259  	-3051.27	-1806.49	3381.68
17 	-21919.2	-2936.73	-1805.79	1854.62
18 	-21955.7	-2926.81	-1805.79	1822.72
19 	-21865.1	-2917.83	-1805.79	1768.4 
20 	-22324.7	-2906.39	-1805.79	1763.58
21 	-22357.4	-2899.43	-1805.79	1660.14
22 	-21655.9	-2888.65	-1805.79	1595   
23 	-186613 	-3248.03	-1805.79	8345.72
24 	-186594 	-3284.45	-1805.79	8383.86
25 	-186820 	-3301.68	-1805.79	8389.03
26 	-186862 	-3323.35	-1805.79	8385.86
27 	-188302 	-3338.54	-1805.79	8446.78
28 	-186728 	-3343.94	-1805.79	8373.94
29 	-186554 	-3353.41	-1805.79	8365.56
30 	-186598 	-3395.72	-1797.01	8397.84
31 	-186585 	-3336.48	-1797.01	8343.66
32 	-186413 	-3357.98	-1797.01	8331.31
33 	-178101 	-3403.54	-1797.01	8005.16
34 	-178281 	-3431.76	-1797.01	8014.93
35 	-60279.6	-3221.67	-1797.01	3086.22
36 	-94726.9	-3395.12	-1797.01	5155.54
37 	-94693.1	-3392.22	-1797.01	5135.6 
38 	-61317.9	-3219.75	-1797.01	3096.19
39 	-59883.5	-3212.96	-1797.01	3045   
40 	-60516.2	-3182.93	-1797.01	3005.23
41 	-60513.6	-3176.2 	-1797.01	2935.95
42 	-59596.3	-3212.27	-1797.01	2979.27
43 	-59613.8	-3200.75	-1797.01	2950.55
44 	-59591.7	-3200.49	-1797.01	2934.77
45 	-59586.3	-3223.17	-1797.01	2955.11
46 	-181242 	-3872.64	-1797.01	10596.4
47 	-181287 	-3612.25	-1797.01	8493.62
48 	-181059 	-3603.71	-1797.01	8508.06
49 	-181057 	-3624.69	-1797.01	8492.59
50 	-181056 	-3700.45	-1796.31	8676.84
51 	-188896 	-3722.77	-1796.31	8987.53
52 	-60571.7	-3273.33	-1796.31	2942.74
53 	-60575.6	-3256.21	-1796.31	2901.29
54 	-60059.1	-3262   	-1796.31	2885.84
55 	-60059.1	-3247.78	-1796.31	2819.07
56 	-60049.4	-3272.58	-1796.31	2848.09
57 	-60057.6	-3303.39	-1796.31	2902.62
58 	-60139.8	-3304.01	-1796.31	2910.32
59 	-60070.3	-3289.67	-1796.31	2884.09
60 	-16771.8	-3192.21	-1796.31	1448.84
61 	-14915.8	-3175.67	-1796.31	1345.11
62 	-14443.8	-3187.85	-1796.31	1413.23
63 	-139815 	-3453.42	-1796.31	6253.41
64 	-139877 	-3480.42	-1796.31	6266.5 
65 	-141716 	-3495.76	-1796.31	6344.67
66 	-141716 	-3540.97	-1796.31	6409.55
67 	-139532 	-3555.31	-1796.31	6319.88
68 	-139532 	-3602.84	-1796.31	6435.02
69 	-33431.7	-3397.73	-1796.31	2502.01
70 	-252375 	-3898.34	-1796.31	11398.2
71 	-252370 	-3894.28	-1796.31	11408.8
72 	-252374 	-3895.91	-1796.31	11404.9
73 	-250646 	-3925.66	-1796.31	11333.9
74 	-254009 	-4494.87	-1796.31	14053.3
75 	-250144 	-4510.92	-1796.31	13870.9
76 	-250132 	-4511.26	-1796.31	13872.3
77 	-164579 	-4013.01	-1796.25	8446.44
78 	-164579 	-4032.22	-1796.25	8437.75
79 	-164158 	-4040.06	-1796.25	8415.73
80 	-164040 	-4074.59	-1796.25	8428.72
81 	-164247 	-4229.32	-1796.25	9001.63
82 	-228349 	-4526.88	-1796.25	13009.6
83 	-228233 	-4628.59	-1796.25	13197.3
84 	-227190 	-4643.06	-1796.25	13171  
85 	-227234 	-4636.41	-1795.25	12973.9
86 	-227234 	-4661.58	-1795.25	13001.6
87 	-227122 	-4354.41	-1795.25	10854  
88 	-228032 	-4409.84	-1795.25	10968.1
89 	-228049 	-4389.17	-1795.25	10962.7
90 	-228088 	-4956.12	-1795.25	15375.7
91 	-227517 	-4981.57	-1795.25	15198.9
92 	-218513 	-4560.22	-1795.25	11472.7
93 	-218521 	-4550.61	-1795.25	11489.1
94 	-218490 	-4563.63	-1795.25	11483.7
95 	-218460 	-4520.12	-1795.25	11426.1
96 	-218394 	-4302.04	-1795.25	10003.7
97 	-218494 	-4273.84	-1795.25	9980.77
98 	-218498 	-4333.1 	-1795.25	10111  
99 	-218767 	-4321.22	-1795.25	10029.3
