gen	min         	avg     	max     	std    
0  	-39661      	-2988.73	-1833.54	3309.57
1  	-177083     	-3374.35	-1833.54	8619.19
2  	-178860     	-3349.47	-1833.54	8630.01
3  	-178861     	-3330.23	-1833.54	8572.43
4  	-177474     	-3306.62	-1833.54	8508.23
5  	-51120.1    	-2987.48	-1821.19	3427.85
6  	-49108.9    	-3040.13	-1821.19	3446.68
7  	-49099      	-3099.16	-1821.19	3581.37
8  	-49101.3    	-3081.39	-1810.79	3532.32
9  	-49102.7    	-3097.74	-1810.79	3539.15
10 	-51339.3    	-3137.65	-1810.79	3848.55
11 	-51354      	-3131.72	-1810.79	3829.5 
12 	-51359.1    	-3131.72	-1810.79	3835.45
13 	-49229.1    	-3105.16	-1810.79	3356.2 
14 	-53741.6    	-3133.31	-1810.79	3552.13
15 	-54318.4    	-3147.98	-1810.79	3564.96
16 	-54090.1    	-3121.32	-1810.79	3495.41
17 	-54216.5    	-3131.69	-1810.79	3488.82
18 	-40042.6    	-3041.83	-1810.79	2654.69
19 	-33989.9    	-2993.47	-1810.79	2096.81
20 	-33983.2    	-3024.81	-1810.79	2258.86
21 	-33990.8    	-3014.91	-1810.79	2127.82
22 	-33971.5    	-2983.58	-1806.49	1950.53
23 	-64873.4    	-3102.31	-1806.49	3375.81
24 	-64906.9    	-3094   	-1806.49	3371.07
25 	-64930.2    	-3109.22	-1806.49	3390.03
26 	-66032.7    	-3215.13	-1796.71	3661.72
27 	-65256      	-3234.64	-1796.71	3734.99
28 	-65287.7    	-3243.53	-1796.71	3689.06
29 	-65188.5    	-3348.55	-1796.71	4473.11
30 	-65245.5    	-3359.5 	-1782.8 	4482.96
31 	-65246.5    	-3401.94	-1782.8 	4568.31
32 	-65297      	-3417.05	-1782.8 	4577.91
33 	-65283      	-3410.25	-1782.8 	4539.63
34 	-65486.1    	-3485.6 	-1782.8 	4934.4 
35 	-60079.2    	-3407.31	-1780.51	4116.96
36 	-59486.1    	-3385.31	-1780.51	4082.07
37 	-78387.3    	-3507.84	-1778.93	5254.75
38 	-78481.1    	-3559.55	-1778.93	5334.35
39 	-78353.8    	-3553.15	-1778.93	5304.99
40 	-561144     	-4681.84	-1778.93	25443.9
41 	-561223     	-4804.85	-1778.93	25617.5
42 	-2.89482e+06	-10457.4	-1778.93	131597 
43 	-2.89461e+06	-10349.3	-1778.93	131562 
44 	-560917     	-4652.61	-1778.93	25273.9
45 	-561014     	-4559.32	-1778.93	25211  
46 	-561012     	-4640.21	-1778.93	25303.2
47 	-561007     	-4531.9 	-1778.93	25136.5
48 	-560994     	-5022.72	-1778.93	28334.6
49 	-560655     	-5038.03	-1778.93	28314.2
50 	-301502     	-3952.36	-1778.93	13537.7
51 	-301438     	-3970.44	-1778.93	13532.8
52 	-301882     	-3946.84	-1778.93	13542.5
53 	-301503     	-3914.17	-1778.93	13502.1
54 	-301928     	-3872.2 	-1778.93	13485.5
55 	-301473     	-3881   	-1778.93	13455.6
56 	-301776     	-4059.08	-1778.93	13870.1
57 	-301671     	-4119.62	-1778.93	13915  
58 	-301939     	-4371.06	-1778.93	15215.1
59 	-301800     	-4346.35	-1778.93	15186.4
60 	-301362     	-4192.97	-1776.91	14825.9
61 	-301418     	-4236.3 	-1776.91	14880.2
62 	-301434     	-4234.12	-1776.91	14885.3
63 	-301586     	-4233.17	-1776.91	14873.9
64 	-301306     	-3970.18	-1776.91	13488.9
65 	-297266     	-3920.79	-1773.84	13256.1
66 	-297099     	-4202.88	-1773.84	14509.9
67 	-297106     	-4318.74	-1765.84	14587.5
68 	-297098     	-4307.26	-1765.84	14585.4
69 	-297100     	-4295.3 	-1765.84	14578  
70 	-297134     	-4285.29	-1765.84	14577.6
71 	-297151     	-4260.27	-1765.84	14563.4
72 	-297151     	-4290.67	-1765.84	14566.6
73 	-297165     	-4091.87	-1765.84	13336.6
74 	-297130     	-4097.68	-1765.84	13327.9
75 	-297131     	-4066.03	-1765.84	13294.6
76 	-297146     	-4065.08	-1765.84	13287.7
77 	-36913.5    	-3592.63	-1762.21	2705.3 
78 	-36852.9    	-3650.33	-1762.21	2818.5 
79 	-36780.1    	-3615.14	-1762.21	2700.99
80 	-36780.1    	-3594.26	-1762.21	2644.74
81 	-36806.8    	-3634.01	-1762.21	2864.16
82 	-36834.1    	-3673.62	-1762.21	2875.33
83 	-38662      	-3662.34	-1761.21	2894.91
84 	-29230.7    	-3603.95	-1761.21	2442.35
85 	-20743.3    	-3587.05	-1761.21	2131.41
86 	-20417.1    	-3584.33	-1761.21	2076.71
87 	-20524.6    	-3625.25	-1761.21	2271.26
88 	-25480      	-3593.78	-1761.21	2251.58
89 	-20029.7    	-3581.13	-1761.21	2017.56
90 	-22653.1    	-3575.9 	-1761.21	2035.23
91 	-20193.7    	-3575.51	-1759.69	2026.06
92 	-20211.3    	-3585   	-1759.69	1989.04
93 	-20867.8    	-3538.79	-1759.69	1983.93
94 	-20802.9    	-3534.02	-1759.69	1834.96
95 	-16526.3    	-3535.92	-1759.69	1777.43
96 	-104989     	-3734.63	-1759.69	4834.63
97 	-104939     	-3728.18	-1759.69	4811.97
98 	-14938.9    	-3534.55	-1759.69	1652.47
99 	-16470.8    	-3546.42	-1759.69	1606.35
