gen	min         	avg     	max     	std       
0  	-163231     	-7282.19	-3241.46	11003.4   
1  	-163217     	-7276.18	-3230.47	10997.9   
2  	-163220     	-7062.2 	-3198.77	9399.76   
3  	-166044     	-7120.15	-3138.48	9465.75   
4  	-164946     	-7255.82	-3138.48	10056.5   
5  	-164526     	-7294.24	-3138.48	10041.9   
6  	-165238     	-7483.32	-3122.85	10669     
7  	-164070     	-7357.16	-3122.85	9941.78   
8  	-168573     	-7376.65	-3066.79	10129.6   
9  	-166119     	-7390.41	-3066.79	10179.3   
10 	-189955     	-7758.87	-2958.58	13038.9   
11 	-1.25675e+06	-10077.6	-2958.58	56762.4   
12 	-4.51516e+07	-98011.8	-2958.58	2.0169e+06
13 	-4.51514e+07	-97851.4	-2958.58	2.0169e+06
14 	-165140     	-7635.38	-2958.58	9868.84   
15 	-166231     	-7728.33	-2958.58	10008.4   
16 	-165244     	-7756.94	-2958.58	9979.19   
17 	-166295     	-7765.33	-2958.58	9885.79   
18 	-170881     	-7799.09	-2958.58	9962.08   
19 	-166945     	-7787.8 	-2958.58	9678.97   
20 	-167101     	-8103.05	-2958.58	11812.5   
21 	-165628     	-7834.59	-2958.58	9430.58   
22 	-167429     	-7784.19	-2958.58	9390.8    
23 	-166841     	-7899.79	-2958.58	9546.08   
24 	-164566     	-8012.82	-2958.58	9724.28   
25 	-169902     	-8033.66	-2958.58	9820.28   
26 	-2.07095e+06	-12239.1	-2958.58	92662.3   
27 	-2.07104e+06	-12249.6	-2958.58	92783.6   
28 	-2.06898e+06	-12318.7	-2958.58	92700     
29 	-165158     	-8365.13	-2958.58	9953.09   
30 	-165222     	-8443.31	-2958.58	9940.96   
31 	-165132     	-8462.89	-2911.1 	9923.27   
32 	-165083     	-8440.6 	-2911.1 	9724.08   
33 	-165153     	-8411.42	-2911.1 	9543.95   
34 	-177772     	-8395.52	-2911.1 	9774.96   
35 	-86702.9    	-8261.12	-2911.1 	7155.79   
36 	-78460.5    	-8176.13	-2911.1 	6012.55   
37 	-78173.9    	-8220.47	-2895.94	6090.66   
38 	-78935.4    	-8286.26	-2895.94	6144.4    
39 	-59916.8    	-8200.47	-2895.94	5364.6    
40 	-58418.6    	-8189.21	-2895.94	5398.76   
41 	-40158.2    	-8140.07	-2895.94	4994.37   
42 	-37152.8    	-8152.68	-2895.94	4768.19   
43 	-37087.3    	-8225.43	-2895.94	4859.03   
44 	-77719.2    	-8331.28	-2895.94	5636.67   
45 	-77629.4    	-8351.91	-2895.94	5532.01   
46 	-87462.8    	-8345.59	-2895.94	5731.75   
47 	-1.26467e+06	-11390.6	-2895.94	57579.2   
48 	-1.26492e+06	-11596.6	-2895.94	57584.6   
49 	-1.26454e+06	-11589.6	-2895.94	57568.6   
50 	-1.26588e+06	-12288.9	-2895.94	59019.5   
51 	-1.2639e+06 	-13170.3	-2895.94	60500.4   
52 	-1.26532e+06	-12869.3	-2895.94	60111     
53 	-1.2669e+06 	-12971.8	-2895.94	60035.7   
54 	-1.26677e+06	-12620.2	-2895.94	58977.8   
55 	-1.26503e+06	-12805.9	-2895.29	59050     
56 	-1.26648e+06	-12763.5	-2891.85	59068.6   
57 	-1.26659e+06	-12882.5	-2891.85	59120.3   
58 	-1.26614e+06	-12892.3	-2891.85	59131.3   
59 	-1.26626e+06	-12913.7	-2891.85	59173.6   
60 	-1.26834e+06	-12897.2	-2891.85	59259.6   
61 	-1.27234e+06	-12971.1	-2891.85	59427.7   
62 	-1.26634e+06	-13076.8	-2891.85	59151.6   
63 	-1.26909e+06	-13288.9	-2891.85	59485.5   
64 	-1.26888e+06	-13352.6	-2891.85	59487.9   
65 	-1.26865e+06	-13419.1	-2891.85	59424.7   
66 	-1.27232e+06	-13383.6	-2891.85	59522.6   
67 	-292557     	-11176.3	-2891.85	20104.7   
68 	-1.38053e+06	-13833.5	-2891.85	64442.6   
69 	-1.38068e+06	-14982.8	-2891.85	66292.2   
70 	-1.38337e+06	-15609.8	-2891.85	68117.7   
71 	-1.38291e+06	-15654  	-2891.85	68008.3   
72 	-353493     	-12950.3	-2885.94	29738     
73 	-342713     	-13017.3	-2885.94	29458     
74 	-323485     	-12519.9	-2885.94	25617.8   
75 	-359462     	-12315.3	-2885.94	25411.8   
76 	-359650     	-12232.1	-2885.94	26368.3   
77 	-359459     	-11920.3	-2885.94	24200.9   
78 	-324663     	-12045.2	-2885.94	23691.9   
79 	-323548     	-12369.3	-2885.94	23089     
80 	-323769     	-12521.8	-2885.94	23100.5   
81 	-291963     	-11940.5	-2885.94	18601     
82 	-291976     	-12413.4	-2885.94	20430.7   
83 	-291770     	-12174.6	-2885.94	19136.6   
84 	-295513     	-12317.9	-2883.42	19323.3   
85 	-295561     	-12283.6	-2883.42	19222.9   
86 	-297059     	-12313.4	-2883.42	19427.4   
87 	-302573     	-12226.3	-2883.42	19449     
88 	-297284     	-12208.9	-2883.42	19267.4   
89 	-291917     	-12123.3	-2883.42	18902.6   
90 	-291688     	-12196.1	-2883.42	18866.4   
91 	-296851     	-12162.2	-2883.42	18987     
92 	-297131     	-12083.9	-2883.42	18831.8   
93 	-297940     	-12077  	-2883.42	18292.3   
94 	-293664     	-12170.3	-2883.42	18146.9   
95 	-293664     	-12266.4	-2883.42	18481.5   
96 	-294341     	-12297.3	-2883.42	18638.9   
97 	-294379     	-12618.2	-2883.42	20314.7   
98 	-296159     	-12728.7	-2883.42	20469.3   
99 	-297002     	-12647.8	-2876.4 	20025.2   
