gen	min     	avg     	max     	std    
0  	-273068 	-8311.55	-3127.06	16819.6
1  	-282116 	-8210.93	-3107.17	16226.7
2  	-273660 	-8224.52	-3101.17	16129.6
3  	-273050 	-8274.09	-3101.17	16137.7
4  	-273252 	-8131.98	-3101.17	15706.3
5  	-273562 	-8212.51	-3101.17	15627.8
6  	-273764 	-8183.9 	-3101.17	15715.9
7  	-273383 	-8073.44	-3101.17	15448.4
8  	-273778 	-8089.13	-3101.17	15452.7
9  	-273899 	-8043.55	-3101.17	15432.7
10 	-130139 	-7525.38	-3101.17	9768.81
11 	-131931 	-7522.78	-3101.17	9839.97
12 	-130383 	-7857.55	-3101.17	10919.6
13 	-129359 	-7730.7 	-3101.17	10321.1
14 	-129396 	-7679.06	-3101.17	9814.67
15 	-130329 	-7606.97	-3101.17	9507.72
16 	-151300 	-7926.9 	-3101.17	11432.1
17 	-150229 	-8008.31	-3101.17	11412.8
18 	-150599 	-8207.16	-3101.17	11955.8
19 	-147612 	-8107.43	-3101.17	11511.3
20 	-230452 	-8355.58	-3101.17	14619.6
21 	-231101 	-8473.29	-3101.17	15068  
22 	-231193 	-8466.28	-3101.17	14973.3
23 	-230572 	-8493.5 	-3101.17	15010.3
24 	-230490 	-8529.71	-3101.17	14853.5
25 	-210544 	-8344.18	-3021.9 	12717.9
26 	-130722 	-8009.77	-3021.9 	8956.28
27 	-131239 	-8030.68	-3021.9 	8970.77
28 	-131638 	-8028.29	-3021.9 	8771.02
29 	-131761 	-8102.91	-3021.9 	8833.21
30 	-131150 	-8092.84	-3021.9 	8759.08
31 	-132350 	-8142.43	-3021.9 	8844.54
32 	-72304.3	-8056.49	-3021.9 	7109.85
33 	-86010.7	-8173.49	-3021.9 	7615.08
34 	-74070.3	-8198.71	-3021.9 	7350.9 
35 	-73626.5	-8179.09	-3021.9 	7396.07
36 	-96137.1	-8432.66	-3021.9 	8575.11
37 	-267349 	-8918.35	-3021.9 	14114.3
38 	-267343 	-8919.16	-3021.9 	14149.3
39 	-267615 	-8895.05	-3021.9 	13986.7
40 	-265577 	-9227.5 	-3021.9 	14785.8
41 	-265659 	-9104.37	-3021.9 	14425.4
42 	-266311 	-9020.94	-3021.9 	13882.2
43 	-266235 	-9105.84	-3021.9 	13977  
44 	-266319 	-9201.33	-3021.9 	13973.5
45 	-266843 	-9261.67	-3021.9 	14092.7
46 	-86929.7	-8790.37	-3021.9 	8027.45
47 	-94667.4	-8978.99	-3021.9 	8744.9 
48 	-101478 	-9092.64	-3021.9 	8967.07
49 	-94088.5	-9117.96	-3021.9 	8882.6 
50 	-100339 	-9204.16	-3021.9 	9176.47
51 	-124817 	-9335   	-3021.9 	10145  
52 	-89587.9	-9154.17	-3021.9 	8686.77
53 	-91202.8	-9100.61	-3021.9 	8480.4 
54 	-91195.8	-9049.81	-3021.9 	7708.11
55 	-80201.5	-8983.68	-3021.9 	7081.88
56 	-80300.1	-9223.59	-3021.9 	7786.94
57 	-129652 	-9498.1 	-3021.9 	9383.08
58 	-231641 	-9908.72	-3021.9 	13661.7
59 	-231238 	-9946.48	-2962.63	13636.5
60 	-231070 	-10067.9	-2962.63	13708.1
61 	-231540 	-10155.2	-2962.63	13833.9
62 	-231621 	-10265.7	-2962.63	13992.9
63 	-230921 	-10257.2	-2962.63	13979.6
64 	-230810 	-10298.9	-2962.63	14103.7
65 	-231119 	-10294.9	-2962.63	13574.3
66 	-234678 	-10118.5	-2962.63	12939.3
67 	-235713 	-9993.03	-2962.63	12781.7
68 	-236172 	-10058.6	-2962.63	12723.8
69 	-239874 	-10197.4	-2962.63	12940.8
70 	-239477 	-10338.6	-2962.63	12907.4
71 	-239706 	-10413.9	-2962.63	13214.3
72 	-239468 	-10485.8	-2956.66	13142.2
73 	-243475 	-10495.8	-2956.66	13152.6
74 	-231936 	-10715.1	-2956.66	13329.5
75 	-231945 	-10716.1	-2956.66	12996.3
76 	-232680 	-10714.5	-2956.66	13118.9
77 	-232679 	-10731.4	-2954.66	12923.6
78 	-232307 	-10708.8	-2922.45	12809.8
79 	-232965 	-10604.9	-2922.45	12428.7
80 	-232481 	-10774.9	-2922.45	12805.9
81 	-232459 	-10809.2	-2922.45	12715.2
82 	-231694 	-10791.6	-2922.45	12828  
83 	-97156.8	-10478.7	-2922.45	8379.7 
84 	-97272.8	-10502.8	-2922.45	8338.2 
85 	-161221 	-10654.3	-2922.45	10122.6
86 	-161982 	-10664.5	-2922.45	9913.81
87 	-65946.6	-10514.6	-2922.45	7661.58
88 	-274765 	-11129.6	-2922.45	14191.3
89 	-284867 	-11109.6	-2922.45	14457.9
90 	-284450 	-11125.7	-2922.45	14376  
91 	-284555 	-11238.1	-2922.45	14531.2
92 	-281676 	-11359.9	-2922.45	14743.7
93 	-275577 	-11689  	-2922.45	15169.1
94 	-276072 	-11974.4	-2922.45	15819.6
95 	-276038 	-12077.4	-2922.45	15981.9
96 	-277062 	-12045.4	-2922.45	15864.3
97 	-277012 	-12072.6	-2922.45	15653.4
98 	-277154 	-12144  	-2922.45	15742.8
99 	-277198 	-12321.2	-2922.45	16312.5
