gen	min         	avg     	max     	std    
0  	-186518     	-7850.01	-3304.38	14436.5
1  	-179292     	-7581.42	-3304.38	12026.9
2  	-179412     	-7691.17	-3304.38	12155.9
3  	-180942     	-7655.19	-3293.09	12091.2
4  	-180952     	-7720.58	-3287.27	12082.8
5  	-428410     	-8584.05	-3287.27	22338.1
6  	-180810     	-7811.46	-3287.27	12142.5
7  	-181202     	-7772.23	-3281.51	12053.6
8  	-182272     	-7713.34	-3281.51	11753.5
9  	-182976     	-7631.54	-3281.51	11221.5
10 	-180602     	-7658.02	-3237   	11378.7
11 	-178709     	-7702.54	-3237   	11202.9
12 	-180205     	-7738.82	-3237   	11169.9
13 	-136288     	-7575.63	-3237   	8342.13
14 	-136761     	-7539.29	-3237   	8283.58
15 	-195271     	-8020.04	-3237   	11823.7
16 	-195095     	-8242.02	-3235.48	12712.7
17 	-195530     	-8251.96	-3233.78	12489.8
18 	-195504     	-8308.18	-3233.78	12518.6
19 	-195634     	-8113.36	-3233.78	11162.4
20 	-105198     	-7780.32	-3233.78	7400.82
21 	-1.50305e+06	-10648.7	-3233.78	67086.5
22 	-1.5026e+06 	-10896.3	-3233.78	67242.6
23 	-1.50234e+06	-10862.7	-3233.78	67205.1
24 	-1.50251e+06	-11011.9	-3233.78	67242.6
25 	-1.50712e+06	-11061.3	-3233.78	67464.7
26 	-1.50716e+06	-11159.5	-3233.78	67492.3
27 	-1.50716e+06	-11344.1	-3233.78	67526.2
28 	-1.50724e+06	-11404.5	-3233.78	67525.1
29 	-1.5053e+06 	-11524.8	-3233.78	67467.9
30 	-1.51058e+06	-11728.1	-3233.78	67742.4
31 	-1.50661e+06	-11912.6	-3218.08	67652  
32 	-1.50263e+06	-13315.3	-3218.08	71058.7
33 	-482018     	-10343  	-3141.56	24704.1
34 	-482021     	-10818.6	-3141.56	26714.8
35 	-482198     	-10964.9	-3141.56	27004.7
36 	-480314     	-10987.6	-3141.56	26924.8
37 	-482377     	-11356.5	-3141.56	28295.1
38 	-481363     	-11074.4	-3141.56	27314.4
39 	-481353     	-11111.7	-3141.56	27200.7
40 	-481489     	-10655.5	-3141.56	24825.8
41 	-480739     	-10637.1	-3141.56	24942.5
42 	-181752     	-9730.67	-3141.56	13420.7
43 	-181616     	-9565.97	-3141.56	12045.7
44 	-180035     	-9631.33	-3141.56	12054.3
45 	-178946     	-9788.35	-3141.56	12192.3
46 	-185191     	-9662.05	-3141.56	12252.1
47 	-184696     	-9749.33	-3141.56	12890.4
48 	-184661     	-9567.46	-3141.56	11351.2
49 	-184664     	-9720.24	-3141.56	11767.4
50 	-188832     	-9728.74	-3141.56	11928.3
51 	-198237     	-10062.2	-3141.56	14403.3
52 	-198519     	-10057.2	-3141.56	14219.9
53 	-198532     	-10197  	-3141.56	14510.9
54 	-201073     	-10423.6	-3141.56	14588.2
55 	-184764     	-10465.2	-3141.56	13208.7
56 	-184745     	-10470.9	-3141.56	13118.7
57 	-187518     	-10698.3	-3141.56	13395.4
58 	-187088     	-10680.7	-3141.56	13292.7
59 	-192109     	-11204.7	-3141.56	16122.7
60 	-187201     	-10888.3	-3139.67	13935.9
61 	-187318     	-10695  	-3139.67	12398.8
62 	-94717.5    	-10463.1	-3139.67	9878.57
63 	-94787.5    	-10483.4	-3139.67	9421.63
64 	-96320.8    	-10451.7	-3139.67	9412.77
65 	-446448     	-11471.9	-3139.67	21724.7
66 	-446491     	-12336.5	-3139.67	26156  
67 	-324230     	-11717.1	-3139.67	18013.4
68 	-315161     	-11690.8	-3139.67	17152.4
69 	-3.30786e+06	-18311.2	-3139.67	148334 
70 	-3.34098e+06	-18307  	-3139.67	149785 
71 	-3.34894e+06	-18088.1	-3139.67	150101 
72 	-3.31029e+06	-18562.3	-3139.67	148709 
73 	-3.31257e+06	-18916.8	-3139.67	148991 
74 	-3.31603e+06	-18923.1	-3139.67	149108 
75 	-3.30801e+06	-18894.5	-3139.67	148735 
76 	-3.30792e+06	-18862.2	-3139.67	148656 
77 	-3.3111e+06 	-19269.2	-3139.67	148892 
78 	-3.31053e+06	-19261.7	-3139.67	148862 
79 	-3.31045e+06	-20518.7	-3139.67	152053 
80 	-3.31326e+06	-20511.4	-3139.67	152203 
81 	-3.31041e+06	-20591.5	-3139.67	152048 
82 	-3.31033e+06	-20840.4	-3139.67	152085 
83 	-3.31069e+06	-19090.8	-3139.67	148630 
84 	-3.31078e+06	-19113.3	-3139.67	148628 
85 	-3.30882e+06	-18598.5	-3139.67	147952 
86 	-3.30884e+06	-18637.6	-3139.67	147894 
87 	-3.31379e+06	-18713.5	-3139.67	148132 
88 	-3.30965e+06	-18771.3	-3139.67	147968 
89 	-3.30948e+06	-18778.6	-3133.36	147967 
90 	-3.30939e+06	-18682.8	-3133.36	147922 
91 	-3.31026e+06	-18716.5	-3133.36	147940 
92 	-3.31041e+06	-18917.6	-3133.36	147962 
93 	-3.31352e+06	-18904.3	-3133.36	148114 
94 	-3.30867e+06	-18654.4	-3133.36	147651 
95 	-3.31246e+06	-20019.7	-3133.36	150404 
96 	-3.31249e+06	-20175.6	-3133.36	150550 
97 	-643023     	-13590.2	-3133.36	30657.6
98 	-643147     	-13511.6	-3133.36	30579.5
99 	-643125     	-13433.2	-3133.36	30477.8
