gen	min         	avg     	max     	std        
0  	-167390     	-7766.41	-3145.3 	13607.7    
1  	-167409     	-7843.55	-3145.3 	13585.6    
2  	-167291     	-8305.55	-3145.3 	15096.8    
3  	-171413     	-8366.61	-3145.3 	15194.9    
4  	-164992     	-8057.64	-3145.3 	13134.5    
5  	-165069     	-7914.15	-3127.22	12452.8    
6  	-164961     	-7951.65	-3127.22	12428.9    
7  	-164974     	-7845.93	-3127.22	11797      
8  	-165031     	-7960.74	-3026.38	11909      
9  	-165192     	-7983.89	-3026.38	11947.5    
10 	-170116     	-7899.69	-3026.38	11740.1    
11 	-171929     	-7849.49	-3026.38	11375.1    
12 	-169827     	-7784.53	-3011.94	11188.4    
13 	-169422     	-7817.18	-3011.94	11163.5    
14 	-169480     	-7800.01	-3011.94	11074.8    
15 	-174080     	-7938.13	-3011.94	11446      
16 	-167703     	-7913.98	-3011.94	11278      
17 	-166393     	-7992.61	-3011.94	11297.6    
18 	-165543     	-8019.83	-3011.94	11279.1    
19 	-165139     	-8246.62	-3011.94	11641.5    
20 	-376894     	-8508.56	-3010.54	18470      
21 	-377205     	-8425.21	-3010.54	18360.7    
22 	-376621     	-8613.79	-3010.54	18753.9    
23 	-378495     	-8623.15	-3010.54	18779.9    
24 	-377940     	-8596.94	-3010.54	18637.2    
25 	-376372     	-8594.22	-3010.54	18544.2    
26 	-376945     	-8870.76	-2875.36	20132.9    
27 	-380243     	-8966.7 	-2875.36	20224.7    
28 	-383466     	-8959.19	-2875.36	20032.4    
29 	-380745     	-8747.46	-2875.36	18559      
30 	-377308     	-8750.67	-2875.36	18273.7    
31 	-386058     	-8813.78	-2875.36	18704.1    
32 	-377091     	-8777.65	-2875.36	17990.7    
33 	-77751      	-8151   	-2875.36	7165.13    
34 	-77158.1    	-8260.88	-2875.36	6900.25    
35 	-136932     	-8657.92	-2875.36	9427.48    
36 	-77271      	-8516.48	-2875.36	7627.62    
37 	-78741.5    	-8485.82	-2875.36	7566.93    
38 	-78543.4    	-8571.72	-2875.36	7783.4     
39 	-75358.3    	-8483.62	-2875.36	7479.45    
40 	-81452.3    	-8402.73	-2875.36	7056.96    
41 	-81261.3    	-8444.01	-2875.36	7119.86    
42 	-67567.8    	-8565.1 	-2875.36	7092.13    
43 	-57378      	-8522.01	-2875.36	6557.42    
44 	-58394.3    	-8468.53	-2875.36	6321.79    
45 	-4.01068e+06	-16421.1	-2875.36	178912     
46 	-4.01033e+06	-16576.4	-2875.36	178924     
47 	-4.00812e+06	-16731  	-2875.36	178845     
48 	-4.00829e+06	-16637.8	-2875.36	178849     
49 	-4.00774e+06	-16713.7	-2875.36	178830     
50 	-4.00972e+06	-16658.1	-2875.36	178902     
51 	-1.16049e+08	-248744 	-2875.36	5.18701e+06
52 	-1.16051e+08	-248720 	-2875.36	5.1871e+06 
53 	-1.16051e+08	-248715 	-2871.28	5.18712e+06
54 	-1.16051e+08	-248605 	-2871.28	5.18713e+06
55 	-4.00988e+06	-16557.3	-2871.28	178866     
56 	-4.01373e+06	-16714.2	-2871.28	179046     
57 	-4.01045e+06	-16839.1	-2871.28	178902     
58 	-4.01039e+06	-16789.3	-2871.28	178905     
59 	-4.00987e+06	-16831.4	-2871.28	178880     
60 	-4.00789e+06	-17006.3	-2871.28	178798     
61 	-4.00775e+06	-17668.8	-2871.28	179182     
62 	-4.00756e+06	-17713.4	-2871.28	179170     
63 	-4.00754e+06	-18303.5	-2871.28	179581     
64 	-4.00761e+06	-18341.7	-2871.28	179551     
65 	-4.00841e+06	-18893.4	-2871.28	179705     
66 	-4.01002e+06	-18950.8	-2871.28	179816     
67 	-4.01072e+06	-18955.3	-2871.28	179820     
68 	-1.83398e+07	-55437.9	-2871.28	838035     
69 	-1.83399e+07	-56089.2	-2871.28	838025     
70 	-1.834e+07  	-56029.5	-2871.28	838035     
71 	-1.83391e+07	-55364  	-2871.28	837935     
72 	-4.01282e+06	-19565.9	-2871.28	180301     
73 	-4.00922e+06	-23221.6	-2871.28	194560     
74 	-4.00916e+06	-23262.8	-2871.28	194634     
75 	-1.65388e+06	-15330.3	-2871.28	77699.6    
76 	-1.65353e+06	-15591.8	-2871.28	77675.6    
77 	-1.65002e+06	-15623.6	-2871.28	77549.8    
78 	-1.64995e+06	-15705.6	-2871.28	77646.9    
79 	-1.65002e+06	-15666.3	-2871.28	77644.6    
80 	-1.65563e+06	-16437  	-2871.28	79247.9    
81 	-1.6556e+06 	-16517.4	-2871.28	79376      
82 	-6.0275e+06 	-28638.7	-2871.28	279963     
83 	-6.03006e+06	-28693.2	-2871.28	280050     
84 	-6.03034e+06	-28072.5	-2871.28	279666     
85 	-6.03037e+06	-28290.5	-2871.28	279666     
86 	-6.032e+06  	-28341.9	-2871.28	279739     
87 	-6.03082e+06	-28104  	-2871.28	279518     
88 	-6.02906e+06	-28177.2	-2871.28	279454     
89 	-6.03589e+06	-28886.1	-2871.28	280154     
90 	-6.02963e+06	-28483  	-2871.28	279539     
91 	-6.03109e+06	-28258.6	-2870.28	279517     
92 	-6.02987e+06	-28391.9	-2866.28	279494     
93 	-6.02983e+06	-28529.9	-2866.28	279487     
94 	-6.02905e+06	-28550.2	-2866.28	279435     
95 	-6.03143e+06	-28036.9	-2866.28	279318     
96 	-6.03231e+06	-27812.4	-2866.28	279371     
97 	-6.03156e+06	-27511.8	-2866.28	279267     
98 	-1.65291e+06	-15395.3	-2866.28	75684.2    
99 	-1.65523e+06	-15407.5	-2866.28	75906.1    
