gen	min         	avg     	max     	std    
0  	-114535     	-4853.06	-1669.36	9000.55
1  	-121855     	-4695.04	-1669.36	8152.93
2  	-121855     	-4719.01	-1669.36	8135.35
3  	-121860     	-4718.7 	-1625.58	8119.42
4  	-121860     	-4722.54	-1625.58	8139.48
5  	-121860     	-4690.9 	-1625.58	8026.99
6  	-121872     	-4623.49	-1625.58	7793.34
7  	-121865     	-4591.78	-1625.58	7698.95
8  	-121858     	-4480.56	-1620.88	7432.53
9  	-121858     	-4523.53	-1620.88	7489.47
10 	-121858     	-4525.13	-1616.46	7492.3 
11 	-122881     	-4463.35	-1616.46	7205.34
12 	-122012     	-4500.13	-1616.46	7185.08
13 	-122012     	-4547.65	-1616.46	7351.19
14 	-122012     	-4503.06	-1616.46	7248.57
15 	-121866     	-4521.1 	-1616.46	7223.52
16 	-123022     	-4621.82	-1616.46	7421.08
17 	-123022     	-4587.98	-1591.01	7325.88
18 	-567938     	-5700.97	-1591.01	26201  
19 	-567938     	-5683.52	-1591.01	26216.9
20 	-567851     	-5677.48	-1591.01	26207.5
21 	-123411     	-4569.31	-1591.01	7324   
22 	-123411     	-4597.38	-1591.01	7315.51
23 	-123411     	-4590.37	-1591.01	7262.04
24 	-123410     	-4573.58	-1591.01	7253.13
25 	-123410     	-4533.18	-1591.01	7212.26
26 	-123410     	-4523.68	-1591.01	7225.42
27 	-232578     	-5013.61	-1591.01	12467.4
28 	-232578     	-5015.88	-1591.01	12458.8
29 	-232790     	-4982.24	-1591.01	12407.6
30 	-3.86077e+06	-12598.1	-1591.01	172701 
31 	-3.86034e+06	-12763.4	-1591.01	172697 
32 	-3.8612e+06 	-12871.3	-1591.01	172761 
33 	-3.8612e+06 	-12867.6	-1591.01	172762 
34 	-3.86069e+06	-12960.3	-1591.01	172741 
35 	-3.86069e+06	-12974.2	-1585.23	172736 
36 	-3.86069e+06	-14008.1	-1585.23	174260 
37 	-3.86085e+06	-13551.6	-1585.23	173991 
38 	-3.86457e+06	-13562.6	-1585.23	174156 
39 	-3.86146e+06	-13447.2	-1585.23	174003 
40 	-3.86146e+06	-13413.7	-1585.23	173992 
41 	-3.86146e+06	-13427.3	-1585.23	173992 
42 	-3.86163e+06	-13537.2	-1585.23	174014 
43 	-528175     	-5921.55	-1585.23	24675.3
44 	-529015     	-5821.62	-1585.23	24660.5
45 	-525787     	-5831.31	-1585.23	24543.2
46 	-525661     	-5728.23	-1585.23	24403.5
47 	-525452     	-5794.36	-1585.23	24460.3
48 	-525452     	-5830.66	-1585.23	24478.2
49 	-525490     	-5805.16	-1585.23	24477.7
50 	-530173     	-5808.18	-1585.23	24668.4
51 	-530173     	-6295.21	-1585.23	26820.8
52 	-525802     	-6384.75	-1585.23	26664.3
53 	-525802     	-6402.55	-1585.23	26671.9
54 	-525802     	-5864.3 	-1585.23	24438.9
55 	-134465     	-4774.07	-1585.23	7295.49
56 	-134465     	-4699.41	-1585.23	6817.04
57 	-37885.2    	-4499.48	-1585.23	3683.11
58 	-37835.9    	-4479.75	-1585.23	3716.6 
59 	-37835.9    	-4511.55	-1585.23	3747.4 
60 	-37835.9    	-4519.08	-1585.23	3782.89
61 	-34596      	-4512.61	-1585.23	3486.24
62 	-34596      	-4497.43	-1585.23	3302.12
63 	-34596      	-4482.21	-1585.23	3155.81
64 	-34596      	-4493.14	-1585.23	3196.19
65 	-34596      	-4461.53	-1585.23	3171.94
66 	-34605.1    	-4471.38	-1585.23	3168.03
67 	-34605.1    	-4458.89	-1585.23	3159.84
68 	-344984     	-5154.81	-1585.23	15541.2
69 	-344984     	-5148.13	-1585.23	15548.9
70 	-344984     	-5155.58	-1585.23	15557  
71 	-345116     	-5157.34	-1585.23	15552.5
72 	-345116     	-5304.77	-1585.23	15727.7
73 	-345116     	-5354.01	-1585.23	15743.7
74 	-345116     	-5658.26	-1585.23	16414.3
75 	-345116     	-6048.51	-1585.23	18274.9
76 	-345116     	-6021.07	-1585.23	18137.8
77 	-345116     	-6169.15	-1585.23	18336.9
78 	-345062     	-6356.57	-1585.23	18648.4
79 	-184377     	-5733.43	-1585.23	10886.1
80 	-184377     	-5618.55	-1585.23	10605.7
81 	-184377     	-5496.72	-1585.23	9889.75
82 	-179039     	-5681.06	-1547.5 	9985.87
83 	-179039     	-5666.02	-1547.5 	9954.39
84 	-177387     	-5819.53	-1547.5 	10173.8
85 	-177521     	-6066.12	-1547.5 	11918.1
86 	-177521     	-6057.58	-1547.5 	11918.4
87 	-177521     	-5950.48	-1547.5 	11598.8
88 	-177969     	-5925.9 	-1547.5 	11572.7
89 	-151313     	-5618.98	-1547.5 	8672.12
90 	-151577     	-5534.34	-1547.5 	8422.12
91 	-64334.2    	-5280.49	-1547.5 	5579.33
92 	-66283.8    	-5232.51	-1547.5 	5448.18
93 	-147172     	-5489.95	-1547.5 	8242.57
94 	-147172     	-5691.06	-1547.5 	9000.77
95 	-146890     	-5557.55	-1547.5 	8217.02
96 	-146890     	-5585.7 	-1547.5 	8242.52
97 	-147001     	-5519.71	-1547.5 	7930.88
98 	-146415     	-5527   	-1547.5 	7898.91
99 	-146382     	-5542.82	-1547.5 	7862.16
