gen	min     	avg     	max     	std    
0  	-95514.7	-4673.19	-1644.02	7962.82
1  	-94912.4	-4612.36	-1644.02	7405.99
2  	-76811.4	-4457.28	-1644.02	6332.49
3  	-76993.8	-4489.3 	-1644.02	6445.05
4  	-76808.7	-4468.54	-1644.02	6356.82
5  	-114038 	-4600.1 	-1634.74	7793.05
6  	-114038 	-4541.48	-1634.74	7389.83
7  	-114038 	-4587.37	-1634.74	7473.32
8  	-114005 	-4623.35	-1634.74	7523.51
9  	-114000 	-4615.79	-1634.74	7467.2 
10 	-114024 	-4546.96	-1619.61	7185.76
11 	-114024 	-4547.2 	-1619.61	7185.98
12 	-114024 	-4610.81	-1593.06	7316.13
13 	-295944 	-5047.29	-1593.06	14574.5
14 	-295944 	-4861.36	-1586.1 	13726  
15 	-51704.9	-4265.78	-1586.1 	4397.94
16 	-51701.4	-4254.59	-1586.1 	4220.76
17 	-51701.4	-4225.79	-1586.1 	4240.27
18 	-51701.4	-4215.95	-1586.1 	4166.99
19 	-51701.4	-4206.99	-1569.66	4004.94
20 	-51701.4	-4277.72	-1569.66	4394.15
21 	-51725.4	-4337.54	-1569.66	4501.38
22 	-51750.3	-4390.1 	-1539.4 	4907.92
23 	-51780.1	-4419.22	-1539.4 	4911.62
24 	-51777.1	-4370.79	-1539.4 	4618.58
25 	-51777.1	-4367.09	-1539.4 	4535.73
26 	-51777.1	-4454.17	-1521.27	4697.26
27 	-51995.2	-4550.98	-1521.27	5086.3 
28 	-51995.2	-4572.92	-1521.27	5120.02
29 	-52000.2	-4548.06	-1521.27	4844.31
30 	-51831.9	-4500.45	-1521.27	4514.38
31 	-51480.6	-4459.76	-1521.27	4384.1 
32 	-51480.6	-4403.4 	-1520.27	4292.89
33 	-56472.1	-4528.1 	-1520.27	4831.78
34 	-55682.8	-4541.84	-1520.27	4773.32
35 	-55680.8	-4537.3 	-1520.27	4761.39
36 	-55680.8	-4517.2 	-1520.27	4728.01
37 	-254486 	-4986.37	-1520.27	12063.4
38 	-254486 	-4977.79	-1520.27	11887.8
39 	-254508 	-5198.71	-1519.25	12500.7
40 	-254508 	-5177.74	-1519.25	12455.5
41 	-254625 	-5193.1 	-1519.25	12417.6
42 	-289894 	-5746.36	-1519.25	17763.2
43 	-289894 	-5737.09	-1519.12	17761.2
44 	-289406 	-5278.7 	-1519.12	13821.6
45 	-290980 	-5449.75	-1516.12	14404.3
46 	-290980 	-5521.86	-1516.12	14463.7
47 	-291438 	-5519.24	-1516.12	14481.7
48 	-289846 	-5464.89	-1516.12	14443.9
49 	-288840 	-5466.22	-1516.12	14303.9
50 	-288787 	-5488.41	-1516.12	14298.1
51 	-288787 	-5419.59	-1516.12	14163.5
52 	-288800 	-5427.48	-1516.12	14171.1
53 	-91740.3	-4967.78	-1516.12	6789.03
54 	-91740.3	-4971.87	-1516.12	6773.99
55 	-92886.7	-4936.84	-1516.12	6677.69
56 	-94427.3	-4923.76	-1516.12	6702.6 
57 	-92995.6	-4776.75	-1516.12	5559.22
58 	-92995.6	-4781.68	-1516.12	5554.31
59 	-92995.6	-4805.34	-1516.12	5582.12
60 	-92995.6	-4871.3 	-1516.12	5704.65
61 	-51806.1	-4776.55	-1516.12	4174.26
62 	-126048 	-5025.04	-1516.12	6863.89
63 	-126048 	-5039.27	-1515.42	6880.65
64 	-51807.2	-4780.59	-1515.42	4227.55
65 	-51256.8	-4943.85	-1515.42	4923.08
66 	-51249.7	-4937.52	-1515.42	4720.35
67 	-51249.7	-4921.23	-1515.42	4615.4 
68 	-69611.6	-5026.53	-1515.42	5057.94
69 	-69611.6	-5059.69	-1515.42	5470.34
70 	-61166.5	-5076.1 	-1515.42	5352.16
71 	-61200.1	-5046.68	-1515.42	5254.55
72 	-61200.1	-5004.27	-1515.42	5058.63
73 	-61200.1	-5035.49	-1515.42	4984.11
74 	-61200.1	-5006.86	-1515.42	4901.18
75 	-61200.1	-5013.59	-1515.42	4901.02
76 	-59431.8	-4962.68	-1515.42	4764.71
77 	-59491.6	-4954.72	-1515.42	4709.05
78 	-59491.6	-4978.32	-1515.42	4700.59
79 	-59658.7	-4979.37	-1515.42	4792.41
80 	-49570.4	-4919.42	-1515.42	4142.48
81 	-233117 	-5409   	-1515.42	11203.9
82 	-234935 	-5413.68	-1515.42	11288.9
83 	-57219.1	-4943   	-1515.42	4710.33
84 	-419157 	-5710.94	-1515.42	18965.9
85 	-420336 	-5634.2 	-1515.42	18894.3
86 	-420336 	-5959.59	-1515.42	20074.2
87 	-420336 	-6074.97	-1515.42	20193.7
88 	-420336 	-5881.3 	-1515.42	19075.3
89 	-55042.7	-5091.83	-1515.42	4521.61
90 	-55042.7	-5215.71	-1515.42	4837.81
91 	-37456.5	-5135.29	-1515.42	4301.36
92 	-45725.5	-5226.19	-1515.42	4818.9 
93 	-45624.9	-5236.07	-1515.42	4767.48
94 	-65509.2	-5322.79	-1515.42	5430.91
95 	-64788.1	-5319.92	-1515.42	5436.18
96 	-64788.1	-5318.04	-1515.42	5522.12
97 	-64788.8	-5251.68	-1515.42	5161.15
98 	-64869.3	-5204.54	-1515.42	4954.79
99 	-64869.3	-5222.16	-1515.42	4998.69
