gen	min         	avg     	max     	std        
0  	-633275     	-6025.74	-1677.13	30531.4    
1  	-633289     	-6009.67	-1677.13	30557.6    
2  	-633289     	-6065.71	-1677.13	30607.1    
3  	-633289     	-6208.06	-1677.13	30883.4    
4  	-633355     	-6217.52	-1675.43	30884.8    
5  	-634803     	-6307.21	-1675.43	31013.6    
6  	-634597     	-6216.76	-1675.43	30933.9    
7  	-634597     	-5769.72	-1557.27	29205.9    
8  	-634544     	-5849.3 	-1557.27	29226.9    
9  	-634544     	-5848.57	-1557.27	29218.2    
10 	-112898     	-4629.02	-1557.27	7892.59    
11 	-101667     	-4439.92	-1557.27	6214.97    
12 	-50493.1    	-4274.03	-1557.27	4452.51    
13 	-50517.1    	-4178.72	-1557.27	4061.43    
14 	-53520.3    	-4304.47	-1557.27	4643.79    
15 	-87302.7    	-4366.42	-1557.27	5536.35    
16 	-87369      	-4380.5 	-1557.27	5514       
17 	-90208.5    	-4367.97	-1557.27	5583.54    
18 	-90208.5    	-4374   	-1557.27	5374.7     
19 	-87538.7    	-4381.65	-1557.27	5294.59    
20 	-87498.9    	-4384.73	-1557.27	5305.01    
21 	-38257.5    	-4241.66	-1557.27	3782.08    
22 	-43455.8    	-4370   	-1557.27	4249.96    
23 	-53944.1    	-4408.51	-1557.27	4558.85    
24 	-97311.9    	-4625.87	-1557.27	6197.69    
25 	-97139.6    	-4587.36	-1557.27	6110.59    
26 	-421887     	-5494.36	-1557.27	19640.4    
27 	-421727     	-5506.9 	-1557.27	19640.9    
28 	-421727     	-5601.49	-1557.27	19882.2    
29 	-97139.6    	-4784.19	-1557.27	7007.77    
30 	-97139.6    	-4790.15	-1557.27	6956.5     
31 	-97139.6    	-4746.32	-1557.27	6629.44    
32 	-97139.6    	-4953.69	-1557.27	7758.92    
33 	-97069.5    	-4992.32	-1557.27	7759.45    
34 	-96429.2    	-4989.98	-1557.27	7877       
35 	-107846     	-4953.58	-1557.27	7990.37    
36 	-107851     	-4826.03	-1557.27	7232.23    
37 	-107851     	-4959.19	-1557.27	7384.05    
38 	-96502.8    	-4933.05	-1557.27	7057.51    
39 	-96858.8    	-4891.54	-1557.27	7005.94    
40 	-96928.7    	-4913.64	-1557.27	7023.47    
41 	-96508.8    	-4781.04	-1548.22	5883.41    
42 	-96605.3    	-4845.5 	-1548.22	6124.71    
43 	-96605.3    	-4858.66	-1548.22	5982.33    
44 	-96605.3    	-4908.12	-1548.22	5969.17    
45 	-110098     	-5143.22	-1548.22	7573.23    
46 	-110098     	-5321.82	-1548.22	8645.69    
47 	-110098     	-5312.81	-1548.22	8549.1     
48 	-6.28264e+07	-130718 	-1548.22	2.80665e+06
49 	-6.28264e+07	-130650 	-1548.22	2.80665e+06
50 	-6.28264e+07	-130617 	-1548.22	2.80666e+06
51 	-6.28243e+07	-130645 	-1548.22	2.80656e+06
52 	-97032.9    	-5033.03	-1548.22	6773.69    
53 	-97072.9    	-5049.07	-1548.22	6780.2     
54 	-97072.9    	-5061.87	-1548.22	6839.16    
55 	-99653.9    	-5077.04	-1548.22	7005.64    
56 	-110521     	-5436.8 	-1548.22	8894.01    
57 	-106054     	-5434.36	-1548.22	8712.16    
58 	-106054     	-5373.9 	-1547.53	8557.23    
59 	-96445.8    	-5162.28	-1547.53	7436.2     
60 	-96445.8    	-5299.63	-1547.53	7910.96    
61 	-96445.8    	-5243.3 	-1547.53	7140.82    
62 	-1.00153e+06	-7251.16	-1547.53	45077.4    
63 	-1.00153e+06	-7207.13	-1547.53	45008      
64 	-1.00153e+06	-7134.8 	-1547.53	44894.3    
65 	-1.00146e+06	-7049.28	-1547.53	44855.8    
66 	-1.0015e+06 	-7059.45	-1547.53	44859.5    
67 	-1.00161e+06	-7013.18	-1547.53	44860.1    
68 	-1.00164e+06	-7058.13	-1547.53	44868.2    
69 	-1.00164e+06	-7017.08	-1547.53	44817.5    
70 	-1.00187e+06	-7030.41	-1547.53	44822      
71 	-1.00187e+06	-7095.63	-1547.53	44853.8    
72 	-998862     	-7609.59	-1547.53	45668.5    
73 	-998862     	-7716.16	-1547.53	45685.2    
74 	-1.00058e+06	-7594.22	-1545.83	45721.1    
75 	-1.00061e+06	-7577.84	-1545.83	45756.3    
76 	-1.00049e+06	-7691.16	-1544.83	45981.1    
77 	-218677     	-5715.72	-1544.83	11792.3    
78 	-218677     	-5708.13	-1544.83	11817.5    
79 	-218677     	-5754.57	-1544.83	11819.4    
80 	-219400     	-5601.33	-1544.83	10832.9    
81 	-219400     	-5718.93	-1544.83	11140.8    
82 	-219401     	-5821.49	-1544.83	11171.1    
83 	-219401     	-5754.23	-1544.83	10873.8    
84 	-297390     	-6247.34	-1544.83	16780      
85 	-297390     	-6257.25	-1544.83	16630.1    
86 	-297390     	-6335.53	-1544.83	16741      
87 	-297584     	-6230.22	-1544.83	16579.7    
88 	-297584     	-6480.61	-1544.83	17359.1    
89 	-319554     	-6488.39	-1544.83	18079.8    
90 	-319554     	-6503.89	-1544.83	18099.6    
91 	-319554     	-6570.6 	-1544.83	18128.7    
92 	-319554     	-6558.98	-1544.83	18110.9    
93 	-319554     	-6257.89	-1544.83	15699.2    
94 	-319554     	-6203.28	-1544.83	15692.6    
95 	-317787     	-6276.25	-1544.83	15668.1    
96 	-317787     	-6289.84	-1544.83	15665.4    
97 	-317787     	-6413.28	-1544.83	15826.6    
98 	-318766     	-6497.71	-1544.83	15889.3    
99 	-319888     	-6510.39	-1544.83	15881      
