gen	min     	avg     	max     	std    
0  	-492308 	-13442.8	-4767.52	24520.1
1  	-172300 	-12887.3	-4767.52	13177.7
2  	-107448 	-12761  	-4767.52	11213.7
3  	-87326.2	-12911.7	-4767.52	10649.2
4  	-85510.3	-12987.3	-4743.74	10357.5
5  	-83762.2	-12983.1	-4743.74	9920.47
6  	-110670 	-13107.7	-4743.74	10211.7
7  	-77908.2	-13172.4	-4743.74	9470.5 
8  	-71058.6	-13222.5	-4743.74	9166.43
9  	-67172.4	-13016  	-4743.74	8570.33
10 	-64143.1	-13030.5	-4743.74	8184.32
11 	-63989.6	-13139.9	-4743.74	8438.37
12 	-59802.2	-13173.7	-4743.74	8407.97
13 	-59949.3	-13258.2	-4743.74	8329.74
14 	-59946  	-13247.1	-4743.74	8047.97
15 	-59946  	-13405.5	-4743.74	8269.81
16 	-52865.4	-13451.8	-4729.43	8099.01
17 	-54073.2	-13607.7	-4729.43	8066.56
18 	-54083.9	-13608.8	-4729.43	7811.19
19 	-145620 	-13900.4	-4729.43	9779.95
20 	-56568.5	-13947.5	-4729.43	8449.61
21 	-56779.3	-14161.7	-4725.08	8636.27
22 	-54193.7	-14157.7	-4725.08	8467.79
23 	-65154.7	-14411.7	-4725.08	8858.81
24 	-57752  	-14455.4	-4725.08	8815.81
25 	-57908.7	-14701.2	-4725.08	8652.72
26 	-59256.6	-14813.6	-4725.08	8918.04
27 	-62382.7	-15212.1	-4725.08	9578.45
28 	-71131.8	-15168.5	-4725.08	9401.02
29 	-58288.1	-15238.8	-4725.08	8983.3 
30 	-57753.1	-15219.7	-4725.08	8784.97
31 	-57028.7	-15286  	-4725.08	8722.04
32 	-77446.2	-15427.3	-4725.08	9340.86
33 	-77446.2	-15521.2	-4725.08	9511.84
34 	-68904.9	-15628.1	-4725.08	9121.68
35 	-60189.2	-15764.2	-4725.08	9221.2 
36 	-60242.6	-15878.7	-4725.08	9440.58
37 	-60571.8	-16125.3	-4725.08	9500.4 
38 	-59448  	-16403  	-4725.08	9404.19
39 	-59891.1	-16441.9	-4725.08	9441.84
40 	-61869.9	-16610.9	-4725.08	9549.69
41 	-69471.6	-16687.9	-4725.08	9635.73
42 	-96252.4	-16856.3	-4725.08	10160.5
43 	-185094 	-17291.5	-4725.08	12600.8
44 	-185094 	-17443.3	-4725.08	12917  
45 	-148845 	-17534.8	-4725.08	12319.4
46 	-147770 	-18084.2	-4725.08	12986.9
47 	-95202.1	-17902.3	-4725.08	12019.7
48 	-119443 	-18057.7	-4725.08	12279.9
49 	-85212.7	-17946.3	-4725.08	11313.8
50 	-65820.9	-18026.5	-4725.08	10921.5
51 	-73502.6	-18052.1	-4725.08	11122.4
52 	-78231.4	-18119.8	-4725.08	10884.5
53 	-72686.2	-18155.7	-4725.08	10584.2
54 	-70700.8	-18156.7	-4725.08	10792.2
55 	-68655.5	-18211  	-4725.08	10541.9
56 	-68819.3	-18302.8	-4725.08	10673.4
57 	-68802.1	-18235.4	-4725.08	10436.7
58 	-69159.5	-18225.9	-4725.08	10437.5
59 	-67781.9	-18462  	-4713.49	10600  
60 	-67988.8	-18549.2	-4713.49	10557.7
61 	-65028.2	-18524.8	-4709   	10809.1
62 	-72940.1	-18607.7	-4709   	10952.8
63 	-73023.4	-18704.8	-4709   	10832.7
64 	-73023.4	-18796.7	-4709   	10669.5
65 	-64683  	-18784.7	-4709   	10486.7
66 	-65336.8	-18824.1	-4708   	10472.5
67 	-100043 	-19283.8	-4708   	11150.1
68 	-96505.2	-19231  	-4708   	11221.2
69 	-81872  	-19472.6	-4708   	11387.9
70 	-76424.2	-19678.2	-4708   	11374.4
71 	-76859.7	-20010.3	-4708   	11831.7
72 	-74316.1	-20135  	-4708   	11711.8
73 	-74851.1	-20203.4	-4708   	11748  
74 	-75684.4	-20238.1	-4703.59	11806.6
75 	-86569.6	-20286.7	-4703.59	12020.1
76 	-99856  	-20296.5	-4675.33	12074.6
77 	-93937.2	-20349.3	-4675.33	12221.7
78 	-75459.6	-20250.2	-4675.33	11902.9
79 	-75869.5	-20093.1	-4675.33	11663.5
80 	-75959.6	-20167.9	-4675.33	11322.6
81 	-75884  	-20436.9	-4675.33	11726.4
82 	-84204.1	-20628.8	-4675.33	12039.2
83 	-76097.5	-20653.9	-4675.33	11434.2
84 	-143980 	-21235.4	-4675.33	13670.7
85 	-107499 	-21248.4	-4675.33	12804.5
86 	-96890.6	-21546.7	-4675.33	13237.2
87 	-93859.2	-21402.5	-4675.33	12498.7
88 	-93860.5	-21692  	-4675.33	12686.2
89 	-87412.2	-21949.3	-4666.19	12744.4
90 	-87519.9	-22138.5	-4666.19	12548.6
91 	-83251.5	-22315.6	-4666.19	12820.3
92 	-78748  	-22446.3	-4666.19	12712.5
93 	-74878.7	-22393.2	-4666.19	12782  
94 	-107246 	-22779.6	-4666.19	13768.4
95 	-125809 	-23111.4	-4666.19	14653.8
96 	-116705 	-23028.5	-4666.19	13811.8
97 	-102223 	-23219.1	-4666.19	13893.3
98 	-90729.2	-23336.7	-4666.19	13710.8
99 	-177460 	-23712.9	-4666.19	15845  
