gen	min         	avg     	max     	std        
0  	-2.15577e+06	-24187.6	-4716.37	132298     
1  	-2.15763e+06	-24047.4	-4716.37	132259     
2  	-2.15753e+06	-20377.9	-4716.37	99975.8    
3  	-2.15497e+06	-20434.7	-4716.37	99554.1    
4  	-2.15534e+06	-20788.9	-4716.37	99812.2    
5  	-2.15527e+06	-20406.2	-4689.26	99403.5    
6  	-2.15528e+06	-20550.1	-4689.26	99429.2    
7  	-2.15554e+06	-20830.3	-4689.26	99606.8    
8  	-2.15577e+06	-20607.1	-4689.26	99392.8    
9  	-2.16005e+06	-20799.3	-4671.97	99585.6    
10 	-2.16003e+06	-20722.1	-4662.53	99420.8    
11 	-2.16055e+06	-20417.7	-4658.17	99142.1    
12 	-2.16106e+06	-20560.5	-4658.17	99192.3    
13 	-2.15972e+06	-20768.3	-4562.35	99169.8    
14 	-2.16428e+06	-20872.6	-4562.35	99316.8    
15 	-2.16126e+06	-21074.4	-4562.35	99161.7    
16 	-2.15941e+06	-21488.5	-4562.35	99384.2    
17 	-2.16369e+06	-20992.7	-4562.35	98846.9    
18 	-2.16015e+06	-20887.3	-4562.35	98689.5    
19 	-2.16852e+06	-21012.6	-4562.35	98834.9    
20 	-2.16857e+06	-21026.7	-4530.17	98515.4    
21 	-2.16859e+06	-21219.6	-4530.17	98578.3    
22 	-2.16166e+06	-21624.6	-4530.17	98537.1    
23 	-2.16138e+06	-22078.7	-4530.17	98767      
24 	-2.16138e+06	-22665.7	-4530.17	99991.3    
25 	-2.16142e+06	-22446  	-4530.17	99408.5    
26 	-6.60046e+07	-150092 	-4530.17	2.94818e+06
27 	-6.60169e+07	-150227 	-4530.17	2.94872e+06
28 	-6.60029e+07	-150789 	-4530.17	2.94808e+06
29 	-6.60063e+07	-150828 	-4526.41	2.94824e+06
30 	-6.60081e+07	-150987 	-4526.41	2.94831e+06
31 	-6.60058e+07	-151017 	-4526.41	2.9482e+06 
32 	-6.60039e+07	-154242 	-4526.41	2.94937e+06
33 	-6.60025e+07	-154446 	-4526.41	2.94929e+06
34 	-6.60038e+07	-154695 	-4526.41	2.94935e+06
35 	-6.60407e+07	-154703 	-4526.41	2.951e+06  
36 	-6.604e+07  	-154573 	-4526.41	2.95094e+06
37 	-6.60393e+07	-154658 	-4526.41	2.95091e+06
38 	-6.60378e+07	-154829 	-4526.41	2.95083e+06
39 	-6.60374e+07	-154905 	-4526.41	2.95081e+06
40 	-6.60373e+07	-155006 	-4526.41	2.9508e+06 
41 	-2.05961e+06	-23328.8	-4526.41	94305.1    
42 	-2.05872e+06	-23324.6	-4526.41	94071.4    
43 	-2.05991e+06	-23459.6	-4526.41	94149.4    
44 	-2.0576e+06 	-23754.5	-4526.41	94417.7    
45 	-2.0612e+06 	-26093  	-4526.41	116160     
46 	-2.06247e+06	-26620.6	-4526.41	116612     
47 	-2.06245e+06	-26686.7	-4526.41	116523     
48 	-2.06072e+06	-26844.4	-4526.41	116490     
49 	-2.06484e+06	-24085.7	-4526.41	94027.3    
50 	-2.06495e+06	-24115.5	-4526.41	94003.3    
51 	-2.0589e+06 	-24404.8	-4526.41	93891.7    
52 	-2.0589e+06 	-24220.9	-4526.41	93446      
53 	-2.06337e+06	-24776.4	-4526.41	94084.1    
54 	-2.05951e+06	-24522.3	-4526.41	93452.4    
55 	-2.05922e+06	-25412.9	-4526.41	94194.3    
