gen	min         	avg         	max     	std        
0  	-228369     	-15917.7    	-4964.23	24320.4    
1  	-226324     	-15945.4    	-4964.23	24292.8    
2  	-400487     	-16582.4    	-4964.23	29346.2    
3  	-226335     	-15945.4    	-4964.23	23944.9    
4  	-226219     	-16032.6    	-4787.59	24183.2    
5  	-226239     	-15746.6    	-4787.59	22468.2    
6  	-226953     	-16306.8    	-4606.92	23153.9    
7  	-226976     	-16337.8    	-4606.92	22703.2    
8  	-235778     	-16267.9    	-4606.92	22145.4    
9  	-235577     	-16702.9    	-4606.92	23579.5    
10 	-258312     	-17198.6    	-4606.92	25929.8    
11 	-258707     	-16805.9    	-4606.92	23942.2    
12 	-258675     	-16895.8    	-4606.92	23801.4    
13 	-266659     	-16906      	-4606.92	24103.1    
14 	-244322     	-17034.4    	-4606.92	23791.3    
15 	-243982     	-17331.5    	-4606.92	24429.1    
16 	-322542     	-18636.5    	-4606.92	29702      
17 	-322651     	-18649.6    	-4606.92	30519.3    
18 	-319710     	-18435.7    	-4606.92	29749.3    
19 	-319833     	-18416.1    	-4606.92	29074.3    
20 	-319781     	-18421.5    	-4606.92	29062.6    
21 	-319742     	-18915.9    	-4606.92	31312.4    
22 	-315079     	-18651.9    	-4606.92	29474.3    
23 	-314955     	-19002.1    	-4606.92	29155.9    
24 	-314824     	-19403      	-4606.92	29874.3    
25 	-317605     	-19108.3    	-4606.92	28402.8    
26 	-317244     	-19436.4    	-4606.92	29625.1    
27 	-317191     	-19607.7    	-4606.92	29392.4    
28 	-317491     	-19671.1    	-4606.92	29265.6    
29 	-317123     	-19413.5    	-4606.92	27372.6    
30 	-706741     	-20450.1    	-4606.92	39240.9    
31 	-289675     	-19129.2    	-4606.92	24471.9    
32 	-253456     	-18768.8    	-4600.41	21526.8    
33 	-253571     	-18611.9    	-4600.41	21358.2    
34 	-253534     	-18611.3    	-4596.43	20960.8    
35 	-254443     	-18750.3    	-4596.43	20956.9    
36 	-253312     	-18799.7    	-4596.43	21501.6    
37 	-253285     	-18757.1    	-4596.43	20637.4    
38 	-253354     	-18777.3    	-4596.43	20451.2    
39 	-181683     	-18488.8    	-4596.43	17153.5    
40 	-181966     	-18528.8    	-4589.24	16624.6    
41 	-883507     	-20307.1    	-4589.24	41968.4    
42 	-882705     	-19831.3    	-4549.83	40903      
43 	-883887     	-19662.8    	-4549.83	40962.8    
44 	-883058     	-19614      	-4538.53	40857.2    
45 	-882763     	-19946.4    	-4538.53	41449.9    
46 	-881964     	-20407.5    	-4538.53	41665.5    
47 	-196333     	-18730.5    	-4538.53	16003.9    
48 	-201307     	-18764.6    	-4538.53	15811.7    
49 	-200939     	-19097.4    	-4538.53	16675.4    
50 	-200915     	-19035.4    	-4538.53	16280.7    
51 	-219896     	-19175.7    	-4538.53	17854.1    
52 	-212438     	-19751.3    	-4534.01	19408.4    
53 	-204123     	-19568.7    	-4534.01	18509.5    
54 	-204244     	-19892      	-4534.01	18586.7    
55 	-204162     	-19791.7    	-4534.01	18138.2    
56 	-206812     	-20303      	-4534.01	19722.3    
57 	-206375     	-20638.2    	-4534.01	21200.7    
58 	-206462     	-20556.3    	-4534.01	20916.2    
59 	-287124     	-21039.1    	-4534.01	22529.4    
60 	-297332     	-21033.9    	-4534.01	23284.3    
61 	-297357     	-20919.9    	-4534.01	21442      
62 	-153479     	-20502.6    	-4534.01	17183.4    
63 	-145759     	-20658.5    	-4534.01	17296.5    
64 	-145539     	-20713.8    	-4534.01	16824.6    
65 	-252859     	-21217.5    	-4534.01	19691.7    
66 	-252588     	-21434.8    	-4534.01	20152.1    
67 	-158189     	-21099.3    	-4534.01	17378.4    
68 	-153332     	-21373.6    	-4534.01	17780.1    
69 	-172585     	-21609.1    	-4534.01	18527.6    
70 	-162284     	-21746.5    	-4534.01	18681.2    
71 	-259306     	-22032.4    	-4534.01	20263.5    
72 	-291649     	-22713.6    	-4534.01	23677.8    
73 	-587556     	-24071      	-4534.01	35012.5    
74 	-579366     	-24420.3    	-4534.01	35112.9    
75 	-585257     	-24461.5    	-4534.01	35148.6    
76 	-579057     	-24056.9    	-4534.01	33265.4    
77 	-579106     	-24051.9    	-4534.01	33220.5    
78 	-579469     	-24167.3    	-4534.01	33183.4    
79 	-580089     	-24449.2    	-4534.01	33704.4    
80 	-257480     	-23480.1    	-4534.01	22288.8    
81 	-665214     	-24623.8    	-4534.01	36389.6    
82 	-665210     	-24287.7    	-4534.01	34869.3    
83 	-4.9269e+06 	-34025.2    	-4534.01	221778     
84 	-4.92722e+06	-33966.1    	-4534.01	221704     
85 	-4.92966e+06	-34852      	-4534.01	222166     
86 	-4.92865e+06	-34735.4    	-4534.01	222062     
87 	-4.92845e+06	-36942.9    	-4534.01	226338     
88 	-4.9285e+06 	-36968.3    	-4530.06	226322     
89 	-4.92964e+06	-37032      	-4530.06	226445     
90 	-4.92922e+06	-36182.8    	-4530.06	224628     
91 	-4.92859e+06	-35880.5    	-4530.06	224434     
92 	-4.93448e+06	-35659.9    	-4530.06	224841     
93 	-2.0335e+09 	-4.10043e+06	-4530.06	9.08486e+07
94 	-2.0335e+09 	-4.0912e+06 	-4530.06	9.08487e+07
95 	-2.0335e+09 	-4.09127e+06	-4530.06	9.08489e+07
96 	-2.03348e+09	-4.0912e+06 	-4530.06	9.08477e+07
97 	-165655     	-24637.4    	-4530.06	19790.3    
98 	-1.12878e+06	-27195.6    	-4530.06	53465.8    
99 	-1.13758e+06	-27693.8    	-4530.06	53761.1    
