gen	min         	avg     	max     	std    
0  	-8.61218e+06	-32457.1	-5048.31	384587 
1  	-216724     	-15926.9	-4782.33	21929.3
2  	-203971     	-15608.4	-4782.33	19797.1
3  	-192538     	-15735.1	-4766.67	18959.8
4  	-128423     	-15668  	-4766.67	17549.9
5  	-125887     	-15609.7	-4766.67	16902.8
6  	-124735     	-15485.3	-4766.67	16383.7
7  	-122575     	-15403.8	-4752.21	15900.4
8  	-100443     	-15318.3	-4752.21	14766.7
9  	-126290     	-15478.9	-4752.21	15362.9
10 	-109669     	-15521  	-4752.21	15353.5
11 	-109669     	-15611  	-4752.21	14912.7
12 	-104816     	-15614  	-4752.21	14335.4
13 	-104777     	-15622  	-4752.21	13859.6
14 	-100088     	-15563.1	-4752.21	13478.4
15 	-94835.5    	-15479.9	-4752.21	13230.3
16 	-92617.7    	-15404.1	-4689.15	12763.1
17 	-124313     	-15690.9	-4689.15	13563.1
18 	-96550.6    	-16063.6	-4689.15	13904.8
19 	-93354.7    	-15980.2	-4689.15	13364.2
20 	-92263.4    	-16034  	-4689.15	12890.7
21 	-89071.5    	-16073.4	-4689.15	12716  
22 	-89880.3    	-16421.8	-4689.15	13090.9
23 	-86278.2    	-16584.6	-4689.15	13110.1
24 	-86278.2    	-16710.5	-4689.15	13164.7
25 	-88663.6    	-16823.8	-4689.15	13466  
26 	-112247     	-17123.1	-4689.15	14198.1
27 	-143156     	-17365.6	-4689.15	14598.8
28 	-112288     	-17605.8	-4689.15	14954.8
29 	-106430     	-17594.5	-4689.15	14614.3
30 	-101644     	-17497.2	-4689.15	14488.2
31 	-86054.6    	-17446.6	-4612.81	13929.1
32 	-94527.4    	-17499.3	-4612.81	13920.6
33 	-92734.8    	-17475.1	-4612.81	13849.2
34 	-85121      	-17508.4	-4612.81	13151.7
35 	-87789.3    	-17781.9	-4612.81	13190.8
36 	-82177.8    	-17741.4	-4612.81	12738.3
37 	-81729.1    	-17891.3	-4612.81	12659.9
38 	-76381.7    	-17941.8	-4612.81	12630.2
39 	-194522     	-18343  	-4612.81	14727  
40 	-75451.3    	-18013.9	-4612.81	12229.3
41 	-130876     	-18344.3	-4612.81	13557.4
42 	-102207     	-18197.6	-4612.81	12929.2
43 	-155060     	-18783.5	-4612.81	14828.5
44 	-176854     	-18849.6	-4612.81	14907.3
45 	-111076     	-18692.1	-4612.81	13555.8
46 	-111236     	-19031.7	-4612.81	14380.3
47 	-102969     	-18998.1	-4612.81	14137.2
48 	-108342     	-19059.5	-4612.81	14008.2
49 	-103449     	-19259.6	-4612.81	14303  
50 	-106433     	-19475.2	-4612.81	14786.3
51 	-102109     	-19408.6	-4612.81	14267.8
52 	-738996     	-21244.3	-4612.81	35334.9
53 	-141519     	-20086.3	-4612.81	15592.8
54 	-97127.1    	-19943.1	-4612.81	14616.8
55 	-97465.5    	-20116.4	-4612.81	14526.5
56 	-97986.4    	-20309.6	-4612.81	14795  
57 	-101129     	-20556.4	-4612.81	15269  
58 	-100485     	-20689.1	-4612.81	15228.4
59 	-108298     	-20867.2	-4612.81	16105.2
60 	-104725     	-20856.6	-4508.95	15334.2
61 	-116412     	-20936.1	-4508.95	15931.2
62 	-94044.5    	-21007.8	-4508.95	15212  
63 	-94044.5    	-21037.8	-4508.95	15043.6
64 	-94015.6    	-21093.3	-4508.95	14501.6
65 	-77141.9    	-21128.6	-4508.95	13771.3
66 	-93250.8    	-21358.6	-4508.95	14326.3
67 	-92245.1    	-21456.7	-4508.95	14788.5
68 	-87666.9    	-21313.8	-4508.95	14424.3
69 	-108837     	-21475.8	-4508.95	14998.6
70 	-101198     	-21807.2	-4508.95	15091  
71 	-92974.7    	-21914.7	-4508.95	14578.7
72 	-92936.3    	-22294.1	-4508.95	15484.5
73 	-92910.8    	-22403.5	-4508.95	15348.5
74 	-97306.6    	-22587.8	-4508.95	15709.6
75 	-105696     	-22827.2	-4508.95	15981.8
76 	-105682     	-23175.9	-4508.95	16233.6
77 	-104321     	-23279.5	-4508.95	16494  
78 	-286373     	-24425.9	-4508.95	22849.2
79 	-253982     	-24145.4	-4508.95	19644  
80 	-102096     	-23809.1	-4508.95	16792.8
81 	-94469.5    	-23587.1	-4508.95	16132.7
82 	-89727.2    	-23370.5	-4508.95	15341.7
83 	-113767     	-23388.8	-4508.95	15949.3
84 	-114375     	-23496.3	-4508.95	15768.2
85 	-91703.8    	-23563.2	-4508.95	15646.6
86 	-89099.8    	-23455.4	-4508.95	15047  
87 	-89026.9    	-23722.8	-4508.95	15452.7
88 	-88195.3    	-23842.7	-4508.95	15955.8
89 	-119320     	-23926.4	-4508.95	16156.8
90 	-94211.7    	-23700.9	-4508.95	15854.5
91 	-90978.3    	-23937.5	-4508.95	15906.5
92 	-94690      	-24011  	-4508.95	16172.5
93 	-88566.5    	-24154.5	-4508.95	16031  
94 	-85369      	-24222.6	-4508.95	15914.4
95 	-84691.5    	-24235.7	-4508.95	15670.7
96 	-84743      	-24380.5	-4508.95	15885.4
97 	-109599     	-24397.5	-4508.95	16257.9
98 	-107589     	-24706.4	-4508.95	16493.8
99 	-105594     	-24957.3	-4508.95	16649.2
