gen	min     	avg     	max     	std    
0  	-29367.9	-2949.22	-1900.9 	2171.27
1  	-29620.2	-2933.62	-1865.07	2116.03
2  	-29620.2	-2994.43	-1865.07	2428.85
3  	-29624.2	-2958.48	-1865.07	2125.8 
4  	-29187.2	-3017.14	-1865.07	2220.22
5  	-29206.4	-3014.12	-1865.07	2219.31
6  	-30301.4	-3016.25	-1851.21	2218.33
7  	-29649.4	-3036.8 	-1851.21	2268.93
8  	-29416.4	-3058.77	-1851.21	2299.33
9  	-29458.4	-3035.67	-1851.21	2222.82
10 	-30856.3	-2984.31	-1851.21	2044.73
11 	-21689.5	-2946.03	-1851.21	1640.25
12 	-21389  	-2948.82	-1851.21	1562.96
13 	-15451.2	-2909.12	-1851.21	1336.74
14 	-22238.6	-2974.98	-1848.21	1642.33
15 	-22066.6	-2979.51	-1848.21	1637.89
16 	-22077.3	-2991.21	-1848.21	1656.16
17 	-22870.9	-2982.16	-1848.21	1624.41
18 	-94000.1	-3245.16	-1848.21	4628.8 
19 	-36341.5	-3106.75	-1848.21	2227.34
20 	-36227.2	-3157.7 	-1848.21	2445.01
21 	-180662 	-3444.41	-1848.21	8202.44
22 	-180252 	-3461.9 	-1848.21	8160.72
23 	-180090 	-3451.49	-1848.21	8144.28
24 	-25882.8	-3139.25	-1848.21	2150.18
25 	-22293.3	-3103.93	-1848.21	1832.27
26 	-23774.7	-3106.44	-1848.21	1914.3 
27 	-22322.8	-3079.91	-1848.21	1677.2 
28 	-40361  	-3175.03	-1848.21	2348.05
29 	-40345  	-3185.35	-1848.21	2331.91
30 	-40347  	-3213.34	-1848.21	2380.02
31 	-22465.1	-3184.34	-1848.21	1865.07
32 	-22530.8	-3181.84	-1848.21	1755.28
33 	-15409.2	-3167.11	-1848.21	1561.64
34 	-49436.2	-3292.44	-1848.21	2656.99
35 	-49311  	-3323.26	-1848.21	2683.65
36 	-49332.1	-3330.64	-1848.21	2681.81
37 	-49192.9	-3325.43	-1848.21	2660.61
38 	-15590.9	-3233.38	-1848.21	1679.16
39 	-18325.3	-3268.91	-1839.27	1794.57
40 	-18153  	-3316.97	-1839.27	1892.76
41 	-19167.5	-3317.45	-1839.27	1883.12
42 	-22178.6	-3339.59	-1839.27	2044.07
43 	-21783.1	-3326.99	-1839.27	2027   
44 	-20372.7	-3318.77	-1839.27	1849.7 
45 	-18571  	-3320.64	-1839.27	1819.18
46 	-15775.3	-3325.38	-1839.27	1754.38
47 	-16440.2	-3341.58	-1839.27	1722.67
48 	-16628.1	-3351.12	-1839.27	1704.46
49 	-14850.2	-3351.5 	-1839.27	1700.96
50 	-15560.3	-3370.9 	-1839.27	1685.48
51 	-59880.1	-3489.35	-1839.27	3014.75
52 	-59901.3	-3550.57	-1839.27	3101.96
53 	-59901.3	-3583.47	-1839.27	3135.26
54 	-15450.9	-3510.99	-1839.27	1870.19
55 	-15646.4	-3525   	-1839.27	1862.29
56 	-41651.4	-3602.5 	-1839.27	2574   
57 	-41369.9	-3606.16	-1839.27	2526.36
58 	-47014.4	-3649.87	-1839.27	2721.55
59 	-18993.9	-3605.13	-1839.27	2073.13
60 	-20519.4	-3605.08	-1839.27	2155.42
61 	-19433.3	-3590.77	-1839.27	2095.44
62 	-19494.1	-3612.21	-1839.27	2069.25
63 	-19644.4	-3612.86	-1839.27	2084.15
64 	-19831.7	-3609.91	-1839.27	2028.1 
65 	-19916.9	-3610.87	-1839.27	1969.71
66 	-20820.4	-3606.73	-1839.27	1957.42
67 	-199003 	-4043.88	-1839.27	8964.01
68 	-198974 	-4077.84	-1839.27	8996.44
69 	-199015 	-4069.88	-1839.27	8966.24
70 	-199217 	-4104.54	-1839.27	9012.74
71 	-198944 	-4120.1 	-1839.27	8978.72
72 	-206297 	-4111.24	-1839.27	9264.83
73 	-207304 	-4136.18	-1839.27	9330.85
74 	-199280 	-4127.46	-1839.27	8982.42
75 	-199116 	-4146.07	-1839.27	9004.7 
76 	-199110 	-4141.55	-1839.27	8997.81
77 	-199134 	-4151.65	-1839.27	9009.39
78 	-199056 	-4261.95	-1839.27	9347.43
79 	-62350.5	-3884.8 	-1839.27	3360.06
80 	-62677.2	-3878.89	-1839.27	3307.78
81 	-64888.4	-3918.61	-1839.27	3520.24
82 	-63025.7	-3998.64	-1839.27	3813.76
83 	-63875.2	-4035.74	-1839.27	3907.69
84 	-90003.5	-4302.14	-1839.27	5739.31
85 	-89983  	-4355.71	-1839.27	6348.75
86 	-90241.8	-4390.72	-1839.27	6420.15
87 	-90321.4	-4448.27	-1839.27	6544.51
88 	-89249.8	-4443.75	-1839.27	6535.45
89 	-91866.2	-4443.52	-1839.27	6561.25
90 	-108992 	-4680.68	-1839.27	8114.59
91 	-110859 	-4701.52	-1839.27	8085.54
92 	-109362 	-4818.42	-1839.27	8501.33
93 	-109368 	-4765.79	-1839.27	8446.86
94 	-107781 	-4638.01	-1839.27	7431.91
95 	-107913 	-4634.68	-1839.27	7300.18
96 	-108160 	-4660.22	-1839.27	7455.61
97 	-149783 	-4863.84	-1839.27	9671.32
98 	-149353 	-4738.11	-1839.27	9277.56
99 	-113051 	-4467.33	-1839.27	6689.7 
