gen	min         	avg     	max     	std    
0  	-41826      	-2944.78	-1859.76	3354.63
1  	-41780.4    	-2945.98	-1859.76	3347.86
2  	-41766.4    	-2956.9 	-1835.93	3287.52
3  	-42397.5    	-2950.36	-1835.93	3282.06
4  	-42407.5    	-2995.98	-1828.54	3364.27
5  	-41882.7    	-2936.81	-1828.54	2880.93
6  	-41726.3    	-2954.67	-1828.54	2899.34
7  	-37465.6    	-2915.88	-1828.54	2494.45
8  	-38222.2    	-2899.5 	-1828.54	2472.67
9  	-37970.8    	-2904.05	-1828.54	2462.63
10 	-38030      	-2902.37	-1828.54	2443.97
11 	-37993.1    	-2896.57	-1804.81	2477.46
12 	-37994.1    	-2902.46	-1804.81	2455.48
13 	-38899.1    	-2911.44	-1804.81	2427.29
14 	-38833.8    	-2911.56	-1804.81	2413.48
15 	-37884.6    	-2915.34	-1804.81	2387   
16 	-37969.7    	-2909.15	-1804.81	2327   
17 	-37945.3    	-2904.9 	-1804.81	2314.98
18 	-37954.2    	-2893.16	-1804.81	2279.64
19 	-24817.9    	-2850.66	-1791   	1705.05
20 	-24378.1    	-2848.49	-1791   	1684.53
21 	-24087.7    	-2863.92	-1785   	1712.59
22 	-24065.3    	-2879.35	-1785   	1723.22
23 	-24052.6    	-2917.84	-1785   	1766.52
24 	-23865.1    	-2912.85	-1785   	1686.34
25 	-24001.7    	-2933.33	-1785   	1740.91
26 	-24309.8    	-2936.8 	-1785   	1731.66
27 	-23904.6    	-2957.55	-1785   	1756.38
28 	-8.47066e+06	-19880.8	-1785   	378313 
29 	-8.47066e+06	-19904.6	-1785   	378312 
30 	-28344.2    	-2985.62	-1785   	1928.08
31 	-24054.5    	-2999.44	-1785   	1824.57
32 	-24300.5    	-3013.87	-1785   	1829.2 
33 	-24523.5    	-3000.56	-1785   	1694.1 
34 	-24299.2    	-3000.13	-1785   	1615.78
35 	-26647.6    	-3036.32	-1778.3 	1877.18
36 	-24641.2    	-3053.67	-1778.3 	1833.24
37 	-26981.8    	-3114.48	-1778.3 	2131.15
38 	-102827     	-3335.03	-1778.3 	4973   
39 	-102032     	-3388.14	-1778.3 	5040.23
40 	-102018     	-3411.26	-1778.3 	5056.25
41 	-102160     	-3414.45	-1778.3 	4999.26
42 	-42425      	-3299.32	-1778.3 	2869.67
43 	-42413.7    	-3302.62	-1778.3 	2908.95
44 	-42440.5    	-3298.01	-1778.3 	2865.72
45 	-42504.8    	-3304.1 	-1778.3 	2860.38
46 	-42515.3    	-3300.04	-1778.3 	2885.49
47 	-41939.4    	-3294.42	-1778.3 	2845.34
48 	-41869.7    	-3313.45	-1778.3 	2888.61
49 	-41869.7    	-3317.89	-1778.3 	2914.68
50 	-42034.2    	-3351.05	-1778.3 	3203.36
51 	-41608.2    	-3370.43	-1778.3 	3203.72
52 	-40878.2    	-3431.43	-1778.3 	3285.69
53 	-40767.2    	-3476.32	-1778.3 	3345.78
54 	-40719.7    	-3442.49	-1778.3 	3164.64
55 	-40877.8    	-3413.45	-1778.3 	2950.7 
56 	-36611.1    	-3360.1 	-1778.3 	2465.77
57 	-75018.1    	-3483.79	-1778.3 	3989.26
58 	-73578.2    	-3463.74	-1778.3 	3804.49
59 	-73576.2    	-3448.37	-1778.3 	3771.03
60 	-73193.6    	-3506.55	-1778.3 	3805.2 
61 	-73792.8    	-3542.21	-1778.3 	3840.69
62 	-73839.8    	-3491.99	-1778.3 	3683.88
63 	-24299.9    	-3376.24	-1778.3 	2021.06
64 	-21633.8    	-3348.32	-1778.3 	1930.88
65 	-20247.5    	-3331.9 	-1778.3 	1726.39
66 	-146058     	-3617.69	-1778.3 	6591.97
67 	-146055     	-3617.75	-1778.3 	6593.91
68 	-146454     	-3609.24	-1778.3 	6607.94
69 	-146267     	-3602.82	-1778.3 	6574.41
70 	-146267     	-3683.7 	-1778.3 	6657.7 
71 	-146127     	-3882.51	-1778.3 	7605.28
72 	-4.06336e+06	-11774.9	-1778.3 	181427 
73 	-4.06348e+06	-11755.8	-1778.3 	181432 
74 	-4.06115e+06	-11808.5	-1778.3 	181326 
75 	-4.06032e+06	-11768  	-1778.3 	181286 
76 	-4.06098e+06	-11772  	-1778.3 	181315 
77 	-4.06045e+06	-11768  	-1778.3 	181291 
78 	-4.06051e+06	-11802.3	-1778.3 	181293 
79 	-4.06055e+06	-11824.2	-1778.3 	181294 
80 	-4.06021e+06	-11783.5	-1778.3 	181279 
81 	-4.06027e+06	-11808.1	-1778.3 	181281 
82 	-8.29485e+06	-20268.4	-1778.3 	370444 
83 	-8.29487e+06	-20297  	-1778.3 	370444 
84 	-8.29466e+06	-20283.6	-1768.26	370436 
85 	-8.29467e+06	-20602.8	-1768.26	370548 
86 	-8.29456e+06	-20603.5	-1768.26	370543 
87 	-8.2962e+06 	-20653.9	-1768.26	370615 
88 	-8.29622e+06	-20820.2	-1768.26	370629 
89 	-8.29644e+06	-20970  	-1768.26	370727 
90 	-8.29653e+06	-20959.6	-1768.26	370730 
91 	-8.29653e+06	-21039.2	-1757.21	370731 
92 	-9.7632e+06 	-24062.9	-1757.21	436214 
93 	-9.76321e+06	-24120.8	-1757.21	436210 
94 	-9.76208e+06	-24066.9	-1757.21	436158 
95 	-9.76206e+06	-24073.1	-1757.21	436157 
96 	-9.76206e+06	-24025.7	-1757.21	436159 
97 	-9.76139e+06	-24114.2	-1757.21	436128 
98 	-9.76187e+06	-24082  	-1757.21	436150 
99 	-300255     	-4573.8 	-1755.21	14043.9
