gen	min         	avg     	max     	std    
0  	-92443.3    	-5582.79	-3105.53	5321.74
1  	-96056.2    	-5625.94	-3002.09	5600.26
2  	-95923.1    	-5712.46	-3002.09	5471.17
3  	-95286.4    	-5808.24	-2957.1 	5674.62
4  	-95278.4    	-5816.95	-2957.1 	5569.38
5  	-96929.8    	-5840.39	-2957.1 	5650.78
6  	-95731.3    	-5873.05	-2957.1 	5602.41
7  	-96154.7    	-5865.29	-2957.1 	5598.35
8  	-95861.3    	-5877.67	-2957.1 	5545.81
9  	-96020.8    	-5856.78	-2957.1 	5342.12
10 	-95654.6    	-5866.17	-2957.1 	5389.28
11 	-95649.4    	-5842.2 	-2957.1 	5265.33
12 	-95513.6    	-5817.82	-2957.1 	5121.15
13 	-102186     	-5842.3 	-2957.1 	5327.93
14 	-1.07158e+07	-27261  	-2957.1 	478512 
15 	-1.07149e+07	-27277.3	-2883.14	478470 
16 	-1.07134e+07	-27299.1	-2883.14	478405 
17 	-1.07182e+07	-27356.7	-2883.14	478614 
18 	-1.07177e+07	-27457.6	-2883.14	478595 
19 	-1.0718e+07 	-27459.3	-2883.14	478605 
20 	-1.07137e+07	-27434.6	-2883.14	478401 
21 	-63078.2    	-6108.16	-2883.14	4307.29
22 	-63084.5    	-6144.77	-2883.14	4309.5 
23 	-63281.2    	-6256.54	-2883.14	4504.16
24 	-63282.3    	-6290.73	-2883.14	4387.32
25 	-112816     	-6514.94	-2883.14	6177.08
26 	-109905     	-6595.82	-2870.44	6123.8 
27 	-109126     	-6594.22	-2870.44	6015.01
28 	-62542.3    	-6501.11	-2870.44	4700.14
29 	-321690     	-7201.05	-2870.44	14871.1
30 	-320860     	-7154.4 	-2847.8 	14663.6
31 	-320945     	-7190.67	-2844.22	14671.3
32 	-43727      	-6639.51	-2844.22	4326.39
33 	-40890.3    	-6631.47	-2844.22	3988.23
34 	-40851.4    	-6704.67	-2844.22	4248.33
35 	-215700     	-7074.1 	-2844.22	10160.1
36 	-214882     	-7055.87	-2844.22	10043.5
37 	-249498     	-7598.75	-2844.22	14653.9
38 	-248858     	-7614.3 	-2844.22	14615.4
39 	-249602     	-7767.91	-2844.22	14800.2
40 	-249545     	-7789.85	-2844.22	14815.5
41 	-253985     	-8220.07	-2844.22	16283  
42 	-254047     	-8416.85	-2844.22	16576.6
43 	-253250     	-8556.85	-2844.22	16881.9
44 	-251002     	-8468.81	-2844.22	16393.2
45 	-249825     	-8451.83	-2844.22	16343.4
46 	-209360     	-8032.17	-2844.22	12328.7
47 	-208577     	-8182.97	-2844.22	12590.5
48 	-209081     	-8110.09	-2844.22	11966.1
49 	-209138     	-8402.43	-2844.22	12329.9
50 	-208560     	-8471.29	-2844.22	12323.1
51 	-208551     	-8470.81	-2844.22	12305.7
52 	-208479     	-8955.48	-2844.22	13966.1
53 	-213694     	-8752.05	-2844.22	13111  
54 	-214505     	-8702.07	-2844.22	12976.1
55 	-214115     	-8508.29	-2844.22	11879  
56 	-440684     	-9540.6 	-2844.22	24471.1
57 	-440774     	-9455.71	-2844.22	24216.9
58 	-441166     	-9378.82	-2844.22	24100.6
59 	-440328     	-9389.32	-2844.22	24079  
60 	-440445     	-9357.8 	-2844.22	24067.1
61 	-440993     	-9388.38	-2844.22	24078.8
62 	-447751     	-9427.91	-2844.22	24327.5
63 	-447364     	-9644.39	-2844.22	24486.6
64 	-441375     	-9590.34	-2844.22	24031.3
65 	-442506     	-9500.37	-2844.22	24038.2
66 	-440870     	-9604.52	-2844.22	24025.9
67 	-1.70861e+07	-42928.6	-2844.22	763101 
68 	-1.70856e+07	-43649.4	-2844.22	763174 
69 	-1.70857e+07	-43196.3	-2843.22	763077 
70 	-1.70864e+07	-43140.1	-2843.22	763107 
71 	-1.70864e+07	-42500.3	-2843.22	763014 
72 	-1.70877e+07	-42633.3	-2838.27	763069 
73 	-1.70854e+07	-42645.4	-2838.27	762969 
74 	-1.70848e+07	-42664.6	-2838.27	762939 
75 	-1.70845e+07	-42665.5	-2838.27	762928 
76 	-1.70847e+07	-42658.6	-2838.27	762935 
77 	-1.70905e+07	-42616.5	-2838.27	763190 
78 	-1.70908e+07	-42655.4	-2838.27	763200 
79 	-1.70907e+07	-42670  	-2838.27	763196 
80 	-1.70906e+07	-42677  	-2838.27	763190 
81 	-1.709e+07  	-42709.3	-2838.27	763159 
82 	-1.70845e+07	-42728  	-2838.27	762915 
83 	-74260.5    	-8628.18	-2838.27	5570.52
84 	-74080      	-8619.79	-2838.27	5555.47
85 	-638404     	-9900.49	-2838.27	28691.5
86 	-641473     	-10122.8	-2838.27	29010.6
87 	-641759     	-10566.5	-2838.27	30626.5
88 	-641533     	-10937.2	-2838.27	31361  
89 	-638209     	-10942.4	-2838.27	31189.8
90 	-855378     	-12754.1	-2838.27	49149.7
91 	-853978     	-12875.4	-2837.27	48876.2
92 	-3.11234e+06	-19145.7	-2837.27	147030 
93 	-3.11226e+06	-19349.1	-2837.27	147115 
94 	-871907     	-13154.9	-2837.27	49741  
95 	-871906     	-13365.5	-2837.27	49795  
96 	-868842     	-13103.1	-2837.27	49343.6
97 	-867493     	-13211.2	-2837.27	49361  
98 	-659227     	-11643.8	-2837.27	32022.8
99 	-658214     	-11281.6	-2837.27	30689  
