gen	min         	avg     	max     	std        
0  	-108756     	-6668.59	-3018.8 	8783.28    
1  	-108639     	-6659.53	-2986.67	8450.82    
2  	-108477     	-6659.26	-2966.68	8460.21    
3  	-109013     	-6673.3 	-2957.04	8380.77    
4  	-108491     	-6573.65	-2957.04	7708.06    
5  	-108516     	-6628.02	-2957.04	7659.94    
6  	-108770     	-6589.24	-2957.04	7261.57    
7  	-108896     	-6710.37	-2957.04	7434.94    
8  	-92636      	-6533.06	-2903.43	5944.73    
9  	-95504.7    	-6760.49	-2903.43	7157.37    
10 	-94570.5    	-6766.37	-2903.43	7029.72    
11 	-91160.3    	-6670.18	-2903.43	5886.16    
12 	-90760.7    	-6910.42	-2903.43	6520.33    
13 	-91006.3    	-7001.15	-2903.43	6666.26    
14 	-90880.2    	-7107.78	-2903.43	6745.3     
15 	-1.02312e+06	-9206.8 	-2903.43	45872.9    
16 	-1.02326e+06	-9397.58	-2903.43	45963      
17 	-1.02408e+06	-9434.31	-2903.43	46021      
18 	-1.02334e+06	-9722.6 	-2903.43	46166.2    
19 	-1.02355e+06	-9720.28	-2903.43	46200.8    
20 	-1.02409e+06	-9757.83	-2903.43	46163.8    
21 	-1.02738e+06	-9851.79	-2903.43	46342.9    
22 	-1.0237e+06 	-9927.37	-2903.43	46209      
23 	-1.0237e+06 	-9942.12	-2903.43	46164.7    
24 	-1.02884e+06	-9869.23	-2903.43	46335      
25 	-1.67532e+06	-11275.1	-2903.43	74966.6    
26 	-1.67748e+06	-11298.1	-2903.43	75049.6    
27 	-1.67519e+06	-11262.4	-2903.43	74944      
28 	-1.67541e+06	-11510.6	-2903.43	75131.6    
29 	-1.67524e+06	-11532.6	-2903.43	75125.6    
30 	-1.67778e+06	-11590.4	-2903.43	75234.5    
31 	-1.67786e+06	-12004  	-2903.43	75811.9    
32 	-1.68104e+06	-12198.7	-2903.43	76062.6    
33 	-1.67768e+06	-13191.9	-2903.43	77730      
34 	-1.67766e+06	-13175.2	-2903.43	77709.7    
35 	-1.67978e+06	-12768.8	-2903.43	76843.6    
36 	-1.67804e+06	-12670.8	-2903.43	76020      
37 	-1.67551e+06	-12447.1	-2903.43	75710.5    
38 	-1.67563e+06	-12660.4	-2903.43	75751.6    
39 	-1.67562e+06	-13211.6	-2903.43	76827.8    
40 	-1.67562e+06	-12680.9	-2903.43	75796      
41 	-1.99874e+06	-16542.3	-2903.43	116619     
42 	-1.6768e+06 	-16521.3	-2903.43	102508     
43 	-1.67702e+06	-15818.5	-2903.43	100003     
44 	-1.67724e+06	-15872.1	-2903.43	99998.3    
45 	-1.67604e+06	-15961.7	-2903.43	100194     
46 	-1.67763e+06	-15925.8	-2903.43	100239     
47 	-1.68363e+06	-16166.8	-2903.43	100550     
48 	-1.67606e+06	-16163  	-2903.43	100268     
49 	-1.67808e+06	-16121.5	-2903.43	100351     
50 	-1.6787e+06 	-16316.4	-2903.43	101971     
51 	-1.67907e+06	-16181.9	-2903.43	100526     
52 	-1.67916e+06	-16183  	-2903.43	100527     
53 	-1.67809e+06	-16396.4	-2903.43	100551     
54 	-1.67884e+06	-16077.4	-2903.43	99620.4    
55 	-1.6796e+06 	-16342.4	-2903.43	100193     
56 	-1.6785e+06 	-16599.7	-2903.43	100245     
57 	-1.46662e+06	-13372.5	-2903.43	67256.6    
58 	-1.46507e+06	-13362.3	-2903.43	67079.7    
59 	-1.46735e+06	-13474  	-2903.43	67310.9    
60 	-1.47104e+06	-13187.7	-2903.43	67174.4    
61 	-1.46687e+06	-13206.3	-2903.43	66987.4    
62 	-1.46803e+06	-13228.1	-2903.43	67021.6    
63 	-1.47049e+06	-13409.1	-2903.43	67312.8    
64 	-1.46788e+06	-13475.3	-2903.43	67130.2    
65 	-1.46754e+06	-13243.2	-2903.43	66921.3    
66 	-3.39692e+07	-82915.1	-2903.43	1.519e+06  
67 	-3.39663e+07	-82975.8	-2903.43	1.51887e+06
68 	-3.39682e+07	-83046.8	-2903.43	1.51895e+06
69 	-3.39681e+07	-83086.8	-2903.43	1.51895e+06
70 	-3.39707e+07	-81309.7	-2903.43	1.51857e+06
71 	-3.39693e+07	-81450.5	-2903.43	1.5185e+06 
72 	-1.48316e+06	-13525.3	-2903.43	67577.5    
73 	-1.47131e+06	-13548.5	-2894.42	67083.4    
74 	-1.47127e+06	-13621.7	-2894.42	67089.1    
75 	-1.50145e+06	-13717.7	-2894.42	68333.3    
76 	-1.46655e+06	-13968.5	-2894.42	66898.9    
77 	-270697     	-11233.9	-2894.42	15913.9    
78 	-270745     	-11405.2	-2894.42	16135.5    
79 	-136422     	-10827.1	-2894.42	11111.8    
80 	-169097     	-10976.3	-2894.42	12047.7    
81 	-169699     	-10890.5	-2894.42	11732.4    
82 	-168005     	-11006.9	-2894.42	11597.1    
83 	-169531     	-11041  	-2894.42	11718      
84 	-168719     	-11430.4	-2894.42	13244      
85 	-164858     	-11447.8	-2894.42	12973.2    
86 	-162256     	-11418.1	-2894.42	12934.1    
87 	-162631     	-11385.4	-2893.42	12918.8    
88 	-129834     	-11083.2	-2893.42	10992.4    
89 	-130056     	-10979.8	-2893.42	10383.4    
90 	-129459     	-10921.5	-2893.42	9891.22    
91 	-129695     	-10961.2	-2893.42	9965.73    
92 	-129695     	-10994.3	-2893.42	9853.53    
93 	-137760     	-11093.4	-2893.42	10610.3    
94 	-137758     	-11125.7	-2893.42	10708.8    
95 	-139851     	-11264.3	-2893.42	11073.9    
96 	-140645     	-11215.8	-2893.42	10397.6    
97 	-140514     	-11258.8	-2893.42	10334.7    
98 	-139729     	-11226.5	-2889.2 	10027.5    
99 	-418370     	-12135.2	-2889.2 	20855.6    
