gen	min        	avg     	max     	std    
0  	-1.5215e+07	-38623  	-3193.02	679806 
1  	-430301    	-8328.78	-3117.57	23826  
2  	-430250    	-8053.28	-3117.57	22276.7
3  	-430179    	-8117.79	-3117.57	22316.1
4  	-430087    	-8167.89	-3117.57	22301.1
5  	-429899    	-8020.03	-3117.57	22006.2
6  	-429897    	-8162.6 	-3117.57	22208.1
7  	-430308    	-8294.86	-3110.57	22359.6
8  	-223832    	-7612.96	-3110.57	12152.3
9  	-223716    	-7515.37	-3110.57	11605.9
10 	-223036    	-7563.56	-3110.57	11593.2
11 	-222911    	-7530.55	-3082.74	11485.6
12 	-222661    	-7501.86	-3082.74	11277.8
13 	-223722    	-7745.01	-3082.74	12160.7
14 	-222676    	-7742.94	-3073.63	12131.1
15 	-222697    	-8035.47	-3073.63	13250  
16 	-124357    	-7695.72	-3073.63	9427.08
17 	-125890    	-7834.84	-3073.63	9990.63
18 	-130822    	-7716.44	-3073.63	9535.51
19 	-124511    	-7686.95	-3073.63	8994.84
20 	-124482    	-7722.91	-3073.63	8920.71
21 	-124744    	-7708.3 	-3073.63	8871.77
22 	-124791    	-7523.26	-3073.63	7660.37
23 	-133288    	-8017.14	-3073.63	10978.8
24 	-133257    	-8066.8 	-3073.63	11054.3
25 	-139653    	-7863.53	-3073.63	9843.4 
26 	-133440    	-7863.02	-3073.63	9626.56
27 	-133640    	-8029.32	-3073.63	9893.49
28 	-131306    	-8090.75	-3073.63	9836.39
29 	-131272    	-8070.91	-3073.63	9731.31
30 	-134802    	-7985.3 	-3073.63	9609.63
31 	-227407    	-8349.89	-3073.63	13618.7
32 	-227342    	-8572.73	-3073.63	15353.4
33 	-223863    	-8730.4 	-3073.63	15558.4
34 	-223778    	-8574.84	-3073.63	15202.4
35 	-223778    	-8369.47	-3073.63	14229.4
36 	-208710    	-8025.35	-3073.63	10772.4
37 	-208944    	-8029.77	-3073.63	10753.9
38 	-209024    	-8202.61	-3073.63	10719.3
39 	-210509    	-8377.31	-3073.63	11638  
40 	-114116    	-8106.43	-3073.63	7652.26
41 	-114188    	-8087.57	-3073.63	7715.84
42 	-113823    	-8060   	-3073.63	7462.44
43 	-114601    	-8140.8 	-3073.63	7664.34
44 	-185028    	-8475.36	-3073.63	10921.2
45 	-185142    	-8720.62	-3073.63	11904.1
46 	-185179    	-8870.5 	-3073.63	12311.3
47 	-185633    	-8948.58	-3073.63	12303.6
48 	-185526    	-9290.44	-3073.63	13737.7
49 	-185234    	-9303.26	-3073.63	13591.2
50 	-185821    	-9416.86	-3073.63	13627.2
51 	-498620    	-10330.6	-3073.63	25398.4
52 	-185771    	-9380.5 	-3073.63	12953.9
53 	-190929    	-9401.9 	-3073.63	13193.3
54 	-186097    	-9442.59	-3073.63	13035  
55 	-185347    	-9473.33	-3073.63	12598  
56 	-189530    	-9548.23	-3073.63	12819.7
57 	-186467    	-9799.13	-3073.63	13933.2
58 	-301361    	-10410.8	-3073.63	19084.8
59 	-302568    	-10371.4	-3073.01	19022.9
60 	-301339    	-10068.9	-3073.01	17185.9
61 	-301945    	-10135.1	-3073.01	17189.2
62 	-301964    	-10238.2	-3073.01	17202.2
63 	-301752    	-10294.6	-3073.01	17386  
64 	-306991    	-10368.5	-3073.01	17590.3
65 	-301406    	-10366.5	-3073.01	17352.8
66 	-303193    	-10358.8	-3073.01	17402  
67 	-304709    	-10284.2	-3073.01	17301.1
68 	-303332    	-11197.2	-3073.01	22584  
69 	-303585    	-11265.6	-3073.01	22612.3
70 	-302172    	-11381.3	-3073.01	22509.9
71 	-301463    	-10871.1	-3073.01	18509.8
72 	-302346    	-10825.3	-3073.01	18306.6
73 	-158169    	-10397.5	-3073.01	13249.8
74 	-157934    	-10696.5	-3073.01	14577.9
75 	-158326    	-10605.4	-3073.01	13747  
76 	-158634    	-10898.4	-3073.01	14265.3
77 	-313483    	-11510.2	-3073.01	19591.2
78 	-312289    	-11480.8	-3073.01	18722.8
79 	-311364    	-11471.2	-3073.01	18672.2
80 	-310629    	-11635.7	-3073.01	18880.9
81 	-313444    	-11653.9	-3073.01	19052.4
82 	-314529    	-11736.3	-3073.01	18989.6
83 	-310603    	-11529.4	-3073.01	17808.3
84 	-309164    	-11529.5	-3073.01	17737.7
85 	-309981    	-11503.5	-3073.01	16799.5
86 	-309767    	-11655  	-3073.01	16924.2
87 	-311890    	-11476.2	-3073.01	15888.3
88 	-312179    	-11765.3	-3073.01	16519  
89 	-309874    	-11723.9	-3073.01	16411.7
90 	-320772    	-11885.3	-3073.01	17144.8
91 	-320784    	-11779.9	-3073.01	16884.8
92 	-315292    	-11785.7	-3073.01	16513.8
93 	-309317    	-11776.5	-3073.01	16150.1
94 	-309356    	-11748.5	-3073.01	16109.3
95 	-311437    	-11717.7	-3073.01	16106.7
96 	-311438    	-11656.6	-3073.01	16094.5
97 	-311479    	-11505.1	-3073.01	15728.9
98 	-312793    	-11713.9	-3073.01	16491.3
99 	-310928    	-11796.1	-3073.01	16512.3
