gen	min     	avg     	max     	std    
0  	-250690 	-7201.82	-3025.21	13843.9
1  	-250496 	-7244.31	-3025.21	14167.8
2  	-113375 	-7031.05	-3025.21	10114.6
3  	-105179 	-6840.87	-2958.34	8583.73
4  	-100587 	-6739.98	-2958.34	7331.19
5  	-83411.2	-6699.22	-2958.34	6428.47
6  	-68329.5	-6579.82	-2958.34	5313.34
7  	-68133.2	-6623.11	-2958.34	5351.77
8  	-61525.6	-6744.63	-2958.34	5496.96
9  	-45505.4	-6757.86	-2958.34	5133.46
10 	-45276.8	-6750.38	-2958.34	4950.42
11 	-46722  	-6712.24	-2958.34	4813.76
12 	-41265.6	-6722.31	-2958.34	4581.36
13 	-41841.5	-6774.55	-2958.34	4622.14
14 	-37503.7	-6779.55	-2958.34	4401.83
15 	-37668.3	-6868.49	-2958.34	4646.19
16 	-36479.1	-6868.89	-2958.34	4484.21
17 	-35951.6	-6880.97	-2958.34	4469.09
18 	-35179.8	-6858.82	-2958.34	4332.31
19 	-34976.4	-6993.28	-2946.79	4627.98
20 	-34973.2	-7081.23	-2946.79	4717.26
21 	-35650.4	-7076   	-2946.79	4691.54
22 	-35640.7	-7063.18	-2946.79	4413.07
23 	-31588.1	-7134.18	-2946.79	4441.31
24 	-30316.3	-7166.82	-2946.79	4458.29
25 	-30777.3	-7170.29	-2946.79	4358.64
26 	-31147.7	-7279.46	-2946.79	4527.41
27 	-43175.6	-7469.42	-2946.79	4937.69
28 	-45740.1	-7586.1 	-2946.79	5199.89
29 	-41682.5	-7588.56	-2946.79	5232.71
30 	-33521  	-7548.6 	-2946.79	4960.92
31 	-33482.7	-7529.73	-2939.36	4817.74
32 	-159815 	-7867.89	-2939.36	8317.22
33 	-33730.9	-7624.28	-2939.36	4843.72
34 	-31136.1	-7616.55	-2939.36	4653.87
35 	-46973  	-7654.85	-2939.36	4770.26
36 	-34509.5	-7620.72	-2939.36	4551.42
37 	-30614.2	-7594.85	-2939.36	4405.89
38 	-30454.2	-7613.26	-2939.36	4368.68
39 	-34308  	-7637.39	-2939.36	4416.27
40 	-34874.7	-7735.87	-2939.36	4382.24
41 	-30054  	-7747.61	-2939.36	4213.09
42 	-34150.6	-7835.83	-2939.36	4385.67
43 	-30000.3	-7887.95	-2939.36	4389.64
44 	-30000.3	-7908.46	-2939.36	4336.85
45 	-29951.1	-7865.99	-2939.36	4304.53
46 	-28905.4	-7870.34	-2939.36	4206.04
47 	-26658.2	-7828.77	-2939.36	4097.72
48 	-26814.7	-7817.67	-2939.36	4098.69
49 	-28925  	-7858.69	-2939.36	4096.28
50 	-27062.4	-7901.31	-2939.36	4323.97
51 	-26733.7	-7969.4 	-2939.36	4401.16
52 	-27249.3	-7981.79	-2939.36	4174.66
53 	-27506.4	-7985.73	-2939.36	4186.73
54 	-24693.9	-7987.24	-2939.36	4032.64
55 	-34579.1	-8041.8 	-2939.36	4334.02
56 	-28089.1	-7999.59	-2939.36	4227.61
57 	-28706.3	-8051.91	-2939.36	4287.26
58 	-26243.2	-8046.03	-2939.36	4131.01
59 	-28659.9	-8135.23	-2939.36	4315.33
60 	-28613.9	-8192   	-2939.36	4293.86
61 	-27879  	-8222.04	-2939.36	4298.78
62 	-25703.1	-8245.31	-2939.36	4229.75
63 	-25351.9	-8244.81	-2939.36	4072.87
64 	-24510.8	-8241.6 	-2928.5 	4021.78
65 	-32516.8	-8336.49	-2928.5 	4186.89
66 	-32398.9	-8431.6 	-2928.5 	4309.47
67 	-31959.9	-8510.69	-2928.5 	4470.76
68 	-31297.9	-8558.74	-2920.68	4555.53
69 	-35060.5	-8564.66	-2920.68	4721.82
70 	-35294.5	-8529.24	-2920.68	4595.7 
71 	-40024.8	-8629.91	-2920.68	4749.35
72 	-34631.7	-8650.5 	-2920.68	4742.77
73 	-34856  	-8705.04	-2920.68	4785.24
74 	-35660.9	-8676.11	-2920.68	4673.76
75 	-36370.6	-8686.1 	-2920.68	4813.15
76 	-36010.5	-8717.92	-2920.68	4638.19
77 	-35035.3	-8826.45	-2920.68	4956.63
78 	-31108.8	-8816.22	-2920.68	4807.18
79 	-31790.1	-8912.72	-2920.68	5021.77
80 	-34684  	-8996.73	-2920.68	5100.54
81 	-32281.7	-8963.58	-2920.68	4763.02
82 	-58392.7	-9084.18	-2920.68	5352.45
83 	-33349.3	-9030.64	-2920.68	4967.37
84 	-33561.9	-9009.81	-2920.68	4868.46
85 	-33458.4	-8992.48	-2920.68	4636.07
86 	-30170  	-8988.95	-2920.68	4558.32
87 	-34589.7	-9148.87	-2920.68	4883.09
88 	-29821.1	-9137.72	-2920.68	4670.87
89 	-30485.4	-9198.57	-2920.68	4920.06
90 	-33860.4	-9205.08	-2920.68	5006.31
91 	-32303.9	-9236.52	-2920.68	5041.84
92 	-31713.9	-9270.35	-2920.68	4927.92
93 	-29421.7	-9366.64	-2920.68	4838.06
94 	-31838  	-9356.4 	-2920.68	4807.28
95 	-30485  	-9347.4 	-2920.68	4801.65
96 	-30883.1	-9392.82	-2920.68	4776.18
97 	-30883.1	-9481.16	-2920.68	4918.01
98 	-30444.3	-9479.82	-2920.68	4853.15
99 	-30746.3	-9471.59	-2920.68	4851.18
