gen	min     	avg     	max     	std    
0  	-70362.5	-4297.26	-1672.49	5553.15
1  	-70362.5	-4306.43	-1627.28	5575.01
2  	-57601.9	-4251   	-1627.28	4819.99
3  	-57601.9	-4224.93	-1627.28	4884.84
4  	-42468.9	-4110.54	-1627.28	4323.04
5  	-34893.3	-4080.18	-1627.28	4056.69
6  	-34106.9	-4063.46	-1625.18	3852.09
7  	-39490.7	-4054.78	-1620.18	3797.57
8  	-34106.9	-4019.96	-1620.18	3453.28
9  	-29189.9	-3967.61	-1615.66	3171.01
10 	-22424.1	-3926.91	-1615.66	2989.3 
11 	-21748.5	-3867.76	-1615.66	2862.32
12 	-18746.6	-3837.36	-1615.66	2737.11
13 	-18746.6	-3824.6 	-1615.66	2724.09
14 	-18746.6	-3843.68	-1615.66	2733.31
15 	-20392.3	-3871.64	-1615.66	2752.01
16 	-18700.4	-3810.3 	-1615.66	2557.93
17 	-17970.7	-3812.5 	-1615.66	2541.74
18 	-20760.3	-3848.01	-1615.66	2620.36
19 	-17788.6	-3832.17	-1615.66	2451.91
20 	-17393  	-3864.45	-1615.66	2527.96
21 	-17221.2	-3897.08	-1615.66	2453.37
22 	-18004.2	-3871.79	-1615.66	2439.25
23 	-16624.1	-3871.21	-1615.66	2414.72
24 	-16624.1	-3895.3 	-1615.66	2430.75
25 	-16624.1	-3923.83	-1615.66	2331.6 
26 	-16290.5	-3916.02	-1615.66	2281.9 
27 	-15891.2	-3928.04	-1615.66	2314.24
28 	-93217.5	-4143.38	-1615.66	4620.01
29 	-16311.3	-3994.27	-1615.66	2413.39
30 	-18756  	-4013.73	-1615.66	2546.21
31 	-17810.4	-4081.83	-1615.66	2666.73
32 	-17810.4	-4079.63	-1582.13	2612.45
33 	-18098.3	-4106.23	-1582.13	2583.26
34 	-17676  	-4090.06	-1582.13	2506.74
35 	-17558.1	-4063.9 	-1582.13	2472.08
36 	-19262.3	-4091.53	-1582.13	2579.65
37 	-44325.8	-4185.29	-1582.13	3211.17
38 	-24373  	-4137.09	-1582.13	2765.72
39 	-19164.2	-4120.81	-1582.13	2583.16
40 	-17392.2	-4125.08	-1582.13	2537.29
41 	-17392.2	-4136.42	-1582.13	2539.67
42 	-17349.2	-4115.52	-1582.13	2450.79
43 	-15749.6	-4101.51	-1582.13	2395.75
44 	-15749.6	-4096.44	-1582.13	2392.06
45 	-15149.2	-4074.23	-1582.13	2314.05
46 	-15442.8	-4075.39	-1582.13	2338.91
47 	-15241.9	-4081.83	-1582.13	2341.76
48 	-16404.1	-4117.05	-1582.13	2356.97
49 	-14983.4	-4151.83	-1582.13	2392.19
50 	-15548.2	-4154.2 	-1582.13	2415.67
51 	-15548.2	-4184.13	-1582.13	2462.79
52 	-19367.3	-4226.21	-1582.13	2545.3 
53 	-15810.7	-4236.64	-1578.86	2481.18
54 	-15679.6	-4257.89	-1578.86	2489.95
55 	-14837.6	-4241.83	-1578.86	2441.24
56 	-15038.7	-4272.22	-1578.86	2498.41
57 	-15038.7	-4301.53	-1578.86	2480.59
58 	-17695.9	-4421.62	-1578.86	2668.4 
59 	-15484.4	-4459.81	-1562.14	2628.9 
60 	-14766.5	-4465.53	-1562.14	2600.3 
61 	-15278.9	-4480.94	-1562.14	2648.84
62 	-14430.4	-4467.84	-1562.14	2640.05
63 	-14784.2	-4456.73	-1561.44	2616.62
64 	-14821.1	-4480.25	-1561.44	2630.78
65 	-15730.9	-4499.06	-1561.44	2659.3 
66 	-15730.9	-4516.41	-1561.44	2619.76
67 	-14367  	-4524.35	-1561.44	2603.57
68 	-14395.8	-4557.02	-1561.44	2572.8 
69 	-14590.1	-4543.07	-1561.44	2511.5 
70 	-14290.9	-4517.73	-1561.44	2511.35
71 	-16949.2	-4556.25	-1561.44	2604.66
72 	-16332.6	-4547.18	-1561.44	2640.89
73 	-16332.6	-4546.63	-1561.44	2540.43
74 	-18496.3	-4540.87	-1561.44	2559.66
75 	-18496.3	-4550.63	-1561.44	2616.02
76 	-25202.1	-4646.43	-1561.44	2849.65
77 	-24502.5	-4660.37	-1561.44	2872.36
78 	-44983.5	-4760.78	-1561.44	3388.95
79 	-21557.9	-4682.6 	-1561.44	2814.97
80 	-20206.7	-4665.18	-1561.44	2742.31
81 	-20852.9	-4741.49	-1561.44	2874.96
82 	-19885.1	-4730.99	-1561.44	2740.02
83 	-33017.8	-4765.46	-1561.44	2930.83
84 	-21760.9	-4803.55	-1561.44	2850.85
85 	-19885.1	-4824.92	-1561.44	2805.8 
86 	-19885.1	-4858.82	-1552.73	2899.53
87 	-39496.6	-4938.72	-1538.6 	3261.56
88 	-19525.8	-4890.18	-1538.6 	2895.4 
89 	-19525.8	-4943.12	-1538.6 	2926.29
90 	-18734.3	-4926.88	-1538.6 	2906.82
91 	-16137.5	-4906.92	-1538.6 	2861.51
92 	-16137.5	-4907.83	-1538.6 	2881.23
93 	-20566.3	-4953.52	-1538.6 	3015.92
94 	-36513.3	-5056.06	-1538.6 	3347.19
95 	-24370  	-5042.08	-1538.6 	3126.71
96 	-20319.9	-5010.51	-1538.6 	3012.67
97 	-18954.2	-4973.4 	-1538.6 	3027.58
98 	-17060.1	-5015.74	-1538.6 	3040.33
99 	-17060.1	-5036.56	-1538.6 	2986.66
