gen	min         	avg     	max     	std    
0  	-102572     	-4874.84	-1696.85	7945.68
1  	-102348     	-4882.25	-1696.85	7903.06
2  	-102348     	-4923.95	-1696.85	8110.59
3  	-102482     	-4926.94	-1696.85	8118.95
4  	-103556     	-5081.3 	-1696.85	9077.39
5  	-103556     	-5088.05	-1696.85	9034.95
6  	-103556     	-5127.51	-1696.85	9051.96
7  	-103556     	-5099.41	-1694.13	8766.24
8  	-103415     	-5108.58	-1694.13	8796.92
9  	-103430     	-5050.33	-1664.36	8679.7 
10 	-103430     	-5015.05	-1664.36	8655.01
11 	-103692     	-5081.43	-1663.75	8679.57
12 	-103737     	-5106.13	-1650.05	8716.01
13 	-103737     	-5258.44	-1650.05	9160.51
14 	-103893     	-5200.31	-1650.05	9075.54
15 	-103893     	-5034.16	-1650.05	7972.59
16 	-347055     	-5923.16	-1650.05	17541.3
17 	-350720     	-5924.5 	-1650.05	17689.2
18 	-350720     	-5848.03	-1650.05	17655.4
19 	-350720     	-5754.62	-1650.05	17483.4
20 	-350720     	-6200.69	-1650.05	20157.5
21 	-350720     	-6231.07	-1650.05	20161.5
22 	-350720     	-6171.85	-1642.97	19959.6
23 	-350720     	-6193.39	-1642.97	19954.3
24 	-350697     	-6029.59	-1642.97	19464.7
25 	-348097     	-6030.89	-1642.97	19367.7
26 	-348069     	-6008.82	-1642.97	19344.3
27 	-348077     	-5952.48	-1642.97	19189.6
28 	-348077     	-5977.03	-1642.97	19185  
29 	-348077     	-5977.45	-1642.97	19167.8
30 	-348407     	-5813.14	-1642.97	18655.1
31 	-348407     	-5866.28	-1642.97	18696.4
32 	-348407     	-5469.56	-1642.97	15909.2
33 	-348407     	-5534.37	-1642.97	15922.1
34 	-348527     	-5643.24	-1642.97	16293.5
35 	-348835     	-5618.24	-1642.97	16239.7
36 	-348835     	-5622.87	-1642.97	16237.3
37 	-348835     	-6020.46	-1642.97	18045.4
38 	-348835     	-6128.32	-1642.97	18064.6
39 	-346642     	-5970.72	-1642.97	17591.7
40 	-346642     	-6032.67	-1642.97	17610.3
41 	-346642     	-5947.08	-1625.5 	17522.8
42 	-346875     	-6019.24	-1625.5 	17599.6
43 	-346875     	-6057.75	-1625.5 	17645.5
44 	-346874     	-6148.3 	-1625.5 	17840.5
45 	-346874     	-6199.48	-1625.5 	17797.8
46 	-346874     	-6242.25	-1625.5 	17728.1
47 	-346874     	-6210.47	-1625.5 	17719.8
48 	-346874     	-6271.21	-1625.5 	17724.3
49 	-352538     	-6327.76	-1625.5 	18004.7
50 	-352538     	-6300.49	-1625.5 	17998.7
51 	-346999     	-6300.88	-1625.5 	17750.3
52 	-347020     	-6352.23	-1625.5 	17849.4
53 	-347007     	-6415.41	-1625.5 	17916.5
54 	-348156     	-6429.5 	-1625.5 	17979.8
55 	-348156     	-6251.59	-1625.5 	17729.4
56 	-568481     	-7389.16	-1625.5 	30746.9
57 	-568481     	-7361.16	-1625.5 	30737.8
58 	-568481     	-7462.21	-1625.5 	30743.2
59 	-568475     	-7443.86	-1625.5 	30734  
60 	-570580     	-7456.37	-1625.5 	30809.2
61 	-570580     	-7523.91	-1625.5 	30916.3
62 	-570580     	-7467.87	-1625.5 	30790.4
63 	-570693     	-7451.37	-1625.5 	30760.4
64 	-570693     	-7884.29	-1625.5 	32316.5
65 	-570188     	-7934.65	-1625.5 	32238.2
66 	-569301     	-7974.71	-1625.5 	32211.3
67 	-569301     	-8020.39	-1625.5 	32271.6
68 	-346897     	-6989.64	-1625.5 	20194.8
69 	-346971     	-7064.29	-1625.5 	20304.3
70 	-346971     	-7007.7 	-1625.5 	20201.2
71 	-346971     	-7052.81	-1625.5 	20201  
72 	-347311     	-7053.2 	-1625.5 	20207.3
73 	-1.07285e+06	-9156.95	-1623.77	51716.6
74 	-1.07285e+06	-9179.48	-1623.77	51727.4
75 	-1.06416e+06	-9364.69	-1623.77	51534.1
76 	-1.06418e+06	-9281.81	-1596.1 	51441.7
77 	-2.5181e+06 	-14347.3	-1596.1 	123325 
78 	-2.5181e+06 	-12259.1	-1596.1 	114017 
79 	-2.5181e+06 	-11919.3	-1596.1 	113768 
80 	-2.51643e+06	-11949  	-1596.1 	113691 
81 	-2.51549e+06	-11919.8	-1596.1 	113636 
82 	-347497     	-6811.39	-1596.1 	18664.4
83 	-353739     	-7355.71	-1596.1 	21511.2
84 	-347461     	-7400.41	-1596.1 	21356.6
85 	-347620     	-7388.58	-1596.1 	21376  
86 	-347620     	-7341.63	-1596.1 	21399.4
87 	-348461     	-7347.97	-1596.1 	21008.2
88 	-348461     	-7594.06	-1596.1 	21659.1
89 	-348813     	-7197.67	-1596.1 	19671.5
90 	-349005     	-7209.55	-1596.1 	19782.4
91 	-348462     	-7332.13	-1596.1 	20053.9
92 	-348462     	-7066.21	-1596.1 	17600.3
93 	-348454     	-7054.41	-1596.1 	17624.2
94 	-128892     	-6435.94	-1596.1 	8802.11
95 	-128892     	-6414.59	-1596.1 	9081.45
96 	-128892     	-6436.4 	-1596.1 	9271.6 
97 	-128892     	-6440.69	-1596.1 	9261.97
98 	-125420     	-6294.41	-1596.1 	8190.85
99 	-125420     	-6433.78	-1596.1 	8719.47
