gen	min         	avg         	max     	std        
0  	-1.41784e+06	-15546.2    	-3825   	90829.6    
1  	-1.4173e+06 	-13227.9    	-3819.67	66883.4    
2  	-295136     	-11119.3    	-3819.67	27928.5    
3  	-295136     	-10896      	-3821.71	26829.7    
4  	-188082     	-8802.87    	-3821.71	11384.4    
5  	-76003.3    	-8510.37    	-3821.71	8768.03    
6  	-75914.9    	-8189.85    	-3747.33	7862.34    
7  	-77314      	-7806.26    	-3638.23	6803.42    
8  	-446870     	-13190.6    	-3497.47	47732.5    
9  	-77838.9    	-7774.59    	-3467.21	6786.81    
10 	-77726.1    	-7625.91    	-3396.49	6309.08    
11 	-77686.1    	-7599.28    	-3607.56	6313.96    
12 	-153825     	-10305.9    	-3706.32	20702.9    
13 	-152925     	-9069.61    	-3742.05	15112.1    
14 	-152928     	-9591.03    	-3725.57	16310.3    
15 	-157644     	-10419.5    	-3735.22	16896.7    
16 	-158100     	-9284.39    	-3781.3 	11244.4    
17 	-469428     	-14647.3    	-3777.79	50927.8    
18 	-472169     	-17574.8    	-3862.59	65447.5    
19 	-469995     	-16353.6    	-3655.08	62189.4    
20 	-472038     	-16433.1    	-3276.36	64877.1    
21 	-470384     	-17196.7    	-3537.45	67892.6    
22 	-36503.8    	-7095.42    	-3486.16	4353.86    
23 	-36578.4    	-7037.68    	-3618.65	4406.14    
24 	-37011.8    	-7075.07    	-3565.77	4733.35    
25 	-36565.7    	-7141.74    	-3354.95	4875.57    
26 	-69247.4    	-8874.83    	-3260.37	9146.7     
27 	-60639.9    	-7618.48    	-3561.63	5340.46    
28 	-60481.8    	-7455.38    	-3561.97	5577.87    
29 	-61020.3    	-7264.86    	-3460.91	5581.58    
30 	-47154.6    	-6860.91    	-3578.2 	4373.07    
31 	-45928.2    	-7331.11    	-3385.71	5496.08    
32 	-30998.2    	-6739.96    	-3499.32	3043.39    
33 	-30758.5    	-6983.32    	-3574.25	2891.58    
34 	-61296.6    	-6991.2     	-3735.4 	4046.96    
35 	-61267.5    	-7062.92    	-3738.9 	4344.36    
36 	-42453.1    	-6923.6     	-3504.28	3476.27    
37 	-41849.7    	-6680.56    	-3508.1 	3550.81    
38 	-195694     	-11302.3    	-3530.53	27577.2    
39 	-178435     	-11523.6    	-3458.74	28307.9    
40 	-44374.6    	-7246.75    	-3567.73	4578.13    
41 	-49510.7    	-6999.32    	-3486.86	4712       
42 	-45949.1    	-6443.49    	-3515.12	3733.12    
43 	-43762      	-6777.1     	-3688.32	3880.88    
44 	-42991.2    	-6575.59    	-3852.16	3738.7     
45 	-44937.3    	-7265.18    	-3849.85	4541.7     
46 	-70722.8    	-7078.83    	-3671.36	5035.31    
47 	-228646     	-6623.97    	-3576.91	10630.2    
48 	-228646     	-7605.04    	-3427.23	11280.9    
49 	-228681     	-7767.72    	-3442.85	11088.4    
50 	-228836     	-6761.96    	-3300.09	10433.8    
51 	-229390     	-7804.7     	-3560.2 	10406.9    
52 	-37871.9    	-6166.83    	-3768.05	2582.13    
53 	-36926.2    	-6789.31    	-3645.33	3706.98    
54 	-26638      	-6659.93    	-3593.66	3209.5     
55 	-26399.1    	-6133.89    	-3482.53	2913.13    
56 	-229691     	-8641.02    	-3658.62	11558.1    
57 	-230276     	-10057.3    	-3585.1 	13682.3    
58 	-64124.4    	-8262.78    	-3566.71	8246.02    
59 	-62214.3    	-6388.31    	-3584.57	5322.81    
60 	-243031     	-10601.5    	-3585.53	18006.3    
61 	-287906     	-9571.02    	-3574.83	21665.9    
62 	-230382     	-7471.84    	-3639.93	12574.2    
63 	-55239.7    	-6985.49    	-3670.99	8302.07    
64 	-55571      	-7287.74    	-3508.25	8581.02    
65 	-55903      	-7395.36    	-3585.4 	8899.95    
66 	-78088.3    	-7979       	-3455.55	10784.2    
67 	-56677.3    	-7987.95    	-3450.31	8918.54    
68 	-59867      	-7913.2     	-3497.27	10029.7    
69 	-28237.6    	-6548.77    	-3628.11	4180.56    
70 	-31528.2    	-7745.27    	-3724.69	4301.58    
71 	-41016.7    	-7832.71    	-3652.64	4312.26    
72 	-40562.1    	-7770.73    	-3720.95	4208.66    
73 	-26995      	-6007.18    	-3540.92	2345.27    
74 	-24941.9    	-6662.14    	-3818.83	2895.52    
75 	-22300      	-6439.62    	-3778.8 	2677.16    
76 	-18064      	-7430.13    	-3676.35	2815.28    
