gen	min     	avg     	max     	std    
0  	-385265 	-8807.12	-3830.67	20180  
1  	-385265 	-9770.2 	-3774.86	26260.7
2  	-206268 	-8699.17	-3772.7 	14739.3
3  	-206245 	-7948.41	-3772.7 	11990.2
4  	-206553 	-8451.75	-3776.91	14824.2
5  	-150489 	-7707.17	-3776.91	8102.87
6  	-205517 	-8277.74	-3772.66	13546.5
7  	-205156 	-8334.56	-3783.59	13933.2
8  	-151419 	-7726.3 	-3581.48	10923.6
9  	-205622 	-7599.5 	-3567.58	12047.1
10 	-205586 	-7553.09	-3864.69	12039.9
11 	-150882 	-7261.38	-3618.39	8151.33
12 	-154322 	-9012.52	-3728.89	12966.1
13 	-154214 	-10700.1	-3759.16	19967.4
14 	-154238 	-10493.1	-3677.04	18306.9
15 	-154238 	-10239.3	-3677.04	18375.9
16 	-153178 	-8679.93	-3458   	12922.5
17 	-90203.1	-9123.16	-3314.24	12609.8
18 	-71471.3	-8063.93	-3672.19	6159.18
19 	-153896 	-9387.89	-3496.64	9789.06
20 	-155686 	-9789.83	-3474.97	12184.4
21 	-153763 	-10220.4	-3736.14	10852.2
22 	-151189 	-10926.7	-3773.73	11751.8
23 	-72072.8	-10750.3	-3680.95	11027.9
24 	-61763.4	-9756.57	-3508.05	9590.47
25 	-72456.3	-8059.17	-3645.64	6837.72
26 	-72577.2	-8277.83	-3726.64	7216.48
27 	-72307.6	-7496.92	-3695.82	5719.88
28 	-72187.2	-6952.07	-3535.38	5461.32
29 	-72754.2	-6558.84	-3474.25	4359.83
30 	-73147  	-6851.29	-3515.25	5698.12
31 	-71734.9	-6534.54	-3603.32	4235.34
32 	-23475.4	-7285.33	-3747.82	3509.55
33 	-23121.7	-5880.28	-3453.59	1943.86
34 	-23994.5	-6065.77	-3402.71	1914.15
35 	-24204.3	-6909.66	-3534.69	2731.01
36 	-30192.1	-6397.65	-3557.04	3171.18
37 	-29740.4	-5833.71	-3293.79	2930.26
38 	-27985.7	-6088.63	-3420.01	3181.94
39 	-43289.3	-7383.73	-3514.03	5449.63
40 	-24451.7	-7651.47	-3607.56	4795.38
41 	-23164.3	-5872.51	-3425.07	2048.35
42 	-23097.5	-6210.69	-3487.53	2169.18
43 	-16860.3	-5943.29	-3508.89	2024.57
44 	-10919  	-5507.72	-3392.16	1189   
45 	-29124.2	-6465.45	-3507.65	3076.01
46 	-13453  	-5654.2 	-3461.86	1572.55
47 	-24662.5	-6042.67	-3766.98	2001.51
48 	-15911.2	-5907.59	-3767.51	1774.27
49 	-23468.8	-7527.29	-3457.58	4092.27
50 	-43551  	-6485.92	-3438.59	2988.97
51 	-45051  	-5711.68	-3542.87	3207.86
52 	-44936.5	-6069.38	-3333.58	3721.51
53 	-43551.9	-6249.25	-3495.73	3260.25
54 	-44315  	-7429.77	-3743.27	6810.96
55 	-45450.7	-5919.78	-3359.49	3027.96
56 	-45654.1	-5778.79	-3408.08	4083.83
57 	-20907.5	-6069.58	-3682.97	2971.9 
58 	-31495.9	-7065.13	-3700.58	3751.89
59 	-23792.2	-6326.71	-3509.47	3403.27
60 	-27271.5	-6049.95	-3544.24	2672.87
61 	-37921.1	-6710.26	-3484.55	3630.82
62 	-23462.6	-6470.27	-3716.87	2302.75
63 	-84961.1	-10403.7	-3655   	15699  
64 	-95654.2	-10049.4	-3339.86	16235.5
65 	-78793.4	-9333.2 	-3504.81	15278.1
66 	-80121.6	-9292.78	-3444.74	14577.4
67 	-15004.1	-5682.07	-3262.38	1585.73
68 	-28221.1	-6313.71	-3646.19	3344.05
69 	-31292.3	-6871.89	-3396.7 	3565.62
70 	-64470.3	-6725.07	-3399.23	4984.44
71 	-63992.9	-6019.53	-3381.03	3518.58
72 	-64012.2	-6445.26	-3498.23	3919.2 
73 	-65122.4	-6684.08	-3495.08	5092.26
74 	-64691.7	-7498.69	-3661.04	5817.61
75 	-64246  	-7333.35	-3337.02	6008.81
76 	-64876.8	-6610.92	-3427.48	5410.33
77 	-64857.1	-6201.14	-3344.05	4509.8 
78 	-65868.5	-6220.83	-3380.02	4147.72
79 	-63908.2	-8446.46	-3539.73	8034.86
80 	-64528  	-8068.4 	-3497.7 	7740.79
81 	-67334.2	-10022.3	-3724.15	8256.01
82 	-36530.8	-7177.11	-3568.68	6449.92
83 	-63216.4	-5747.66	-3349.55	3074.9 
84 	-65665.4	-6294.32	-3498.07	4883.75
85 	-65202  	-7961.11	-3611.52	6955.22
86 	-123360 	-8701.64	-3347.95	18299.3
87 	-62991.1	-6239.37	-3308.9 	4778.85
88 	-63282.2	-6612.42	-3540.74	4358.08
89 	-63421.8	-6328.93	-3388.66	5443.13
90 	-66604.8	-11375  	-3654.73	13772.6
91 	-82111.4	-12513.5	-3378.75	15515.2
92 	-83952.6	-9286.47	-3760.1 	13825.1
93 	-64011.3	-6494.1 	-3533.48	6164.85
94 	-64756.3	-6241.16	-3464.07	4243.83
95 	-64678.4	-5657.08	-3654.13	3145.58
96 	-66359.6	-6238.69	-3677.16	4130.09
97 	-63764  	-6886.65	-3555.18	8493.22
98 	-65084.4	-8288.15	-3365.72	10866.5
99 	-65714.3	-7318.51	-3830.53	5938.38
