gen	min         	avg     	max     	std    
0  	-2.08088e+06	-14842.9	-3760.31	98470.3
1  	-2.08088e+06	-13122.4	-3657.85	95684.1
2  	-2.0811e+06 	-12938.4	-3645.09	93884  
3  	-82554.2    	-8012.88	-3654.52	7655.69
4  	-89268.7    	-8152.43	-3654.52	9681.62
5  	-89268.7    	-7616.58	-3654.52	7782.3 
6  	-88575.6    	-7566.42	-3604.61	7021.38
7  	-88566.6    	-7434.38	-3785.71	7046.55
8  	-82320.1    	-7473.17	-3800.95	7361.98
9  	-79523.7    	-7488.69	-3609.05	6574.26
10 	-80372.7    	-7393.29	-3609.05	6130.94
11 	-88675.8    	-8100.82	-3599.9 	8889.18
12 	-121869     	-8496.25	-3756.97	11961.7
13 	-105208     	-8105.33	-3771.87	10271.7
14 	-105300     	-8295.73	-3790.05	11251.2
15 	-104703     	-7369.57	-3727.08	8163.33
16 	-159837     	-10747.1	-3721.66	20787.9
17 	-241649     	-12217.5	-3612.79	30560.3
18 	-175629     	-10180.2	-3519.22	20487.5
19 	-158798     	-10833.8	-3373.68	21692.6
20 	-157716     	-10119.9	-3539.24	20680.9
21 	-158110     	-10754.9	-3515.17	21833.9
22 	-153146     	-12304.1	-3399.35	25332.6
23 	-153789     	-11723.4	-3383.12	24962.1
24 	-153089     	-13507.4	-3557.36	27431.6
25 	-153120     	-8925.25	-3627.3 	17962.1
26 	-104742     	-7396.22	-3580.14	5916.53
27 	-116510     	-9261.72	-3800.82	9305.43
28 	-105000     	-8162.73	-3553   	6707.5 
29 	-105905     	-8600   	-3655.47	8718   
30 	-105489     	-8551.17	-3520.57	8615.58
31 	-157639     	-9110.04	-3670.01	12647.8
32 	-2.27453e+06	-33989.8	-3402.31	225732 
33 	-338508     	-19067.4	-3403.14	55190.6
34 	-334943     	-19363.2	-3458.03	58217.2
35 	-331374     	-17814.1	-3484.83	54498.9
36 	-619060     	-15342.3	-3627.12	53959.1
37 	-619452     	-19872.8	-3707.92	64929.6
38 	-622327     	-19792.7	-3785.57	68589.8
39 	-622545     	-18960.7	-3488.22	65973.8
40 	-622891     	-12415  	-3420.89	55225.3
41 	-622451     	-15149.8	-3492.3 	72390.6
42 	-625188     	-16005.4	-3442.92	72403.6
43 	-623648     	-15436  	-3482.41	72354.2
44 	-622436     	-16912.8	-3464.23	77243.3
45 	-622128     	-16834.9	-3601.51	77215.5
46 	-48728.4    	-6904.89	-3431.9 	5529.95
47 	-50893.2    	-8350.67	-3559.87	6949.04
48 	-49982.5    	-7571.64	-3450.24	5400.35
49 	-45228.5    	-7419.8 	-3593.07	5247.3 
50 	-45107.2    	-6909.18	-3651.64	4993.99
51 	-30827.2    	-6219.8 	-3279.66	2719.58
52 	-45995.9    	-6607.95	-3660.41	3705.98
53 	-67652.3    	-11433.7	-3485.04	15141  
54 	-31388      	-7892.71	-3422.03	4940.67
55 	-31248      	-7624.98	-3724.34	4459.46
56 	-21416.9    	-6549.85	-3743.78	2688.67
57 	-35178.4    	-7811.48	-3505.31	5088.08
58 	-33149      	-6564.51	-3474.9 	3446.05
59 	-34139.5    	-5883.95	-3411.56	2406.37
60 	-34901.9    	-6941.06	-3429.58	3240.74
61 	-86634.7    	-9903.15	-3692.07	13461.6
62 	-82422.8    	-9741.73	-3591.25	12191.8
63 	-82771.6    	-8843.34	-3445.08	11778.3
64 	-44777.9    	-7362.59	-3508.46	4466.71
65 	-42283.5    	-7384.15	-3383.43	4344.99
66 	-261816     	-6710.68	-3453.74	11752.5
67 	-266955     	-6992.9 	-3413.55	12180.7
68 	-262939     	-7819.4 	-3317.46	20031.1
69 	-264826     	-14354.9	-3427.35	29100.3
70 	-32547.3    	-6337.84	-3539.23	2689.97
71 	-34039.1    	-6776.17	-3676.77	3641.91
72 	-35639.4    	-6121.36	-3579.25	2695.98
73 	-33434.4    	-6095.49	-3499.17	2607.34
74 	-34111.7    	-5739.97	-3518.52	2053.89
75 	-35186.8    	-6109.34	-3167.17	2554.28
76 	-33616.1    	-5884.31	-3305.68	2220.39
77 	-39282.9    	-7142.63	-3459.12	3194.67
78 	-142507     	-8540.35	-3234.46	16424.4
79 	-33104.3    	-6703.68	-3563.36	3043.6 
80 	-46798.6    	-6045   	-3517   	3035.13
81 	-46135.4    	-5869.29	-3417.45	2979.07
82 	-22803      	-5407.78	-3450.19	2159.58
83 	-47901.9    	-5645.31	-3324.74	2905.22
84 	-46345.2    	-7053.8 	-3410.19	4349.05
85 	-37315      	-6231.66	-3458   	3007.09
86 	-12910.6    	-6218.66	-3571.77	1661.37
87 	-46664.3    	-5916.19	-3212.5 	3491.45
88 	-34993.9    	-5740.75	-3590.34	3331.88
89 	-38803.9    	-5848.13	-3517.83	2783.6 
90 	-34507.2    	-5988.57	-3435.35	2756.47
91 	-34421.2    	-6073.67	-3368.02	2964.19
92 	-33856.2    	-5633.1 	-3418.83	2015.03
93 	-45849.4    	-6826.59	-3466.64	3257.09
94 	-46622.9    	-6432.37	-3554.41	2970.14
95 	-45038.5    	-5991.04	-3509.12	2527.23
96 	-48632.6    	-8861.05	-3575.37	6367.7 
97 	-33700.1    	-9978.82	-3294.46	7096.57
98 	-33710.2    	-6752.35	-3391.47	4823.72
99 	-33122.5    	-7366.82	-3518.71	5383.07
