gen	min         	avg     	max     	std        
0  	-3.48726e+06	-14825.5	-4013.23	155597     
1  	-66106.1    	-7808.48	-4187.47	6531.85    
2  	-85975.8    	-7647.39	-4038.58	5863.96    
3  	-86211.4    	-7706.7 	-3852.08	5849.39    
4  	-86251.6    	-7844.34	-3846.82	5842.54    
5  	-86705.3    	-7951.18	-3846.82	6139.13    
6  	-86522.5    	-7735.15	-3801.33	5524.52    
7  	-94770.1    	-7282.22	-3781.19	5527.72    
8  	-94770.1    	-7227.84	-3781.19	5373.31    
9  	-90386.4    	-7162.5 	-3942.73	5211.12    
10 	-90389.1    	-7351.01	-3749.32	5253.38    
11 	-90822.2    	-7185.88	-4046.43	5130.06    
12 	-90800.6    	-7137.49	-3917.23	4896.91    
13 	-90798.9    	-6979.04	-3650.35	4862.25    
14 	-90965.5    	-7788.35	-4023.52	7276.82    
15 	-133607     	-7634.72	-3473.46	7458.97    
16 	-87046.4    	-7317.69	-3585.06	6022.89    
17 	-90004.9    	-7810.78	-3820.85	7625.62    
18 	-90248.8    	-7844.42	-3454.31	7770.76    
19 	-91335.9    	-8012.33	-3433.85	8140.34    
20 	-87487      	-7865.22	-3484.08	6786.57    
21 	-88209.8    	-7567.03	-3619.16	6931.16    
22 	-52987.2    	-7364.26	-3682.79	6504.36    
23 	-53027      	-7362.4 	-3563.62	6456.36    
24 	-53028.3    	-6977.32	-3760.49	5746.56    
25 	-86937.2    	-6556.2 	-3761.17	5637.76    
26 	-46937.7    	-6245.85	-3556.47	4451.74    
27 	-50502.8    	-6269.57	-3680.01	2892.47    
28 	-199574     	-6815.55	-3589.64	12803.1    
29 	-211593     	-8867.61	-3410.12	16896      
30 	-1.78172e+07	-113798 	-3428.4 	1.37531e+06
31 	-1.78173e+07	-78617.4	-3498.16	1.12409e+06
32 	-1.78169e+07	-78725.2	-3855.32	1.12407e+06
33 	-55409.1    	-7202.87	-3571.2 	7580.98    
34 	-55983      	-7368.97	-3418.57	7168.16    
35 	-55801      	-6455.52	-3478.5 	3455.75    
36 	-65255.3    	-7890.24	-3278.52	10393.7    
37 	-61557.2    	-6860.48	-3670.8 	7898.33    
38 	-62563.6    	-7922.82	-3469.01	9807.41    
39 	-63150.9    	-7921.84	-3355.71	9947.47    
40 	-96485.9    	-11716.8	-3704.31	14504.9    
41 	-96479.5    	-11438.6	-3512.37	14172.5    
42 	-89015.2    	-7697.34	-3743.94	9826.74    
43 	-88551.5    	-7758.66	-3725.94	10013.2    
44 	-88399.8    	-8178.19	-3840.55	10792.5    
45 	-88380.6    	-6465.29	-3709.36	4127.43    
46 	-86055.9    	-6032.19	-3731.29	3851.18    
47 	-85879.8    	-5948.75	-3544.78	3901.72    
48 	-284969     	-44299.3	-3340.88	93480.9    
49 	-166964     	-9724.25	-3542.07	21664.5    
50 	-166529     	-9345.71	-3540.18	20544.2    
51 	-166925     	-10552.7	-3653.05	22995.4    
52 	-165994     	-10957  	-3585.03	22983.6    
53 	-167106     	-9257.13	-3749.43	17050.6    
54 	-166100     	-8842.75	-3218.84	14628.2    
55 	-167681     	-8660.71	-3558.51	16095.4    
56 	-171842     	-8112.06	-3625.04	16444.9    
57 	-167578     	-7510.94	-3369.11	16218.3    
58 	-167195     	-6964.01	-3582.85	10520.6    
59 	-22059.4    	-6596.59	-3370.64	2877.13    
60 	-33042.1    	-6398.76	-3574.15	3784.51    
61 	-33324.9    	-8433.4 	-3502.49	7107.15    
62 	-20974.9    	-6029.28	-3488.73	2535.93    
63 	-52760.8    	-6247.16	-3607.94	3277.13    
64 	-25116.3    	-7234.63	-3882.14	3785.07    
65 	-19719.4    	-6332.36	-3571.95	2968.97    
66 	-24119.8    	-6250.74	-3312.62	3044.67    
67 	-16785.6    	-6553.57	-3643.31	2441.82    
68 	-50256.5    	-6107.45	-3642.63	2989.91    
69 	-15591.2    	-6183.1 	-3864.38	1866.09    
70 	-30764      	-6559.22	-3669.66	3580.35    
71 	-15747.2    	-6621.54	-3413.86	2221.8     
72 	-52620.3    	-5986.48	-3620.1 	2650.56    
73 	-50818      	-6007.79	-3724.65	2549.06    
74 	-37687      	-6295.69	-3485.15	4923.05    
75 	-37533.8    	-6327.87	-3525.22	4408.06    
76 	-42059.4    	-6835.72	-3681.98	4847.25    
77 	-62469.1    	-6914.46	-3562.03	5882.84    
78 	-63311.7    	-7048.95	-3633.21	5332.01    
79 	-51492.1    	-6743.65	-3680.64	3994.57    
80 	-51833.9    	-6460.63	-3688.23	4051.82    
81 	-25415.2    	-6851.3 	-3535.6 	3515.59    
82 	-52595.7    	-7040.04	-3879.1 	3862.16    
83 	-50320.5    	-6642.73	-3821.6 	3611.8     
84 	-14778.9    	-5852.04	-3229.33	1750.31    
85 	-16394.8    	-5970.37	-3534.15	1747.69    
86 	-15054.7    	-6240.81	-3688.11	1833.64    
87 	-33773.8    	-5899.5 	-3698.51	2411.27    
88 	-67119.8    	-8812.46	-3478.95	9015.13    
89 	-50589.8    	-5589.4 	-3491.54	2959.16    
90 	-35405.3    	-5459.27	-3482.17	2780.9     
91 	-36399.7    	-6206.78	-3372.84	3343.09    
92 	-185168     	-10569.5	-3669.38	24321      
93 	-186233     	-9094.18	-3566.53	20072.1    
94 	-162753     	-12401.5	-3765.73	25992.3    
95 	-76221.8    	-8246.27	-3608.95	11745.4    
96 	-63317.2    	-8331.72	-3500.29	11771      
97 	-71521.4    	-11095.2	-3518.68	13025.8    
98 	-51374      	-7191.54	-3604.6 	4787.02    
99 	-51647.1    	-7919.34	-3963.01	5234.91    
