gen	min       	avg     	max     	std    
0  	-163042   	-8130.49	-3655.15	11914.2
1  	-163691   	-8527.07	-3655.15	13990.8
2  	-162727   	-8192.76	-3655.15	9936.62
3  	-163507   	-8801.43	-3773.52	12670.1
4  	-163507   	-8942.82	-3773.52	11924.1
5  	-164151   	-9028.09	-3840.28	12194.9
6  	-535318   	-9801.71	-3847.46	26335.4
7  	-558889   	-9979.35	-3669.98	28126.8
8  	-558980   	-9950.03	-3656.62	27810.2
9  	-536139   	-8889.75	-3590.81	26200.3
10 	-536576   	-10916.1	-3766.95	31951.2
11 	-535492   	-12136.6	-3611.78	33964.7
12 	-536562   	-12510.9	-3631.61	33300  
13 	-537066   	-13015  	-3566.87	33849.8
14 	-155929   	-11831  	-3584.92	24458.7
15 	-157092   	-11324.8	-3603.87	24527.5
16 	-156473   	-10889.8	-3555.53	23425.1
17 	-79520.5  	-7865.26	-3496.47	7380.83
18 	-79666.3  	-8524.09	-3541.92	9306.43
19 	-83577.6  	-8417.51	-3625.68	8926.84
20 	-79453    	-8369.35	-3625.68	7952.55
21 	-80085.8  	-7776.55	-3456.24	8340.7 
22 	-79037.8  	-7592.93	-3590.79	7616.34
23 	-78983.4  	-7661.74	-3798.08	7444.68
24 	-85784.6  	-8333.62	-3763.24	8145.73
25 	-343466   	-10314.5	-3524.7 	33739.3
26 	-56445.7  	-7708.75	-3575.42	7466.82
27 	-85296.7  	-7589.94	-3729.23	7625.44
28 	-40004.6  	-6947.77	-3833.2 	5356.23
29 	-84876    	-6972.18	-3511.25	4977.95
30 	-84239.4  	-6834.15	-3622.53	5962.61
31 	-84648.9  	-7245.03	-3726.88	6682.31
32 	-28529.5  	-6396.13	-3655.62	2586.87
33 	-21919.7  	-6743.27	-3267.05	3023.51
34 	-23622.4  	-7265.66	-3326.33	3410.31
35 	-103175   	-12454.1	-3441.72	18316.2
36 	-37018.4  	-6802.91	-3499.01	4893.61
37 	-36786.1  	-7197.11	-3550.83	4769.92
38 	-39434.2  	-7895.69	-3696.94	5175.69
39 	-48884    	-7263.97	-3500.49	6118.54
40 	-36401.9  	-6593.93	-3552.28	4220.75
41 	-35338.7  	-6571.52	-3378.1 	4403.73
42 	-32864.9  	-6553.37	-3729.49	3638.13
43 	-94270.6  	-15039.2	-3679.11	19855.1
44 	-77887.2  	-10500  	-3565.41	16047.4
45 	-16884.4  	-6829.27	-3882.51	2666.36
46 	-46601.8  	-6582.85	-3919.33	4604.28
47 	-72610.8  	-8287.1 	-3773.59	7814.09
48 	-42224.9  	-9021.48	-3385.66	6482.7 
49 	-39696.4  	-6827.94	-3791.57	3510.11
50 	-40390.4  	-6305.03	-3432.95	3547.36
51 	-71029.7  	-11431.8	-3692.69	14869.9
52 	-93749    	-10814.4	-3786.06	14349.7
53 	-37791.2  	-6586.07	-3512.46	3691.12
54 	-38572.2  	-6078.78	-3481.27	3518.89
55 	-37636    	-6346.41	-3598.71	3587.93
56 	-37619.9  	-6755.94	-3656.27	3788.81
57 	-38964.8  	-6872.08	-3667.46	3748.06
58 	-55887.5  	-6028.58	-3583.45	4404.71
59 	-40878.9  	-8067.89	-3527.27	5621.05
60 	-56099.1  	-6602.97	-3680.08	4094.08
61 	-55676.9  	-6408.1 	-3618.04	3732.99
62 	-38326.5  	-6368   	-3328.32	3351.93
63 	-64001.1  	-6151.64	-3415.36	4486.81
64 	-54992.3  	-5754.15	-3476.02	4343.57
65 	-56731.4  	-5796.47	-3556.89	3619.35
66 	-55420.9  	-5634.24	-3778.85	2853.63
67 	-57301.1  	-6512.31	-3523.04	4180.32
68 	-56141.2  	-6296.01	-3574.52	4250.88
69 	-55681.1  	-5833.64	-3385.68	4253.17
70 	-66951.5  	-7458.13	-3450.82	6549.47
71 	-468675   	-56974.1	-3375.57	142564 
72 	-500555   	-49301.8	-3433.66	131728 
73 	-498041   	-47957.2	-3693.54	131721 
74 	-56957.5  	-6118.26	-3672.63	4111.55
75 	-155172   	-6392.01	-3473.78	11901.5
76 	-153755   	-7722.86	-3439.37	17709.7
77 	-154284   	-9047.2 	-3430.7 	21881.5
78 	-156097   	-10386.5	-3818.99	22003.1
79 	-55577.2  	-6572.1 	-3544.7 	3657.84
80 	-27750.1  	-6332.97	-3505.72	2402.81
81 	-54668.9  	-6316.09	-3199.63	3795.97
82 	-56552.7  	-7557.71	-3454.92	4720.82
83 	-26381.3  	-6130.69	-3544.02	3215.03
84 	-43119.9  	-8158.33	-3400.44	5650.15
85 	-42881    	-6747.98	-3573.27	4028.8 
86 	-41411    	-6068.91	-3680.36	2695.02
87 	-54281    	-5948.04	-3432.7 	3427.02
88 	-18887.2  	-6178.38	-3485.15	2114.97
89 	-20969.4  	-5362.6 	-3736.52	1838.85
90 	-22129.9  	-5878.99	-3628.21	1961.26
91 	-19282.6  	-6348.17	-3427.17	2216.42
92 	-20615.5  	-5442.07	-3492.4 	2073.03
93 	-20101    	-5528.62	-3194.52	1521.35
94 	-22760.5  	-5947.46	-3473.83	2762.57
95 	-1.811e+06	-247299 	-3550.24	613744 
96 	-103330   	-16213.4	-3455.78	28045.5
97 	-101640   	-14839.7	-3458.85	26951.2
98 	-104398   	-15273.4	-3359.77	26757.7
99 	-101461   	-15173.7	-3472.37	27082.3
