gen	min     	avg     	max     	std    
0  	-4042.91	-1765.79	-1625.89	264.814
1  	-4042.91	-1758.93	-1623.74	247.249
2  	-4041.21	-1767.6 	-1619.99	263.324
3  	-4041.21	-1752.47	-1627.59	231.804
4  	-3138.91	-1734.22	-1624.12	175.864
5  	-3132.9 	-1727.55	-1623.12	166.266
6  	-3144.46	-1725.87	-1626.34	172.094
7  	-3144.46	-1722.94	-1618.42	164.385
8  	-3148.46	-1729.46	-1618.42	178.805
9  	-3208.61	-1730.25	-1618.42	178.424
10 	-3140.91	-1726.23	-1618.42	186.629
11 	-3140.91	-1721.45	-1616.94	191.919
12 	-3140.91	-1715.8 	-1616.94	183.195
13 	-2891.99	-1699.29	-1616.94	124.016
14 	-2890.99	-1694.18	-1621.42	118.959
15 	-2887.99	-1692.34	-1616.99	110.75 
16 	-2892.08	-1714.69	-1616.99	137.429
17 	-2935   	-1730.39	-1617.29	145.375
18 	-2935   	-1684.16	-1614.89	101.547
19 	-2894.89	-1705.86	-1614.89	135.237
20 	-2889.99	-1685.01	-1616.99	108.209
21 	-2884.29	-1676.58	-1613.89	95.9379
22 	-2815.72	-1675.84	-1616.81	93.997 
23 	-2816.72	-1678.42	-1617.89	95.3246
24 	-2801.72	-1669.96	-1614.59	79.5851
25 	-2821.72	-1682.62	-1613.89	82.9277
26 	-2820.72	-1690.91	-1616.59	90.928 
27 	-2847.72	-1685.17	-1615.89	95.7015
28 	-3106.85	-1717.76	-1616.81	134.857
29 	-3168.65	-1727.3 	-1615.89	153.661
30 	-3000.42	-1696   	-1615.89	109.592
31 	-2831.68	-1676.36	-1615.89	104.764
32 	-2832.68	-1670.13	-1614.89	90.4332
33 	-2811.94	-1676.73	-1614.89	107.011
34 	-2701.94	-1670.04	-1616.89	103.109
35 	-2700.42	-1669.69	-1613.89	98.6818
36 	-2713.12	-1673.22	-1615.29	104.146
37 	-2708.12	-1670.34	-1615.29	98.9153
38 	-2708.12	-1668.15	-1616.29	95.1974
39 	-2708.42	-1674.22	-1614.96	100.136
40 	-2703.42	-1667.34	-1613.89	95.9082
41 	-2701.42	-1662.84	-1613.89	98.847 
42 	-2703.51	-1665.22	-1615.66	98.4473
43 	-2701.81	-1678.89	-1615.89	146.696
44 	-2711.12	-1660.96	-1613.89	96.8571
45 	-2705.42	-1660.68	-1613.89	92.4385
46 	-2702.42	-1650.87	-1615.89	65.2901
47 	-2762.65	-1681.77	-1613.89	130.614
48 	-2325.07	-1670.07	-1614.89	118.675
49 	-2340.05	-1657.13	-1613.89	99.0059
50 	-2272.18	-1649.93	-1613.89	73.4718
51 	-2277.64	-1652.5 	-1614.89	74.0184
52 	-2298.89	-1651.12	-1613.89	73.7586
53 	-2334.89	-1656.14	-1613.89	77.1755
54 	-2266.59	-1649.47	-1614.89	74.2958
55 	-2264.81	-1645.8 	-1613.89	81.2855
56 	-3844.63	-1753.08	-1613.89	357.263
57 	-3844.3 	-1764.21	-1613.89	380.582
58 	-2364.8 	-1661.37	-1613.89	99.4582
59 	-2365.43	-1718.99	-1615.59	125.886
60 	-2368.66	-1655.22	-1613.89	89.0994
61 	-2376.2 	-1647.61	-1614.89	80.3825
62 	-2581.06	-1688.85	-1613.89	211.189
63 	-2350.43	-1642.64	-1613.89	71.8655
64 	-2373.63	-1643.88	-1613.89	72.2692
65 	-2365.1 	-1654.45	-1614.59	90.598 
66 	-2448.72	-1656.98	-1613.89	106.601
67 	-2425.89	-1646.26	-1614.59	87.1378
68 	-2551.66	-1651.88	-1613.89	110.677
69 	-2550.1 	-1654.76	-1613.89	117.061
70 	-2616.76	-1667.07	-1614.89	106.388
71 	-2552.62	-1675.55	-1613.89	129.519
72 	-1966.06	-1645.09	-1613.89	37.7697
73 	-1956.96	-1649.18	-1614.59	36.0135
74 	-2505.95	-1658.16	-1614.59	122.714
75 	-1982.96	-1643.99	-1613.89	37.6671
76 	-1958.66	-1643.63	-1615.59	36.2268
77 	-1960.5 	-1640.9 	-1614.89	28.9378
78 	-1963.96	-1634   	-1613.89	26.0882
79 	-4069.49	-1679.59	-1613.89	274.607
80 	-4101.42	-1712.95	-1613.89	362.007
81 	-1982.36	-1636.16	-1613.89	35.4855
82 	-1979.5 	-1656.82	-1615.59	54.2264
83 	-2558.63	-1672.65	-1617.29	111.289
84 	-2555.2 	-1662.01	-1613.89	131.295
85 	-2557.15	-1661.59	-1614.89	120.915
86 	-2572.8 	-1660.84	-1613.89	121.584
87 	-2539.8 	-1646.6 	-1614.89	108.953
88 	-2545.33	-1660.54	-1614.89	128.758
89 	-2720.89	-1662.56	-1613.89	173.279
90 	-2727.99	-1667.42	-1614.89	168.61 
91 	-2714.59	-1654.51	-1613.89	129.716
92 	-2713.89	-1638.53	-1613.89	54.8598
93 	-1955.8 	-1634.79	-1613.89	23.5025
94 	-2142.59	-1641.81	-1614.59	67.6016
95 	-3363.42	-1662.79	-1613.89	202.693
96 	-3346.59	-1654.53	-1613.89	173.634
97 	-1974.58	-1634.29	-1613.89	28.0854
98 	-1960.8 	-1630.77	-1613.89	26.9224
99 	-2235.29	-1659.66	-1614.89	101.616
