gen	min         	avg     	max     	std    
0  	-1.76887e+06	-5349.21	-1631.59	78948.1
1  	-1.76887e+06	-5357.29	-1629.08	78947.9
2  	-1.76887e+06	-5351.43	-1627.9 	78948.2
3  	-1.76887e+06	-5394.52	-1625.1 	78948.1
4  	-1.76887e+06	-5397.04	-1620.28	78948  
5  	-1.76887e+06	-5401.89	-1620.28	78947.1
6  	-1.76886e+06	-5399.92	-1620.28	78947  
7  	-1.76887e+06	-5379.13	-1620.28	78948.6
8  	-8616.57    	-1830.35	-1620.28	770.871
9  	-8579.51    	-1801.42	-1623.28	650.133
10 	-8709.13    	-1777.47	-1622.29	568.99 
11 	-8570.37    	-1792.92	-1622.29	647.235
12 	-8597.26    	-1797.74	-1619.68	656.919
13 	-2939       	-1712.02	-1621.28	136.722
14 	-2908.11    	-1721.62	-1621.28	151.24 
15 	-2881.48    	-1723.21	-1621.11	152.638
16 	-2247.01    	-1699.91	-1620.28	97.4269
17 	-2222.2     	-1698.85	-1619.11	101.867
18 	-2339.18    	-1701.79	-1617.89	111.971
19 	-2339.18    	-1719.68	-1620.28	139.121
20 	-2314.18    	-1710.79	-1618.89	125.804
21 	-2339.41    	-1704.37	-1618.28	123.04 
22 	-2531.81    	-1718.33	-1618.41	146.585
23 	-2389.38    	-1705.37	-1617.89	107.973
24 	-2389.59    	-1702.53	-1616.28	102.156
25 	-2399.59    	-1688.42	-1617.28	106.245
26 	-2404.29    	-1680.23	-1617.28	96.7246
27 	-2397.29    	-1681.25	-1615.89	100.257
28 	-4606.67    	-1704.45	-1615.89	275.894
29 	-4620.67    	-1704.78	-1614.89	248.759
30 	-4648.54    	-1711.23	-1614.89	280.614
31 	-4653.94    	-1700.38	-1614.89	279.816
32 	-4654.62    	-1681.42	-1615.98	240.251
33 	-4648.09    	-1674.18	-1614.89	232.849
34 	-4645.41    	-1669.47	-1615.59	234.79 
35 	-4663.08    	-1659.41	-1615.89	141.196
36 	-4638.38    	-1661.03	-1615.59	189.336
37 	-4640.78    	-1668.37	-1614.89	228.54 
38 	-4767.29    	-1666.47	-1614.89	205.147
39 	-4570.08    	-1669.81	-1617.28	196.181
40 	-4610.59    	-1678.25	-1615.98	238.234
41 	-4610.11    	-1680.31	-1614.89	239.699
42 	-4511.93    	-1656.19	-1614.89	140.899
43 	-4609.41    	-1660.69	-1616.89	192.855
44 	-4610.41    	-1661.8 	-1616.89	193.843
45 	-4610.41    	-1656.76	-1614.89	191.998
46 	-4616.41    	-1662.01	-1616.41	191.487
47 	-4614.41    	-1667.05	-1616.41	191.35 
48 	-4612.89    	-1665.81	-1616.59	191.326
49 	-4507.89    	-1675.64	-1616.59	158.499
50 	-2622.59    	-1697.29	-1614.89	125.982
51 	-2958.15    	-1706.89	-1614.89	188.032
52 	-2276.59    	-1646.14	-1614.89	47.1673
53 	-2272.59    	-1650.85	-1615.59	60.6846
54 	-2276.59    	-1673.21	-1615.68	98.6925
55 	-2275.59    	-1678.16	-1614.89	101.085
56 	-2277.59    	-1676.79	-1615.59	103.087
57 	-2205.39    	-1671.65	-1614.98	100.272
58 	-2144.37    	-1671.07	-1615.89	93.8269
59 	-2193.37    	-1668.52	-1614.89	92.2748
60 	-2110.28    	-1653.51	-1615.59	69.2126
61 	-2214.19    	-1660.42	-1614.89	76.8607
62 	-2150.72    	-1658.61	-1614.89	74.3471
63 	-2217.38    	-1669.62	-1615.89	89.6695
64 	-10972.3    	-1776.49	-1614.89	1010.65
65 	-2149.29    	-1650.9 	-1614.89	67.4465
66 	-2148.51    	-1651.98	-1614.89	68.1814
67 	-2136.29    	-1644.1 	-1614.89	64.361 
68 	-2133.99    	-1647.91	-1615.89	65.5806
69 	-1941.8     	-1642.64	-1614.98	37.5269
70 	-2002.59    	-1648.05	-1614.89	70.0864
71 	-1934.59    	-1643.15	-1614.89	47.3705
72 	-1936.59    	-1648.95	-1615.68	46.4689
73 	-1957.59    	-1662.48	-1615.89	38.0404
74 	-2226.21    	-1676.19	-1614.89	106.088
75 	-2287.36    	-1686.59	-1614.89	139.7  
76 	-2219.09    	-1662.69	-1614.89	114.564
77 	-3683.42    	-1675.16	-1614.89	203.068
78 	-3901.42    	-1717.47	-1614.89	251.103
79 	-3904.59    	-1718.86	-1614.89	226.607
80 	-3691.05    	-1673.94	-1614.89	198.156
81 	-3691.89    	-1696.09	-1615.89	211.547
82 	-3697.99    	-1693.67	-1615.59	194.51 
83 	-3702.59    	-1648.77	-1614.98	162.567
84 	-3738.89    	-1662.66	-1615.98	163.469
85 	-3702.59    	-1656.54	-1614.89	162.732
86 	-3704.5     	-1662.2 	-1614.89	164.38 
87 	-40611.6    	-1823.42	-1614.89	2463.76
88 	-3724.12    	-1660.4 	-1615.59	164.689
89 	-3705.89    	-1712.41	-1615.59	266.139
90 	-3675.89    	-1646.06	-1614.89	158.628
91 	-3680.89    	-1641.85	-1614.89	130.568
92 	-3675.89    	-1646.94	-1614.89	160.008
93 	-3681.89    	-1645.62	-1614.98	158.714
94 	-3690.89    	-1644.91	-1614.98	158.87 
95 	-3713.29    	-1646.98	-1615.89	159.735
96 	-3685.89    	-1651.62	-1614.98	158.999
97 	-3681.89    	-1645.97	-1615.59	158.93 
98 	-3678.59    	-1642.04	-1614.89	158.7  
99 	-3701.29    	-1663.9 	-1614.98	173.272
