gen	min     	avg     	max     	std    
0  	-74005.9	-3424.55	-2362.63	3626.1 
1  	-74005.9	-3392.63	-2362.63	3676.1 
2  	-73760.2	-3449.15	-2370.56	3781.58
3  	-73787.9	-3492.28	-2370.56	3895.68
4  	-73801.6	-3512.96	-2370.56	4067.85
5  	-73718.6	-3349.05	-2342.98	3553.26
6  	-73818.7	-3326.53	-2343.98	3587.79
7  	-73818.7	-3232.32	-2330.25	3421.8 
8  	-73634.2	-3260.24	-2330.25	3442.42
9  	-73638.1	-3171.03	-2309.26	3359.24
10 	-73634.1	-4241.86	-2311.21	7433.45
11 	-73614.8	-4074.83	-2308.38	6911.93
12 	-73609  	-4211.53	-2310.51	7436.1 
13 	-73748.8	-3856.27	-2305.45	6865.57
14 	-73769.5	-3811.26	-2283.12	6585.4 
15 	-74118.2	-3787.12	-2317.65	6591.97
16 	-48570.5	-3473.07	-2316.9 	5069.39
17 	-47945.5	-3739.67	-2315.07	5779.82
18 	-73574.4	-3590.66	-2298.48	5615.17
19 	-73864.1	-3274.76	-2278.86	4787.3 
20 	-73681.4	-3465.97	-2281.6 	5559.5 
21 	-73559.9	-3372   	-2285.59	5210.98
22 	-73604.2	-3243.99	-2306.93	4797.91
23 	-73631.6	-3357.96	-2283.89	5434.81
24 	-73910.5	-3419.54	-2277.9 	5821.98
25 	-73681.1	-3622.38	-2286.98	6512.84
26 	-73610.3	-3797.65	-2279.2 	7124.77
27 	-73662.7	-3823.71	-2261.3 	7111.35
28 	-73741.8	-3383.12	-2268.16	5572.83
29 	-73676.1	-3764.72	-2282.78	6576.5 
30 	-73658.4	-3594.89	-2278.92	5953.67
31 	-73682.6	-3541.24	-2271.98	5213.13
32 	-48292.3	-3304.51	-2279.29	4307.67
33 	-48040.2	-2865.7 	-2261.8 	2938.16
34 	-48025.6	-2886.6 	-2264.08	2948.64
35 	-48071.7	-2741.13	-2285.6 	2905.91
36 	-48095.8	-2847.44	-2264.74	3536.63
37 	-48057.2	-2952.14	-2280.95	4060.65
38 	-47825.6	-3085.38	-2269.37	4524.92
39 	-9149.11	-2542.14	-2268.7 	477.891
40 	-69537.5	-4505.41	-2276.93	10596.6
41 	-69732.7	-4188.23	-2260.74	9777.61
42 	-69328.3	-3997.16	-2265.24	9326.73
43 	-9073.7 	-2643.72	-2247.59	515.462
44 	-9113.25	-2688.92	-2257.48	589.218
45 	-8956.47	-2585.43	-2263.17	533.079
46 	-9116.13	-2510.3 	-2248.24	388.616
47 	-9434.88	-2599.17	-2272.42	425.001
48 	-9449.87	-2575.22	-2280.37	404.247
49 	-12532.8	-2556.63	-2278.93	586.151
50 	-12398.9	-2535.08	-2263.89	577.601
51 	-12593.6	-2612.78	-2279.26	747.193
52 	-12417.8	-2584.92	-2257.55	781.725
53 	-12417.1	-2594.11	-2266.39	582.697
54 	-17195  	-3060.63	-2273.92	1934.07
55 	-17868  	-2994.07	-2259.78	1823.01
56 	-17231.7	-3162.03	-2261.72	1770.06
57 	-17332  	-2971.4 	-2279.53	1780.27
58 	-17077.6	-3054.64	-2265.16	1803.89
59 	-12494.6	-2725.07	-2256.24	995.364
60 	-14394.9	-2750.04	-2257.7 	1062.33
61 	-10860.9	-2793.18	-2272.55	999.646
62 	-4926.32	-2536.05	-2264.26	343.759
63 	-5680.66	-2751.24	-2296.05	471.178
64 	-4882.2 	-2718.22	-2263.51	446.631
65 	-5232.55	-2546.75	-2267.29	371.643
66 	-5088.46	-2511.47	-2274.43	354.616
67 	-3890.3 	-2458.33	-2241.19	197.127
68 	-6897.11	-2599.42	-2247.73	601.278
69 	-6891.64	-2603.11	-2242.24	659.485
70 	-6912.26	-2640.46	-2262.92	708.34 
71 	-8119.56	-2883.98	-2249.99	1118.58
72 	-8044.23	-2904.53	-2251.83	1195.77
73 	-7828.88	-2877.5 	-2264.05	1043   
74 	-8032.9 	-2917.47	-2243.37	1261.82
75 	-9397.35	-3037.63	-2252.14	1478.95
76 	-6314.84	-2562.4 	-2259.79	485.967
77 	-10502.6	-3098.69	-2251.43	2029.15
78 	-10604.2	-3125.22	-2265.35	2106.12
79 	-5603.44	-2500.16	-2259.81	365.033
80 	-5711.72	-2987.1 	-2266.35	701.685
81 	-4730.8 	-2572.65	-2253.19	355.662
82 	-7729.42	-2769.32	-2253.86	838.482
83 	-110724 	-42974.2	-2290.43	51493.8
84 	-4638.76	-2530.75	-2262.93	333.319
85 	-8875.03	-2590.02	-2272.11	828.704
86 	-9046.97	-2495.21	-2250.04	524.976
87 	-9006.17	-2426.63	-2250.78	436.207
88 	-4499.28	-2475.5 	-2266.83	205.988
89 	-4632.27	-2436.39	-2249   	170.448
90 	-4709.17	-2474.98	-2248.87	223.168
91 	-4584.18	-2483.8 	-2256.81	191.929
92 	-4726.75	-2468.26	-2264.8 	254.852
93 	-4709.15	-2687.74	-2260.11	428.812
94 	-4592.43	-2559.76	-2247.24	344.95 
95 	-4686.11	-2625.82	-2256.05	402.848
96 	-9178.31	-2854.59	-2271.95	1009.77
97 	-4578.76	-2431.13	-2268.62	190.167
98 	-3209.34	-2483.44	-2248.47	143.487
99 	-3250.19	-2477.22	-2252.04	174.753
