gen	min     	avg     	max     	std    
0  	-822734 	-4687.91	-1689.42	36641.9
1  	-20245  	-3030.93	-1689.42	1325.1 
2  	-20245  	-3096.54	-1586.08	1541.51
3  	-20245  	-3200.88	-1589.02	1775.75
4  	-22736  	-3282.31	-1589.02	2109.97
5  	-22778.6	-3364.27	-1589.57	2298.29
6  	-8590.58	-3127.26	-1587.07	1010.32
7  	-36828.5	-3195.3 	-1584.59	1852.16
8  	-36858.7	-3255.67	-1581.89	1880.18
9  	-36858.7	-3365.04	-1630.89	2356.47
10 	-38420  	-3278.38	-1694.61	2347.58
11 	-38420  	-3268.07	-1691.61	2323.71
12 	-36677.3	-3265.73	-1643.85	2210.66
13 	-36664.7	-3179.68	-1606.34	2177.78
14 	-36781.5	-3236.93	-1767.32	2668.57
15 	-36749.5	-3361.74	-1805.24	2735.98
16 	-36717.8	-3373.75	-1793.19	2718.25
17 	-36894.3	-3308.69	-1809.73	2232.89
18 	-6894.46	-3119.83	-1821.3 	644.558
19 	-5633.19	-3081.23	-1909.87	437.229
20 	-4995.09	-3083.94	-1892.36	402.222
21 	-5812.1 	-3063.33	-1742.18	451.571
22 	-6093.55	-3043.62	-1742.28	465.183
23 	-5941.65	-3069.89	-1888.96	483.491
24 	-5943.19	-3061.36	-1887.79	483.31 
25 	-6070.9 	-3070.5 	-1897.97	491.437
26 	-5985.54	-3161.36	-1773.72	510.91 
27 	-6020.17	-3163.92	-1843.35	558.287
28 	-6290.27	-3216.96	-1869.91	543.783
29 	-6037.66	-3298.51	-1867.48	605.024
30 	-5529.12	-3265.08	-1773.69	585.369
31 	-5938.26	-3227.7 	-1804.4 	634.525
32 	-11941.1	-3659.72	-1795.48	1559.77
33 	-26166.4	-4842.85	-1898.63	3952.58
34 	-11900.9	-3676.47	-2103   	1389.21
35 	-11795.6	-3246.38	-1940.99	619.372
36 	-11788.8	-3293.3 	-2165.39	733.264
37 	-11802.2	-3326.55	-1892.87	726.608
38 	-11812.6	-3289.07	-1866.26	736.074
39 	-11828.1	-3319.78	-1947.22	785.758
40 	-11834.7	-3277.99	-1866.62	730.56 
41 	-11836.9	-3437.04	-1868.59	1107.19
42 	-12388.5	-3414.27	-1838.95	1187.85
43 	-11920.8	-3085.82	-1850.89	599.047
44 	-11850.2	-3152.69	-1858.39	713.619
45 	-33415.3	-4999.48	-1861.76	6787.86
46 	-11933  	-3251.15	-1831.02	718.726
47 	-11838.9	-3260.85	-1930.14	715.141
48 	-14701.5	-3880.26	-1943.8 	2715.36
49 	-11858.9	-3307.95	-1923.45	906.729
50 	-9851.26	-3239.79	-2005.25	698.688
51 	-12201.1	-3302.31	-1932.23	803.734
52 	-11851.4	-3242.1 	-1911   	739.55 
53 	-12096.4	-3229.89	-1849.21	725.44 
54 	-12224.4	-3127.86	-1979.72	546.224
55 	-13132  	-3721.44	-1930.23	1805.16
56 	-11824.8	-3170.53	-1899.66	603.3  
57 	-11836.8	-3089.34	-1950.56	523.806
58 	-5512.31	-3030.21	-1970.7 	301.554
59 	-19506.9	-4147.44	-1967.76	2641.42
60 	-16286.7	-3474.03	-1972.79	2182.58
61 	-16323.6	-3534.97	-2065.64	2106.35
62 	-5976.55	-3072.5 	-2022.87	299.323
63 	-11909.1	-3190.28	-2017.9 	808.676
64 	-10778.3	-3180.02	-1959.99	732.792
65 	-11866.8	-3320.94	-1951.42	868.903
66 	-10765.1	-3273.16	-2013.71	1011.15
67 	-10825  	-3309.86	-1972.23	993.808
68 	-11036.1	-3313.3 	-1960.95	798.737
69 	-11177.3	-3473.61	-2233.37	857.292
70 	-381326 	-33479.4	-2224.08	102379 
71 	-380977 	-28951.9	-2195.56	94996.4
72 	-10965.3	-3238.58	-2232.64	760.277
73 	-10751.1	-3231.84	-2166.88	821.527
74 	-10782.5	-3162.41	-2132.99	734.057
75 	-10771.8	-3248.76	-2139.06	862.594
76 	-10513.4	-3497.62	-2186.13	958.565
77 	-11965.3	-3537.77	-1983.38	922.81 
78 	-11933.5	-3629.27	-1944.9 	1003.86
79 	-12292.2	-3492.88	-1941.89	1131.23
80 	-10764.3	-3396.51	-1937.87	934.766
81 	-10895.5	-3541.07	-1944.1 	1110.16
82 	-12472.4	-3662.99	-2037.84	1200.8 
83 	-10994.1	-3358.39	-1983.72	976.549
84 	-10680.5	-3322.52	-1965.26	918.943
85 	-10604.6	-3353.93	-2363.9 	858.048
86 	-14571.8	-3903.72	-2310.83	1513.11
87 	-10552.8	-3395.27	-2772.76	861.953
88 	-10556.9	-3447.68	-2862.67	906.102
89 	-10598.9	-3324.81	-2857.19	559.653
90 	-10507.7	-3218.2 	-2714.55	702.146
91 	-10468.3	-3290.28	-2767.5 	656.986
92 	-8767.64	-3258.67	-2825.17	460.025
93 	-5387.92	-3090.23	-2715.15	237.283
94 	-7202.28	-3188.47	-2848.61	429.357
95 	-7446.42	-3305.93	-2826.98	671.694
96 	-8639.6 	-3549.17	-2837.33	905.035
97 	-7205.14	-3226.83	-2825.28	576.771
98 	-8508.84	-3234.1 	-2828.11	526.245
99 	-6964.04	-3249.14	-2849.09	600.303
