gen	min        	avg     	max     	std    
0  	-3.6522e+06	-10859.3	-1677.21	163101 
1  	-74927.7   	-3560.31	-1678.73	4322.8 
2  	-87190.7   	-3953.99	-1649.27	6642.56
3  	-195768    	-5473.86	-1647.56	18571.3
4  	-195700    	-4160.5 	-1648.9 	10811.4
5  	-195700    	-4257.66	-1615.03	10831.6
6  	-195700    	-4486.17	-1615.03	10958.6
7  	-195700    	-4454.98	-1617.4 	11025.4
8  	-195726    	-4948.48	-1622.95	14012.4
9  	-176122    	-4639.17	-1620.54	12544.5
10 	-176131    	-4260.93	-1514.77	11987.3
11 	-244918    	-5731.14	-1660.37	23064.8
12 	-243993    	-5008.52	-1689.59	20266.8
13 	-244513    	-6273.92	-1611.13	26430.1
14 	-244519    	-5255.92	-1546.58	21740.7
15 	-243741    	-4164.96	-1558.06	15551.1
16 	-243838    	-4147.96	-1544.51	15550.7
17 	-246803    	-3832.44	-1629.7 	13462.1
18 	-246801    	-3435.47	-1605.3 	11020.5
19 	-13427.3   	-2771.36	-1626.04	1065.85
20 	-14146     	-2841.09	-1651.63	1576.4 
21 	-17063.1   	-3198.08	-1585.23	2107.05
22 	-16910.6   	-3009.95	-1650.6 	1601.45
23 	-14065.4   	-2787.04	-1637.33	1277.56
24 	-15328.9   	-2987.23	-1602.31	1911.91
25 	-22670.8   	-3327.96	-1616.86	3090.06
26 	-22701.6   	-3235.53	-1638.74	2941.26
27 	-77761.8   	-3408.44	-1580.19	4682.06
28 	-22568.1   	-3455.23	-1534.82	3671.8 
29 	-23071.2   	-3585.66	-1577.63	4252.06
30 	-75634.3   	-3818.69	-1550.39	5518.98
31 	-23277.4   	-3843.66	-1563.31	4628.51
32 	-23039.2   	-4052.93	-1563.96	5029.54
33 	-17924.8   	-2696.15	-1514.46	1552.6 
34 	-17881.6   	-2676.91	-1597.44	1390.72
35 	-17819.7   	-2615.68	-1551.71	1204.1 
36 	-18007.7   	-2679.73	-1475.45	1511.76
37 	-14047.6   	-2588.79	-1460.3 	1336.22
38 	-15571.9   	-2833.97	-1512.97	1776.03
39 	-75282.3   	-3016.54	-1534.73	3743.96
40 	-15458.8   	-3007.13	-1641.02	1890.2 
41 	-14828.4   	-2802.64	-1462.01	1675.73
42 	-13984.6   	-2562.01	-1543.78	1207.14
43 	-13721     	-2448.76	-1534.69	900.503
44 	-13753     	-2574.25	-1491.74	1192.74
45 	-13781.7   	-3038.57	-1639.25	1948.59
46 	-13555.9   	-2812.93	-1511.65	1767.81
47 	-10733.8   	-2626.39	-1546.62	1437.41
48 	-14921.2   	-2484.71	-1567.12	971.93 
49 	-14929.1   	-2729.02	-1516.47	1145.86
50 	-11029.2   	-2814.92	-1601.7 	1551.53
51 	-10778     	-2690.78	-1577.71	1535.66
52 	-15441.3   	-2838.22	-1578.7 	1910.8 
53 	-11612.2   	-2817.98	-1598.46	1897.54
54 	-13958.1   	-2856.02	-1547.58	1955.32
55 	-13986.9   	-2927.56	-1586.18	2102.67
56 	-14045.8   	-2834.1 	-1579.44	1780.31
57 	-13856     	-2509.26	-1515.21	1173.88
58 	-22941.9   	-2666.93	-1768.79	1408.96
59 	-24239.3   	-3289.09	-1590.64	3747.13
60 	-22321.4   	-5401.63	-1563.55	6065.55
61 	-15867.6   	-3208.78	-1569.02	1641.85
62 	-10244.7   	-2921.8 	-1543.74	1443.74
63 	-15583.6   	-2951.54	-1531.82	1627.81
64 	-17707     	-3196.73	-1586.5 	1497.36
65 	-15935.8   	-2895.28	-1530.94	2229.51
66 	-16033.1   	-3320.29	-1431.61	2464.67
67 	-15950.3   	-2367.15	-1509.53	1185.23
68 	-16144.3   	-2452.88	-1522.42	1015.34
69 	-10784.6   	-2641.47	-1557.79	1202.23
70 	-11456.3   	-2645.84	-1628.89	1271.92
71 	-11424.3   	-2703.99	-1606.9 	1255.44
72 	-74694.2   	-4575.59	-1690.65	10153.3
73 	-9063.15   	-2525.07	-1524.4 	836.695
74 	-8752.28   	-2664.93	-1457.16	1022.59
75 	-8214.14   	-2594.32	-1551.51	892.648
76 	-8794.88   	-2627.95	-1564.01	902.481
77 	-6266.76   	-2593.47	-1536.45	887.487
78 	-6552.34   	-2689.82	-1642.29	953.377
79 	-10612.6   	-2768.1 	-1592.05	1407.42
80 	-10188.9   	-2824.08	-1567.54	1437.31
81 	-12516.2   	-2694.13	-1567.85	1460.52
82 	-12533.1   	-2701.28	-1536.94	1417.37
83 	-9226.98   	-2769.5 	-1477.48	1446.56
84 	-10122.6   	-2594.4 	-1557.21	924.657
85 	-11445.4   	-2589.84	-1551.31	1028.6 
86 	-10176.1   	-2764.37	-1575.66	1199.65
87 	-10178.7   	-2636.17	-1610.01	925.962
88 	-10079.5   	-2767.87	-1522.49	1720.73
89 	-10253.8   	-2446.36	-1563.74	653.062
90 	-23777.8   	-2442.53	-1524.32	1609.88
91 	-23744.9   	-2708.74	-1604.35	1634.11
92 	-24129.9   	-2658.59	-1557.73	1720.53
93 	-25005.3   	-3377.71	-1528.06	2152.87
94 	-29880.5   	-2959.33	-1598.54	2755.32
95 	-29613.3   	-3056.72	-1687.59	2827.05
96 	-7442.8    	-2736.28	-1510.32	788.614
97 	-7207.2    	-2869.36	-1709.05	918.048
98 	-6521.87   	-3102.29	-1729.21	950.497
99 	-9010.37   	-2608.59	-1749.27	657.558
