gen	min         	avg     	max     	std    
0  	-468709     	-4432.16	-1681.25	21503.8
1  	-468709     	-4529.11	-1681.25	21872.8
2  	-468960     	-4529.98	-1681.25	22083.7
3  	-468970     	-4642.86	-1681.25	22249.4
4  	-468970     	-4837.57	-1677.25	22629.1
5  	-469046     	-6238.36	-1726.78	31178.4
6  	-469208     	-6187.55	-1726.03	31062.3
7  	-468486     	-4764.42	-1739.05	22276.7
8  	-468347     	-5122.94	-1722.25	22808  
9  	-99109.6    	-3989.02	-1652.78	9545.24
10 	-99188.5    	-4324.26	-1646.78	10558  
11 	-99182.7    	-4628.63	-1696.85	11740.3
12 	-99628.8    	-4934.87	-1682.41	13140.1
13 	-99093.5    	-4524.59	-1641.81	11250.7
14 	-213004     	-7790.63	-1724.94	21237.3
15 	-212770     	-7006.5 	-1565.47	20551.6
16 	-213842     	-7642.48	-1538.44	20478.4
17 	-1.08676e+06	-63208.4	-1707.19	240434 
18 	-98282.2    	-5192.3 	-1695.44	11915.3
19 	-98490.2    	-5091.18	-1754.37	12352  
20 	-98519.9    	-5377.78	-1691.29	12385.1
21 	-98432      	-4617.29	-1637.65	12072.9
22 	-13051.4    	-2834.22	-1549.68	1626.72
23 	-65206.9    	-3623.5 	-1653.98	7382.84
24 	-64281.4    	-3795.37	-1614.18	8271.7 
25 	-95910.5    	-4979.65	-1604.8 	13088.7
26 	-96186.5    	-4836.29	-1529.27	13273.8
27 	-94864.5    	-4999.87	-1480.85	12495  
28 	-95483.1    	-4125.03	-1472.15	9307.63
29 	-95473.1    	-3896.79	-1617.82	7825.35
30 	-95637.5    	-3873.11	-1691.92	8153.31
31 	-95641      	-3714.98	-1630.8 	7895.62
32 	-95754.6    	-3633.39	-1633.17	7886.39
33 	-65007.9    	-3073.81	-1704.68	3365.96
34 	-64986.7    	-3076.5 	-1586.66	3106.41
35 	-216941     	-3710.01	-1590.56	10164.1
36 	-216721     	-3513.89	-1565.13	10024.1
37 	-216936     	-2991.72	-1515.12	9647.39
38 	-216502     	-3156.38	-1521.68	9626.06
39 	-216694     	-3170.76	-1594.39	9620.56
40 	-216925     	-3155.43	-1610.16	9636.01
41 	-216895     	-3376.46	-1532.52	9678.71
42 	-216800     	-3471.39	-1559.6 	9692.06
43 	-19784.5    	-3448.88	-1576.46	2831.05
44 	-20261.9    	-3624.76	-1500.66	2833.15
45 	-219411     	-3835.04	-1553.47	10082.9
46 	-219992     	-4347.87	-1600.44	10167.8
47 	-219339     	-3233.52	-1599   	9713.77
48 	-215865     	-2980.52	-1570.77	9552.4 
49 	-215658     	-3247.97	-1560.05	9585.71
50 	-215723     	-4041.32	-1629.11	9839.29
51 	-215703     	-3199.45	-1666.97	9570.93
52 	-215685     	-3109.77	-1685.93	9668.87
53 	-215535     	-3446.93	-1623.71	9663.22
54 	-215717     	-3311.31	-1607.38	9682.27
55 	-216799     	-3524.15	-1612.59	9882.08
56 	-216728     	-3312.51	-1529.6 	9748.13
57 	-216564     	-2949.79	-1539.76	9629.76
58 	-18247.7    	-2472.24	-1568.61	861.075
59 	-6793.78    	-2572.27	-1552.13	944.716
60 	-14629.9    	-2710.91	-1487.9 	1157.28
61 	-13736.2    	-2818.49	-1644.37	1609.6 
62 	-14654.4    	-3037.82	-1566.81	1771.45
63 	-13556.4    	-2443.71	-1495.07	887.832
64 	-7695.99    	-2471.84	-1600.38	567.144
65 	-8333.96    	-2542.02	-1561.61	727.091
66 	-269800     	-17938.7	-1622.63	62011  
67 	-181677     	-22452.1	-1655.66	55297.8
68 	-181945     	-22618.9	-1680.33	55197.6
69 	-182773     	-22539.2	-1600.4 	55253.4
70 	-188649     	-17129.2	-1653.13	47498.3
71 	-137833     	-17403.2	-1578.44	41876.6
72 	-149281     	-13633.5	-1556.86	36917.2
73 	-16949.7    	-2938.51	-1480.12	1966.59
74 	-17150.4    	-2517.96	-1547.54	1474.46
75 	-17164.6    	-3273.38	-1531.03	2108.99
76 	-26784.8    	-3198.31	-1634.92	2837.32
77 	-12197.9    	-2944.63	-1538.71	1524.37
78 	-12802.1    	-3011.16	-1596.44	1989.68
79 	-12942.1    	-2828.02	-1543.85	1627.15
80 	-8370.96    	-2653.69	-1639.98	877.165
81 	-19982.3    	-3235.97	-1646.79	2692.42
82 	-11402.2    	-2896.67	-1610.61	1468.93
83 	-8593.24    	-2770.52	-1610.69	831.221
84 	-8635.64    	-2578.68	-1609.72	772.945
85 	-9620.33    	-2763.21	-1697.14	833.669
86 	-9931.56    	-2752.48	-1551.4 	1099.25
87 	-11218.7    	-2518.29	-1531.8 	1161.81
88 	-10884.1    	-2795.96	-1590.05	1696.6 
89 	-12507.8    	-3621.75	-1569.47	2096.71
90 	-8528.81    	-2717.68	-1641.35	1021.83
91 	-12464.3    	-3196.04	-1548.79	2187.44
92 	-10898.9    	-3217.92	-1678.39	2137.65
93 	-14968.6    	-3571.03	-1671.16	2273.54
94 	-14518      	-3919.35	-1645.09	3314.03
95 	-15006.1    	-4002.05	-1643.1 	3326.01
96 	-14908.9    	-3716.16	-1591.63	3256.67
97 	-8225.9     	-2564.89	-1648.64	697.852
98 	-8702.93    	-2563.33	-1559.22	734.279
99 	-8741.41    	-3385.64	-1713.76	1829.3 
