gen	min        	avg     	max     	std    
0  	-1.5542e+06	-14392.9	-3873.5 	98345.1
1  	-328672    	-9307.54	-3873.5 	23724.1
2  	-328041    	-8674.11	-3873.5 	19038  
3  	-327914    	-8497.65	-3873.5 	18992.6
4  	-252982    	-7978.26	-3769.72	12785.8
5  	-71480.5   	-8052.28	-3754.9 	7540.15
6  	-71951.3   	-8504.66	-3754.9 	8301.95
7  	-76369     	-8209.98	-3754.9 	8260.13
8  	-71406.3   	-8285.98	-3754.9 	7882.6 
9  	-71461.3   	-7886.79	-3530.64	5993.41
10 	-36912.3   	-7667.08	-3530.64	5059.41
11 	-37303.8   	-8108.98	-3530.64	5441.29
12 	-35187.3   	-8378.71	-3530.64	5388.62
13 	-229405    	-9857.43	-3530.64	20417.2
14 	-228288    	-9418.97	-3530.64	17861  
15 	-228095    	-9635.91	-3530.64	20293.4
16 	-227466    	-8408.3 	-3530.64	11855.3
17 	-227741    	-7455.89	-3530.64	10852.4
18 	-30578.1   	-7251.58	-3530.64	4216.14
19 	-29172.8   	-7336.92	-3530.64	4179.06
20 	-38011.6   	-7230.48	-3530.64	4633.22
21 	-37567.9   	-7602.61	-3530.64	4488.37
22 	-36841.7   	-7139.09	-3530.64	4102.17
23 	-173636    	-7456.95	-3509.14	11213.9
24 	-172219    	-6847.1 	-3463.54	8032.45
25 	-172219    	-8304.51	-3463.54	11215.9
26 	-54001.9   	-8511.93	-3463.54	9357.81
27 	-36367.5   	-6659.01	-3463.54	3201.24
28 	-27031.1   	-6792.04	-3463.54	2973.47
29 	-28219.7   	-7368.46	-3463.54	3723.29
30 	-33694.7   	-6697.59	-3463.54	3080.86
31 	-66540.8   	-8273.6 	-3463.54	9773.78
32 	-66503.2   	-9705.05	-3463.54	12894.6
33 	-30766.2   	-7345.17	-3463.54	4402.7 
34 	-30545.8   	-7168.24	-3463.54	4451.59
35 	-29550     	-6630.85	-3463.54	3938.2 
36 	-50145.2   	-7612.45	-3463.54	6368.94
37 	-29355     	-7198.35	-3463.54	3759.31
38 	-28881     	-6901.72	-3436.15	3508.79
39 	-28881     	-6555.73	-3436.15	3317.27
40 	-35199.9   	-6657.92	-3436.15	4430.16
41 	-27839.7   	-6072.68	-3436.15	2170.96
42 	-26069     	-6304.46	-3330.94	2455.29
43 	-26108.4   	-6972.03	-3330.94	3454.79
44 	-23512.7   	-6440.27	-3330.94	3472.56
45 	-22748.4   	-6817.31	-3330.94	3477.32
46 	-18406.8   	-6689.32	-3330.94	3075.3 
47 	-24152.4   	-6744.77	-3330.94	3156.72
48 	-33994.6   	-7410.2 	-3330.94	3799.62
49 	-24483.5   	-7018.38	-3330.94	3801.01
50 	-20591.4   	-6290.1 	-3330.94	2759.86
51 	-31121.7   	-6024.94	-3330.94	2835.58
52 	-43419.4   	-9806.87	-3330.94	6423.11
53 	-261370    	-24058.5	-3330.94	60140.2
54 	-237326    	-29864.6	-3330.94	65782.3
55 	-235450    	-8755.93	-3330.94	23112.4
56 	-58124.7   	-9674.32	-3330.94	13155.3
57 	-57545.2   	-7221.05	-3330.94	6593.48
58 	-32260.6   	-6400.52	-3330.94	4047.94
59 	-31761     	-6330.86	-3330.94	3614.28
60 	-32191.6   	-6600.48	-3330.94	3069.19
61 	-31505.2   	-6893.73	-3330.94	2518.65
62 	-31443.8   	-6557.64	-3330.94	2063.15
63 	-32804.9   	-6462.75	-3330.94	2483.68
64 	-32804.9   	-6765.4 	-3330.94	3322.66
65 	-34069.8   	-7015.87	-3330.94	4079.34
66 	-39960.1   	-9332.35	-3315.55	9089.03
67 	-34718.8   	-5682.01	-3308.36	2604.48
68 	-23081.1   	-5972.09	-3308.36	2458.72
69 	-22517.4   	-6133.8 	-3308.36	2333.4 
70 	-19545.3   	-8140.22	-3308.36	3358.1 
71 	-14943.5   	-6831.21	-3308.36	2037.1 
72 	-13004     	-6325.95	-3308.36	1684.3 
73 	-28311.7   	-6356.82	-3308.36	2687.7 
74 	-28090.5   	-5937.68	-3308.36	3382   
75 	-28070.1   	-5502.98	-3308.36	1766.52
76 	-10569.7   	-5570.41	-3308.36	1278.66
77 	-37916.9   	-6366.17	-3308.36	3197.15
78 	-692834    	-56166.6	-3308.36	176014 
79 	-37377.5   	-6172.34	-3308.36	3035.33
80 	-31240.4   	-6252.76	-3308.36	2614.08
81 	-19837.8   	-6700.23	-3308.36	3072.56
82 	-19419.8   	-6659.95	-3308.36	2914.43
83 	-40794.4   	-7691.12	-3308.36	5395.85
84 	-40867.9   	-8148.04	-3308.36	4688.08
85 	-40617.3   	-6935.5 	-3308.36	4438.74
86 	-35698.2   	-6228.62	-3308.36	3799.33
87 	-44727.1   	-7597.54	-3308.36	5256.99
88 	-35191.9   	-7410.26	-3308.36	4321.8 
89 	-24717.9   	-7153.5 	-3308.36	4746.95
90 	-34416.2   	-8002.35	-3308.36	6406.21
91 	-35300.4   	-6001.56	-3308.36	2667.07
92 	-58524     	-7064.5 	-3308.36	6948.07
93 	-57287.4   	-6992.93	-3308.36	6422.19
94 	-55480.1   	-6712.6 	-3308.36	6023.8 
95 	-56814.7   	-7571.95	-3308.36	7473.02
96 	-35630.4   	-7573.51	-3308.36	3806.28
97 	-42369.2   	-8648.56	-3308.36	8249.68
98 	-55947.9   	-6620.38	-3308.36	4736.93
99 	-36102     	-6940   	-3308.36	3737.86
