gen	min     	avg     	max     	std    
0  	-100870 	-8338.01	-3720.62	9611.65
1  	-100870 	-8388.28	-3720.62	10705.9
2  	-80146.2	-7888.81	-3705.36	7261.05
3  	-80253.9	-8639.8 	-3705.36	9595.74
4  	-80081.2	-7597.02	-3705.36	5724.53
5  	-41369.2	-7371.92	-3660.8 	4536.91
6  	-41144.4	-7475.11	-3660.8 	4662.21
7  	-37925.8	-7738.7 	-3660.8 	5686.52
8  	-49476.7	-7794.72	-3660.8 	5941.96
9  	-35706.8	-7336.58	-3660.8 	5137.42
10 	-36031.2	-7764.97	-3660.8 	5875.22
11 	-35660.7	-7634.66	-3660.8 	5464.58
12 	-156985 	-10199  	-3660.8 	17181.7
13 	-151570 	-10853.6	-3660.8 	18415.3
14 	-150750 	-10573.2	-3660.8 	15660.3
15 	-152026 	-10664.6	-3457.12	14519.6
16 	-150385 	-10989.5	-3457.12	16859.3
17 	-150644 	-11578.4	-3457.12	19128.3
18 	-150383 	-9725.37	-3457.12	18737.1
19 	-151375 	-10632.3	-3457.12	21492.4
20 	-462795 	-12930.4	-3457.12	38140.2
21 	-461690 	-9477.2 	-3457.12	23756.5
22 	-461621 	-9541.48	-3457.12	24520.5
23 	-460644 	-9416.36	-3457.12	22854.6
24 	-150696 	-8349.49	-3457.12	10608.6
25 	-149205 	-7875.06	-3457.12	8304.18
26 	-38473.5	-7439.24	-3457.12	4785.41
27 	-35240.9	-6966.75	-3457.12	4608.24
28 	-35240.9	-6576.31	-3457.12	2394.32
29 	-29192.5	-6649.31	-3457.12	2641.15
30 	-28550.8	-7869.78	-3457.12	4695.79
31 	-34223.1	-8090.84	-3286.19	5307.94
32 	-27843.4	-6914.34	-3286.19	3312.44
33 	-26724.7	-6788.48	-3286.19	3371.51
34 	-26753.2	-6326.28	-3286.19	2776.47
35 	-26713.9	-6636.21	-3286.19	2301.2 
36 	-24964.9	-7402.17	-3286.19	2746.7 
37 	-28172  	-7761.05	-3286.19	3978.63
38 	-35292.5	-7962.08	-3286.19	4941.38
39 	-35292.5	-7090.54	-3286.19	3253.83
40 	-29021.7	-6845.46	-3286.19	3049.67
41 	-27202.3	-6925.87	-3286.19	3094.79
42 	-26666.6	-6380.93	-3286.19	2289.55
43 	-26577  	-6795.69	-3286.19	3446.23
44 	-34604.8	-8636.5 	-3286.19	7028.66
45 	-26224.3	-7203.95	-3286.19	3191.38
46 	-18467.6	-6416.29	-3286.19	2259.88
47 	-20089.4	-6269.17	-3286.19	2303.64
48 	-13135  	-5647.39	-3286.19	1539.14
49 	-104998 	-6132.02	-3286.19	7818.98
50 	-105402 	-6311.78	-3286.19	6865.99
51 	-29237.4	-6743.16	-3286.19	3818.79
52 	-32705.7	-7660.32	-3286.19	4431.52
53 	-27307.1	-7396.24	-3286.19	3489.49
54 	-27055.6	-6720.04	-3286.19	2660.01
55 	-22713.9	-7403.64	-3286.19	2930.1 
56 	-238356 	-12640.6	-3286.19	35055.2
57 	-241700 	-10859.3	-3286.19	32463.9
58 	-236442 	-10977.5	-3286.19	32199.8
59 	-235520 	-11069  	-3286.19	27250.6
60 	-235172 	-9954.64	-3286.19	22823.7
61 	-235172 	-8566.95	-3286.19	20465.1
62 	-235466 	-8757.33	-3286.19	22142.4
63 	-236899 	-9698.43	-3286.19	27920.9
64 	-235488 	-10232  	-3286.19	23989.5
65 	-235192 	-7061.93	-3286.19	10615.7
66 	-46437.6	-7355.13	-3286.19	3028.54
67 	-25121  	-9360.28	-3286.19	6191.66
68 	-19644.4	-5819.19	-3286.19	2303.64
69 	-11009.9	-5702.02	-3286.19	1353.31
70 	-14774.7	-6058.5 	-3286.19	1656.6 
71 	-33915.5	-6640.09	-3286.19	2990.76
72 	-35552.7	-6215.57	-3286.19	3149.15
73 	-22683.2	-6665.46	-3286.19	2642.43
74 	-19271.2	-5997.01	-3286.19	2362.04
75 	-17700.9	-6368.81	-3286.19	2532.4 
76 	-23347.9	-7124.87	-3286.19	2716.46
77 	-19577.7	-7311.42	-3286.19	3590.68
78 	-17885.1	-6710.97	-3286.19	2624.73
79 	-17247.7	-5911.86	-3286.19	1913.49
80 	-22542.3	-7181.31	-3286.19	3757.67
81 	-80609.7	-5841.93	-3286.19	5047.63
82 	-80267  	-6441.03	-3286.19	3822.08
83 	-18584.3	-6368.26	-3286.19	1824.52
84 	-17248.2	-5865.05	-3286.19	1399.16
85 	-30188.1	-6544.14	-3286.19	3744.65
86 	-30188.1	-6572.6 	-3286.19	3801.17
87 	-28512.8	-6561.39	-3286.19	3552.55
88 	-28512.8	-6831.79	-3286.19	3267.26
89 	-39962.6	-7369.78	-3286.19	3994.87
90 	-40301.4	-6291.35	-3286.19	3899.32
91 	-42681.1	-6009.03	-3286.19	3278.31
92 	-42481.9	-6554.04	-3286.19	4214.14
93 	-42094.2	-6455.12	-3286.19	4078.31
94 	-44521.2	-8652.37	-3286.19	5703.15
95 	-29906.9	-8018.14	-3286.19	5079   
96 	-27402.7	-6863.81	-3286.19	4302.7 
97 	-39790.4	-6965.76	-3286.19	5109.49
98 	-41222.6	-6485.84	-3286.19	3615.81
99 	-40571.7	-6454.3 	-3286.19	4731.21
