gen	min         	avg     	max     	std    
0  	-302960     	-8882.73	-3503.88	16382.9
1  	-125027     	-8088.11	-3503.88	10474.1
2  	-98311.7    	-8558.36	-3503.88	11192.6
3  	-98151.9    	-8904.04	-3503.88	12468.2
4  	-98204.2    	-9031.39	-3503.88	12898.2
5  	-97756.6    	-8510.82	-3503.88	11719.6
6  	-97021.1    	-8540.84	-3503.88	11491.4
7  	-78777.1    	-7733.21	-3503.88	8510.78
8  	-78763      	-8047.11	-3503.88	10078  
9  	-78158.6    	-6911.82	-3503.88	4795.73
10 	-35075.4    	-6479.53	-3503.88	2816.66
11 	-24612.4    	-6810.32	-3503.88	2840.47
12 	-20294.6    	-7077.71	-3503.88	2997.4 
13 	-20536.8    	-7080.36	-3503.88	3231.84
14 	-20036.1    	-6968.2 	-3503.88	2759.47
15 	-21186.9    	-7604.99	-3503.88	3538.07
16 	-39602.4    	-8238.02	-3503.88	5980.37
17 	-21577.4    	-7422.23	-3503.88	3633.9 
18 	-25898.9    	-7456.91	-3503.88	3802.2 
19 	-24453.1    	-6900.99	-3503.88	3002.36
20 	-17201.6    	-6373.37	-3503.88	2234.64
21 	-17247      	-6218.19	-3503.88	2174.33
22 	-30754.1    	-7535.81	-3503.88	4317.27
23 	-20720.5    	-7472.68	-3503.88	3238.81
24 	-46138      	-7251.65	-3503.88	6129.75
25 	-46097.7    	-7128.71	-3503.88	6486.18
26 	-46895.4    	-7184.45	-3503.88	6316.53
27 	-338854     	-9663.41	-3503.88	26397.4
28 	-46277.2    	-7193.18	-3503.88	5638.83
29 	-338838     	-7608.56	-3467.5 	15999.3
30 	-46503.5    	-6779.57	-3404.91	5456.76
31 	-82929.8    	-6624.04	-3404.91	5053.48
32 	-45458.2    	-6772.55	-3404.91	3214.45
33 	-45592.4    	-6550.73	-3404.91	3520.28
34 	-45126.3    	-6610.27	-3404.91	3512.33
35 	-68600.2    	-8510.34	-3404.91	10355.8
36 	-69589.8    	-8982.98	-3404.91	10216.3
37 	-64119.6    	-7741.2 	-3404.91	8442.87
38 	-63411.3    	-7584.35	-3404.91	7961.82
39 	-61156.9    	-7057.26	-3404.91	6512.43
40 	-61156.9    	-6593.78	-3322.28	6273.22
41 	-61862.9    	-7298.16	-3322.28	7550.93
42 	-60994.2    	-6472.82	-3322.28	5387.74
43 	-61011.4    	-6120.18	-3322.28	4932.93
44 	-60304.2    	-6200.94	-3322.28	3556.35
45 	-61190      	-6625.25	-3322.28	3693.68
46 	-15958.8    	-6508.25	-3322.28	2018.41
47 	-35094.5    	-8283.95	-3322.28	6347.03
48 	-23846.2    	-5948.25	-3322.28	2072.45
49 	-13857.2    	-5650.37	-3322.28	1643.3 
50 	-12419.5    	-5792.94	-3322.28	1686.6 
51 	-27379.5    	-6581.58	-3322.28	3046.49
52 	-19772.4    	-7276.69	-3322.28	3750.61
53 	-15600.4    	-6620.99	-3317.2 	2182.5 
54 	-16365      	-7073.95	-3317.2 	3043.22
55 	-22666.2    	-7079.56	-3317.2 	3757.05
56 	-14563.5    	-5812.46	-3317.2 	1709.9 
57 	-14927.2    	-6011.24	-3317.2 	1690.25
58 	-22443.8    	-6993.21	-3317.2 	2722.78
59 	-23458.5    	-7227.54	-3317.2 	3277.71
60 	-25509      	-8170.55	-3309.71	4548.26
61 	-35028.4    	-8675.92	-3309.71	5893.25
62 	-34188.8    	-7985.48	-3309.71	5364.74
63 	-32397.4    	-7526.01	-3309.71	5753.34
64 	-29782      	-6759.16	-3309.71	3101.01
65 	-60526.6    	-9657.74	-3309.71	10331.5
66 	-85636.3    	-11914.1	-3309.71	13182.6
67 	-81952.9    	-7437.47	-3309.71	6017.74
68 	-81765.1    	-6629.08	-3309.71	4871.15
69 	-22943.1    	-6472.68	-3309.71	2917.96
70 	-22638.8    	-5715.33	-3309.71	2471.05
71 	-21460.1    	-5553.99	-3309.71	2176.33
72 	-19983.8    	-5173.72	-3309.71	1676.73
73 	-20001.6    	-5797.88	-3309.71	2090.94
74 	-22514.2    	-5785.28	-3309.71	2280.95
75 	-27309.9    	-5814.94	-3309.71	3438.33
76 	-27188.1    	-6227.8 	-3309.71	3691.04
77 	-155495     	-6271.09	-3309.71	7252.54
78 	-28579.2    	-6128.98	-3309.71	2538.3 
79 	-14822      	-5652.25	-3285.96	1645.31
80 	-34876.6    	-10023.4	-3285.96	9206.57
81 	-34806.8    	-10559.4	-3285.96	9041.33
82 	-29914      	-7697.29	-3285.96	3696.68
83 	-56194.4    	-19216.7	-3285.96	20498  
84 	-52348.1    	-7871.88	-3285.96	7734.33
85 	-1.41903e+06	-9356.43	-3285.96	63217.6
86 	-81768.6    	-8286.89	-3285.96	10214.8
87 	-78388.1    	-6416.78	-3285.96	4531.12
88 	-78388.1    	-6207.71	-3285.96	4038.48
89 	-1.42308e+06	-17255.4	-3285.96	65482.3
90 	-1.41868e+06	-9657.52	-3285.96	63306.5
91 	-24624.5    	-6362.05	-3285.96	2275.97
92 	-29065.8    	-7907.99	-3285.96	3520.54
93 	-23927.7    	-6584.65	-3285.96	2434.23
94 	-24558.7    	-5785.05	-3285.96	2577.74
95 	-25183.1    	-6001.97	-3285.96	2673.19
96 	-25183.1    	-6042.1 	-3285.96	2908.47
97 	-31899.6    	-6943.22	-3285.96	4744.19
98 	-29903      	-7198.41	-3285.96	4528.3 
99 	-30370.3    	-7143.28	-3285.96	4392.73
