gen	min     	avg     	max     	std    
0  	-40695.3	-2150.77	-1688.83	1881.98
1  	-40604  	-2156.97	-1688.83	1871.46
2  	-4790.4 	-2059.83	-1688.83	403.913
3  	-4680.91	-2047.4 	-1685.15	385.526
4  	-4762.31	-2048.85	-1680.91	353.213
5  	-4227.24	-2044.16	-1680.91	349.845
6  	-4227.24	-2030.63	-1680.91	352.342
7  	-3816.36	-1998.84	-1680.91	302.973
8  	-3783.49	-1954.75	-1680.91	239.348
9  	-4100.65	-1953.2 	-1680.91	220.567
10 	-3214.33	-1965.78	-1680.91	247.842
11 	-3158.58	-1950.93	-1680.91	261.694
12 	-4444.34	-1962.75	-1680.91	293.948
13 	-15750.3	-2026.15	-1680.91	1104.3 
14 	-15750.3	-2027.99	-1680.91	1103.27
15 	-15753.5	-1944.85	-1680.06	901.075
16 	-3102.18	-1867.21	-1680.06	178.563
17 	-2888.45	-1853.26	-1678.95	160.647
18 	-3042.2 	-1859.26	-1678.95	183.445
19 	-3077.73	-1861.75	-1678.45	187.25 
20 	-3122.34	-1884.19	-1677.07	222.569
21 	-2966.9 	-1891.91	-1674.96	250.401
22 	-2910.96	-1880.74	-1673.03	218.297
23 	-2911.96	-1867.92	-1673.03	181.99 
24 	-3138.1 	-1856.76	-1673.03	219.832
25 	-2998.1 	-1858.79	-1673.03	215.734
26 	-2928.06	-1899.25	-1673.03	274.668
27 	-7848.36	-1882.09	-1673.03	501.275
28 	-2859.89	-1854.74	-1673.03	210.023
29 	-2719.66	-1831.84	-1673.03	124.674
30 	-2757.68	-1838.13	-1673.03	127.739
31 	-2575.24	-1836.54	-1673.03	120.672
32 	-3885.18	-1861.3 	-1673.03	214.268
33 	-3882.96	-1845.83	-1673.03	170.286
34 	-3871.96	-1846.14	-1673.03	154.519
35 	-2592.9 	-1842.62	-1673.03	125.799
36 	-3876.5 	-1852.42	-1673.03	175.47 
37 	-3893.01	-1843.69	-1673.03	187.812
38 	-3878.66	-1838.19	-1672.73	188.889
39 	-2418   	-1820.91	-1672.73	125.914
40 	-2399.66	-1840.31	-1672.73	146.981
41 	-3003.5 	-1844.27	-1672.73	162.368
42 	-3003.5 	-1860.53	-1672.73	215.267
43 	-2898.33	-1870.97	-1672.73	216.143
44 	-4937.96	-2023.78	-1672.73	757.361
45 	-4966.66	-2017.38	-1672.73	767.82 
46 	-4924.96	-1921.04	-1672.73	522.073
47 	-4950.49	-1994.73	-1671.73	617.791
48 	-5132.06	-1957.07	-1671.73	573.644
49 	-2408.96	-1864.84	-1671.73	103.42 
50 	-2038.96	-1825.31	-1671.73	99.3097
51 	-2169.79	-1836.99	-1671.73	111.803
52 	-2402.66	-1881.18	-1671.73	158.279
53 	-3676.96	-1870.58	-1671.73	282.472
54 	-3632.76	-1834.29	-1671.73	221.893
55 	-3624.96	-1822.77	-1671.73	174.779
56 	-2094.89	-1780.46	-1671.73	98.6662
57 	-2085.8 	-1808.18	-1671.73	95.6845
58 	-3858.49	-1875.81	-1671.39	393.285
59 	-3820.66	-1814.61	-1671.39	158.712
60 	-7678.01	-1912.25	-1671.39	790.592
61 	-2466.66	-1810.52	-1671.39	121.019
62 	-2465.66	-1817.05	-1671.39	125.679
63 	-2472.66	-1799.73	-1671.39	115.853
64 	-2457.06	-1825.55	-1671.39	114.8  
65 	-2462.88	-1825.24	-1671.39	112.254
66 	-5385.33	-1959.7 	-1671.39	714.183
67 	-11780.7	-2464   	-1671.39	1977.25
68 	-8375.25	-2001.01	-1671.39	917.206
69 	-5313.96	-1829.65	-1671.39	266.548
70 	-2558.1 	-1815.5 	-1671.39	147.272
71 	-2628.96	-1829.66	-1671.39	151.503
72 	-4761.49	-1924.51	-1671.39	318.534
73 	-20274.7	-2006.82	-1671.14	910.181
74 	-4227.96	-1878.6 	-1671.14	320.193
75 	-20250.7	-1884.13	-1671.14	1190.78
76 	-20298.8	-2074.43	-1671.14	2014.13
77 	-20252.4	-1904.37	-1671.14	879.428
78 	-3039.66	-1838.12	-1671.14	140.35 
79 	-2968.12	-1839.88	-1671.14	120.429
80 	-9905.66	-1883.96	-1671.14	537.713
81 	-4513.36	-1877.78	-1671.14	320.923
82 	-4499.96	-1851.6 	-1671.14	229.498
83 	-4517.1 	-1842.43	-1671.14	233.331
84 	-2260.34	-1807.12	-1671.14	105.772
85 	-4494.96	-1826.99	-1671.14	159.516
86 	-2954.8 	-1841.61	-1671.14	159.755
87 	-2272.51	-1838.59	-1671.14	126.764
88 	-3970.88	-1879.98	-1671.14	323.495
89 	-3971.1 	-1845.79	-1671.14	273.442
90 	-3928.66	-1852.23	-1671.14	279.551
91 	-3967.18	-1878.77	-1671.14	330.466
92 	-3924.66	-1842.29	-1671.14	270.856
93 	-4061.49	-1821.66	-1671.14	228.442
94 	-2790.46	-1817.33	-1671.14	173.705
95 	-2784.16	-1836.4 	-1671.14	156.995
96 	-2790.06	-1814.81	-1671.14	144.587
97 	-2784.36	-1793.46	-1671.14	132.096
98 	-2797.56	-1782.72	-1671.14	123.47 
99 	-2071.2 	-1788.09	-1671.14	93.9961
