gen	min         	avg     	max     	std    
0  	-30574.8    	-3372.24	-2375.13	2231.82
1  	-22007.7    	-3279.2 	-2370.57	1678.07
2  	-19883.2    	-3362.69	-2329.51	1996.87
3  	-14684      	-3213.44	-2329.51	1488.87
4  	-14684      	-3249.5 	-2329.51	1588.14
5  	-12618.6    	-3177.98	-2329.51	1373.41
6  	-12618.6    	-3140.51	-2325.4 	1289.57
7  	-13086.6    	-3214.65	-2314.45	1477.99
8  	-13397.5    	-3205.32	-2314.45	1524.95
9  	-17716      	-3287.04	-2314.45	1946.33
10 	-17668.9    	-3432.47	-2314.45	2451.67
11 	-17643.9    	-3397.8 	-2314.45	2275.56
12 	-16061.2    	-3215.14	-2303.69	1790.34
13 	-17636.3    	-3294.16	-2303.69	1923.44
14 	-16064.1    	-3180.51	-2303.69	1750.95
15 	-16019.6    	-3008.22	-2303.69	1193.85
16 	-12390.2    	-3024.99	-2303.69	1262.94
17 	-11663.3    	-3032.18	-2296.43	1348.99
18 	-11663.3    	-2879.67	-2289.17	1124.63
19 	-11663.3    	-2912.72	-2289.17	1139.37
20 	-11310.8    	-2783.5 	-2289.17	763.557
21 	-6619.44    	-2809.4 	-2274.67	668.43 
22 	-6467.94    	-2787.16	-2274.67	652.901
23 	-6308.27    	-2738.58	-2268.75	636.258
24 	-6324.51    	-2738.98	-2268.75	625.446
25 	-5843.95    	-2695.36	-2268.75	564.856
26 	-5223.8     	-2656.21	-2268.75	514.318
27 	-5227.73    	-2628.4 	-2268.75	476.088
28 	-8.29608e+06	-35847.1	-2268.75	523471 
29 	-8.29606e+06	-19229.1	-2268.75	370523 
30 	-7147.81    	-2608.59	-2268.75	599.146
31 	-12493.1    	-2700.49	-2261.89	975.647
32 	-12413.9    	-2743.64	-2261.89	956.32 
33 	-12274.9    	-2712.63	-2261.89	734.604
34 	-12525.3    	-2815.56	-2261.89	1142.26
35 	-12494.7    	-2798.02	-2261.89	1179.52
36 	-8576.74    	-2668.85	-2261.89	773.691
37 	-8224.27    	-2645.4 	-2261.89	551.822
38 	-6606.07    	-2617.28	-2261.89	525.778
39 	-6433.36    	-2657.9 	-2261.77	582.61 
40 	-6475.13    	-2592.88	-2261.77	438.468
41 	-6407.21    	-2616.03	-2257.22	521.533
42 	-4951.63    	-2510.42	-2253.3 	344.741
43 	-4951.63    	-2585.01	-2251.66	395.858
44 	-10897.4    	-3534.83	-2251.66	2440   
45 	-9815.4     	-2699.47	-2251.66	755.343
46 	-8097.57    	-2590.48	-2251.66	542.18 
47 	-5628.32    	-2632.57	-2251.66	615.183
48 	-8010.86    	-2568.02	-2251.66	476.957
49 	-11724.3    	-3206.29	-2251.66	1540.54
50 	-8970.92    	-3248.78	-2251.66	1598.14
51 	-7919.39    	-2657.19	-2251.66	764.926
52 	-6767.72    	-2530.95	-2251.66	336.392
53 	-12102.1    	-2696.25	-2251.66	1167.54
54 	-12315.4    	-2710.75	-2251.66	1222.53
55 	-12250      	-2663.5 	-2245.61	1068.22
56 	-12205.7    	-2721.96	-2245.61	1250.99
57 	-12197      	-2687.17	-2245.61	1086.46
58 	-12032.1    	-2620.09	-2245.61	823.362
59 	-11912.7    	-2729.57	-2245.61	925.452
60 	-11790.9    	-2580.81	-2245.61	783.441
61 	-11678.5    	-2725.16	-2245.61	846.188
62 	-11732.2    	-2720.02	-2245.61	836.066
63 	-12035.4    	-2710.83	-2245.61	855.4  
64 	-11710      	-2706.5 	-2245.61	844.51 
65 	-7020.17    	-2523.82	-2238.78	473.713
66 	-10364      	-3159.79	-2238.78	1896.71
67 	-10108.9    	-3287.87	-2238.78	2092.91
68 	-10008.5    	-3202.17	-2238.78	1990.56
69 	-9962.83    	-2663.22	-2238.78	838.372
70 	-7733.06    	-2532.77	-2238.78	522.468
71 	-5058.75    	-2695.32	-2238.78	547.916
72 	-4192.37    	-2496.8 	-2238.78	251.87 
73 	-3598.87    	-2443.77	-2238.78	177.221
74 	-3445.3     	-2435.5 	-2238.78	156.722
75 	-3376.57    	-2492.57	-2238.78	166.865
76 	-3611.22    	-2530.71	-2238.78	196.859
77 	-3900.16    	-2540.79	-2238.78	311.809
78 	-3810.37    	-2506.69	-2238.78	285.648
79 	-3549.69    	-2455.72	-2238.78	171.708
80 	-3568.34    	-2454.47	-2238.78	166.165
81 	-3356.98    	-2484.47	-2238.78	156.474
82 	-3730.43    	-2475.01	-2238.78	236.429
83 	-3550.37    	-2469.07	-2238.78	191.266
84 	-3480.26    	-2456.15	-2238.78	176.633
85 	-3961.62    	-2660.16	-2238.78	303.893
86 	-3975.22    	-2584.45	-2238.78	274.174
87 	-4199.74    	-2522.08	-2238.78	233.676
88 	-10251.7    	-2667.27	-2238.78	888.627
89 	-10573.6    	-2679.64	-2238.78	1027.24
90 	-9766.17    	-2589.5 	-2238.78	889.19 
91 	-9648.83    	-2567.11	-2238.78	839.076
92 	-4953.98    	-2582.47	-2238.78	420.089
93 	-4800.66    	-2567.58	-2238.78	431.806
94 	-4753.58    	-2494.36	-2238.78	294.528
95 	-8241.03    	-2801.98	-2238.78	865.108
96 	-12725.4    	-2964.11	-2238.78	1992.1 
97 	-12184.2    	-2682.37	-2238.78	1370.36
98 	-4736.65    	-2505.73	-2238.78	263.392
99 	-4903.53    	-2523.74	-2238.78	270.232
