gen	min     	avg     	max     	std    
0  	-62666.3	-3478.4 	-2342.59	4021.61
1  	-62666.3	-3569.91	-2342.59	4800.74
2  	-62666.3	-3536.87	-2321.83	4778.21
3  	-15603.9	-3120.21	-2321.83	1227.31
4  	-15603.9	-3084.3 	-2317.48	1139.74
5  	-11942.5	-3122.12	-2317.48	1167.92
6  	-11823.3	-3096.67	-2317.48	1040.88
7  	-11803.9	-3201.93	-2317.48	1300.67
8  	-11719  	-3147.89	-2317.48	1183.94
9  	-11589.4	-3083.58	-2317.48	1009.58
10 	-11572.7	-3124.52	-2317.48	1144.71
11 	-11570.7	-3145.08	-2317.48	1043.78
12 	-10986.6	-3122.58	-2313.33	953.105
13 	-9432.77	-3008.11	-2297.31	799.943
14 	-7768.86	-2928.4 	-2297.31	763.809
15 	-7327.62	-2804.9 	-2297.31	618.793
16 	-6960.71	-2777.27	-2297.31	554.332
17 	-16063.6	-3286.97	-2285.07	2625.12
18 	-16040.8	-3204.24	-2285.07	2437.47
19 	-15952.5	-2849.89	-2285.07	1275.66
20 	-7040.79	-2882.4 	-2285.07	887.362
21 	-7382.6 	-2911.89	-2285.07	973.065
22 	-7382.6 	-2952.17	-2285.07	1031.48
23 	-7350.45	-2912.56	-2285.07	992.204
24 	-6738.2 	-2705.86	-2285.07	562.108
25 	-5637.96	-2600.3 	-2285.07	359.337
26 	-6874.85	-2701.36	-2285.07	729.977
27 	-4853.2 	-2588.72	-2285.07	326.003
28 	-4718.22	-2580.66	-2285.07	319.904
29 	-4457.23	-2646.15	-2285.07	352.725
30 	-10348.2	-2662.64	-2285.07	493.907
31 	-10384.8	-2702.3 	-2285.07	518.226
32 	-10380.4	-2829.56	-2285.07	900.059
33 	-10317.1	-2856.73	-2285.07	984.66 
34 	-7217.1 	-2780.47	-2276.47	872.318
35 	-10535.4	-2783.64	-2274.1 	898.833
36 	-7238.6 	-2756.2 	-2274.1 	749.102
37 	-7383.67	-2733.21	-2274.1 	626.614
38 	-7134.47	-2735.87	-2274.1 	631.329
39 	-7128.14	-2687.22	-2274.1 	598.673
40 	-7033.18	-2680.28	-2245.88	618.722
41 	-6993.26	-2691.78	-2245.88	574.987
42 	-4686.3 	-2616.8 	-2245.88	352.72 
43 	-40286.6	-3077.97	-2245.88	2965.38
44 	-40217.2	-2979.41	-2245.88	3000.57
45 	-40137.1	-2898.48	-2245.88	2517.76
46 	-40332.4	-2773.54	-2245.88	1829   
47 	-7392.59	-2762.25	-2245.88	700.741
48 	-5330.47	-2674.15	-2245.88	481.13 
49 	-4355.26	-2581.93	-2245.88	317.472
50 	-3949.15	-2559.5 	-2245.88	251.342
51 	-4833.8 	-2628.5 	-2245.88	412.372
52 	-7257.79	-2700.08	-2245.88	645.233
53 	-4632.8 	-2629.19	-2245.88	410.162
54 	-4316.53	-2619.49	-2245.88	355.842
55 	-4545.7 	-2605.38	-2245.88	350.304
56 	-4257.79	-2571.95	-2245.88	331.257
57 	-4256.88	-2612.53	-2245.88	402.255
58 	-25570.5	-3782.14	-2245.88	4552.55
59 	-5285.74	-2624.39	-2245.88	424.239
60 	-6623.28	-2637.2 	-2245.88	741.835
61 	-6466.92	-2528.54	-2245.88	292.391
62 	-3601.36	-2494.39	-2245.88	170.398
63 	-4469.57	-2496.57	-2245.88	208.464
64 	-4795.36	-2663.85	-2245.88	485.284
65 	-4511.23	-2529.32	-2245.88	263.605
66 	-4863.64	-2538.65	-2245.88	248.727
67 	-4963.78	-2671.09	-2245.88	490.639
68 	-5585.45	-2842.62	-2245.88	696.191
69 	-5757.46	-2718.39	-2245.88	599.078
70 	-5073.78	-2593.14	-2245.88	302.646
71 	-3399.17	-2533.67	-2245.88	167.863
72 	-3444.52	-2508.99	-2245.88	157.171
73 	-3246.13	-2456.65	-2244.52	143.86 
74 	-5213.89	-2590.98	-2244.52	492.995
75 	-6308.3 	-2752.28	-2244.52	741.665
76 	-5280.96	-2612.36	-2244.52	574.537
77 	-4862.64	-2514.09	-2244.52	240.9  
78 	-45164  	-3483.88	-2244.52	6246.97
79 	-3104.84	-2473.2 	-2244.52	178.72 
80 	-6103.29	-3105.21	-2244.52	1210.26
81 	-14239.3	-2743.69	-2244.52	1626.3 
82 	-14172.8	-2527.66	-2244.52	594.623
83 	-4370.69	-2529.11	-2244.52	275.722
84 	-4401.53	-2541.4 	-2244.52	344.552
85 	-5547.39	-2572.57	-2244.52	462.565
86 	-5538.91	-2604.7 	-2244.52	433.557
87 	-4653.97	-2551.48	-2244.52	325.971
88 	-4472.48	-2594.92	-2244.52	331.045
89 	-4754.91	-2671.37	-2244.52	361.951
90 	-3980.5 	-2534.13	-2244.52	273.39 
91 	-5471.12	-2669.49	-2244.52	556.387
92 	-8733.56	-2605.76	-2244.52	425.302
93 	-8520.44	-2645.1 	-2244.52	566.416
94 	-8500.81	-2639.65	-2244.52	590.608
95 	-8426.17	-2532.25	-2244.52	516.791
96 	-8401.47	-2781.5 	-2244.52	766.649
97 	-6455.4 	-2607.65	-2244.52	597.508
98 	-5978.63	-2668.26	-2244.52	713.866
99 	-7058.31	-2686.99	-2244.52	741.394
