gen	min         	avg     	max     	std        
0  	-39666.3    	-3212.11	-1665.75	2199.07    
1  	-19041.1    	-3139.53	-1665.75	1371.06    
2  	-13096.6    	-3139.1 	-1559.05	1335.04    
3  	-6618.34    	-3038.02	-1559.05	738.866    
4  	-8350.32    	-3026.86	-1559.05	789.12     
5  	-7267.56    	-3012.82	-1559.05	713.139    
6  	-6618.94    	-3029.15	-1559.05	638.269    
7  	-9584.36    	-3056.65	-1559.05	740.561    
8  	-8150.2     	-3028.01	-1559.05	645.479    
9  	-8158.31    	-3028.78	-1559.05	617.562    
10 	-8136.04    	-3037.26	-1559.05	598.762    
11 	-5833.2     	-3031.58	-1559.05	550.062    
12 	-5745.38    	-3027.61	-1559.05	540.703    
13 	-7736.12    	-3085.84	-1559.05	627.078    
14 	-7468.57    	-3110.65	-1559.05	593.873    
15 	-7459.07    	-3046.69	-1559.05	542.632    
16 	-7380.36    	-3071.67	-1559.05	562.091    
17 	-5645.93    	-3054.69	-1559.05	492.468    
18 	-5278.83    	-3057.68	-1559.05	462.839    
19 	-5666.54    	-3151.92	-1559.05	559.274    
20 	-7839.34    	-3164.24	-1559.05	611.785    
21 	-5430.67    	-3061.39	-1559.05	457.11     
22 	-1.38664e+06	-99902.6	-1559.05	352741     
23 	-1.38664e+06	-91732.7	-1559.05	338348     
24 	-4.1512e+06 	-260428 	-1559.05	988564     
25 	-4.15018e+06	-20403.2	-1559.05	261736     
26 	-4.1501e+06 	-12130.6	-1559.05	185278     
27 	-2.78897e+06	-197359 	-1559.05	705590     
28 	-2.77028e+06	-263242 	-1559.05	806822     
29 	-6.91566e+06	-592074 	-1559.05	1.90576e+06
30 	-6.91572e+06	-749663 	-1559.05	2.14531e+06
31 	-6.91569e+06	-735868 	-1559.05	2.12774e+06
32 	-6.91549e+06	-597614 	-1559.05	1.93783e+06
33 	-6.9151e+06 	-44688.1	-1559.05	533781     
34 	-6302.21    	-3273.82	-1559.05	639.694    
35 	-35681.2    	-4752   	-1559.05	6450.08    
36 	-35646      	-3582.9 	-1559.05	3608.23    
37 	-35605.1    	-3310.64	-1559.05	2529.12    
38 	-35692.9    	-3388.09	-1559.05	2547.04    
39 	-4983.68    	-3162.32	-1559.05	418.375    
40 	-5418.58    	-3156.14	-1559.05	396.903    
41 	-8225.54    	-3343.51	-1559.05	781.185    
42 	-8018.87    	-3343.65	-1559.05	620.275    
43 	-5808.58    	-3231.1 	-1559.05	425.928    
44 	-5409.92    	-3183.77	-1559.05	356.026    
45 	-11191.9    	-3506.47	-1559.05	1491.38    
46 	-11222.3    	-3606.68	-1559.05	1555.27    
47 	-10491.8    	-3404.34	-1559.05	825.042    
48 	-6364.78    	-3400.77	-1559.05	770.599    
49 	-10663.4    	-3325.69	-1559.05	848.451    
50 	-11493.3    	-3392.38	-1559.05	1135.41    
51 	-151020     	-7343.64	-1559.05	23483.7    
52 	-151314     	-7649.19	-1559.05	24337.2    
53 	-6715.68    	-3133.42	-1559.05	432.207    
54 	-5976.13    	-3096.34	-1559.05	364.988    
55 	-4790.97    	-3133.05	-1559.05	401.266    
56 	-4991.75    	-3174.14	-1559.05	458.26     
57 	-4950.5     	-3129.8 	-1559.05	394.717    
58 	-6247.76    	-3218.77	-1559.05	462.836    
59 	-6151.17    	-3239   	-1559.05	447.28     
60 	-4438.43    	-3057.19	-1559.05	329.471    
61 	-5620.41    	-3109.5 	-1559.05	428.066    
62 	-5680.49    	-3137.9 	-1559.05	497.169    
63 	-5680.49    	-3129.35	-1559.05	333.511    
64 	-7337.41    	-3382.48	-1559.05	908.457    
65 	-16209.2    	-4291.88	-1559.05	3504.18    
66 	-16209.2    	-4131.28	-1559.05	3297.3     
67 	-15896.3    	-4194.41	-1559.05	3323.77    
68 	-15449.8    	-3258.15	-1559.05	939.637    
69 	-8215.34    	-3171.25	-1559.05	441.085    
70 	-4166.93    	-3205.89	-1559.05	294.061    
71 	-4325.27    	-3189.92	-1559.05	295.122    
72 	-4923.22    	-3191.68	-1559.05	379.567    
73 	-5314.18    	-3188.23	-1559.05	388.598    
74 	-5233.62    	-3201.55	-1559.05	383.787    
75 	-4743.77    	-3241.32	-1559.05	349.576    
76 	-4803.33    	-3208.24	-1559.05	376.388    
77 	-4482.45    	-3132.48	-1559.05	320.288    
78 	-5151.21    	-3159.3 	-1559.05	379.131    
79 	-4699.29    	-3155.98	-1559.05	286.97     
80 	-4682.39    	-3180.75	-1559.05	307.183    
81 	-38067.3    	-5366.17	-1559.05	8636.97    
82 	-37790.6    	-3334.12	-1559.05	2229.55    
83 	-7321.44    	-3317.65	-1559.05	545.588    
84 	-5123.72    	-3285.17	-1559.05	432.575    
85 	-14188      	-3218.56	-1559.05	603.941    
86 	-5164.81    	-3198.92	-1559.05	351.9      
87 	-4735.59    	-3145.73	-1559.05	341.352    
88 	-5056.41    	-3228.54	-1559.05	351.758    
89 	-46198.2    	-3355.65	-1559.05	2740.31    
90 	-46184.8    	-3258.51	-1559.05	2732.65    
91 	-4728.23    	-3097.33	-1559.05	278.013    
92 	-4728.23    	-3141.53	-1559.05	252.545    
93 	-4114.69    	-3124.06	-1559.05	251.124    
94 	-12909.4    	-3153.03	-1559.05	517.714    
95 	-4735.42    	-3095.01	-1559.05	256.323    
96 	-12643.4    	-3950.99	-1559.05	2567.82    
97 	-12584.8    	-4064.77	-1559.05	2689.26    
98 	-12178.8    	-3228.48	-1559.05	841.762    
99 	-7192.35    	-3401.85	-1559.05	905.401    
