gen	min     	avg     	max    	std    
0  	-113981 	-3303.96	-1596.2	5124.25
1  	-21548.1	-3042.51	-1596.2	1119.85
2  	-8233.99	-3030.25	-1596.2	774.658
3  	-7290.85	-3024.65	-1596.2	721.056
4  	-7569.09	-3019.33	-1596.2	713.799
5  	-7303.79	-3007.35	-1596.2	715.071
6  	-7027.21	-3006.01	-1596.2	674.146
7  	-7541.32	-2981.53	-1596.2	667.832
8  	-6054.2 	-2965.15	-1596.2	626.057
9  	-39718.1	-3028.6 	-1596.2	1743.29
10 	-7498.59	-2968.6 	-1596.2	665.305
11 	-5395.77	-2931.45	-1596.2	587.377
12 	-5184.61	-2952.72	-1596.2	599.841
13 	-5418.3 	-3014.54	-1596.2	594.133
14 	-54663.2	-3624.17	-1579.6	5263.71
15 	-54426.8	-3565.92	-1579.6	4319.12
16 	-54391.3	-4449.12	-1579.6	6567.73
17 	-37719.6	-4133.54	-1579.6	5344.19
18 	-37257.9	-3809.14	-1579.6	4149.37
19 	-37334.3	-3928.18	-1579.6	4241.76
20 	-37248.2	-3708.06	-1579.6	4018.04
21 	-37248.2	-3575.09	-1579.6	3892.02
22 	-37172.8	-3472.96	-1579.6	3278.03
23 	-37160.8	-3338.6 	-1579.6	2409.64
24 	-8263.01	-3212.57	-1579.6	977.245
25 	-8175.83	-3240.89	-1579.6	916.094
26 	-8287.06	-3248.91	-1579.6	872.349
27 	-8147.56	-3179.16	-1579.6	709.347
28 	-8159.58	-3134.21	-1579.6	663.34 
29 	-8198.17	-3171.2 	-1579.6	786.222
30 	-7363.19	-3118.23	-1579.6	632.383
31 	-5932.71	-3170.68	-1579.6	549.278
32 	-5635.07	-3133.71	-1579.6	484.212
33 	-6274.68	-3235.4 	-1579.6	566.83 
34 	-6678.5 	-3347.49	-1579.6	788.274
35 	-6410.82	-3408.56	-1579.6	714.12 
36 	-6705.43	-3567.45	-1579.6	782.256
37 	-9421.81	-3575.79	-1579.6	1004.56
38 	-20672  	-3724.11	-1579.6	1695.3 
39 	-14901.2	-3613.85	-1579.6	1568.98
40 	-9346.21	-3446.06	-1579.6	949.478
41 	-9133.3 	-3436.81	-1579.6	791.66 
42 	-9447.04	-3412.82	-1579.6	797.567
43 	-9441.5 	-3323.82	-1579.6	877.359
44 	-10328.9	-3329.78	-1579.6	808.057
45 	-8368.52	-3227.72	-1579.6	504.188
46 	-32636.3	-3677.82	-1579.6	3686.05
47 	-32648.1	-3848.62	-1579.6	4496.95
48 	-33006.7	-3839.31	-1579.6	4320.43
49 	-4858.18	-3198.22	-1579.6	409.716
50 	-4858.18	-3155.71	-1579.6	375.908
51 	-8792.98	-3213.94	-1579.6	521.076
52 	-11053.9	-3334.82	-1579.6	855.705
53 	-8554.12	-3239.19	-1579.6	526.956
54 	-7937.97	-3337.98	-1579.6	646.075
55 	-6311.02	-3263.79	-1579.6	486.962
56 	-5438.47	-3394.84	-1579.6	580.595
57 	-9758.24	-3610.79	-1579.6	1193.39
58 	-8350.18	-3566.07	-1579.6	1243.2 
59 	-8375.82	-3462.98	-1579.6	1182.62
60 	-7812.56	-3308.99	-1579.6	958.526
61 	-8041.7 	-3373.77	-1579.6	976.925
62 	-8735.83	-3362.08	-1579.6	918.638
63 	-8235.1 	-3382.63	-1579.6	905.578
64 	-25981.1	-3641.1 	-1579.6	2897.41
65 	-5823.15	-3262.19	-1579.6	431.214
66 	-6589.11	-3754.72	-1579.6	1100.95
67 	-5733.26	-3179.09	-1579.6	366.479
68 	-5745.52	-3368.98	-1579.6	552.577
69 	-4810   	-3186.76	-1579.6	342.242
70 	-4352.69	-3187.03	-1579.6	318.74 
71 	-4672.11	-3241.39	-1579.6	365.779
72 	-4978.6 	-3348.79	-1579.6	470.788
73 	-4893.54	-3382.23	-1579.6	505.139
74 	-9688.9 	-3430.53	-1579.6	798.301
75 	-9728.16	-3370.11	-1579.6	872.797
76 	-8637.84	-4276.06	-1579.6	1807.71
77 	-8289.03	-3356.42	-1579.6	756.771
78 	-5885.17	-3350.77	-1579.6	528.17 
79 	-4604.67	-3191.74	-1579.6	286.447
80 	-12283  	-3601.79	-1579.6	1918.85
81 	-4123.07	-3179.05	-1579.6	277.401
82 	-4312.5 	-3211.56	-1579.6	301.497
83 	-9558.85	-3212.6 	-1579.6	653.171
84 	-9372.15	-3181.94	-1579.6	691.308
85 	-9354.72	-3205.64	-1579.6	698.042
86 	-9628.04	-3237.44	-1579.6	550.639
87 	-5329.08	-3264.67	-1579.6	494.496
88 	-16915.9	-4537.56	-1579.6	4034.28
89 	-16561.4	-3301.3 	-1579.6	1490.9 
90 	-5854.68	-3198.1 	-1579.6	380.694
91 	-6876.83	-3331.87	-1579.6	706.014
92 	-4506.91	-3223.8 	-1579.6	285.768
93 	-4563.06	-3214.96	-1579.6	261.179
94 	-5042.66	-3336.42	-1579.6	351.062
95 	-8206.24	-3554.91	-1579.6	1284.41
96 	-7655.53	-3238.24	-1579.6	431.916
97 	-4869.01	-3249.45	-1579.6	295.324
98 	-4682.99	-3166.66	-1579.6	328.594
99 	-4701.68	-3107.84	-1579.6	313.069
