gen	min         	avg     	max     	std    
0  	-12685.8    	-3051.5 	-1489.03	964.96 
1  	-12680.4    	-3048.16	-1489.03	936.49 
2  	-9162.97    	-3011.56	-1489.03	836.285
3  	-7267.19    	-2947.72	-1489.03	668.103
4  	-5465.99    	-2933.51	-1489.03	575.853
5  	-5365.96    	-2959.22	-1489.03	589.184
6  	-5366.84    	-2981.91	-1489.03	595.034
7  	-5493.29    	-2987.17	-1489.03	571.002
8  	-5312.32    	-2987.18	-1489.03	578.608
9  	-5421.57    	-2966.85	-1489.03	542.096
10 	-5421.96    	-2990.2 	-1489.03	564.003
11 	-4670.44    	-2979.53	-1489.03	550.03 
12 	-6769.79    	-3018.36	-1489.03	590.004
13 	-6870.32    	-3106.63	-1489.03	609.145
14 	-5280.54    	-3113.02	-1489.03	601.666
15 	-5557.5     	-3096.28	-1489.03	524.007
16 	-4565.51    	-3027.55	-1489.03	461.85 
17 	-4579.56    	-3019.32	-1489.03	448.244
18 	-4517.37    	-3039.32	-1489.03	401.667
19 	-4757.75    	-3072.48	-1489.03	411.504
20 	-4559.62    	-3085.43	-1489.03	424.086
21 	-5056.11    	-3129   	-1489.03	465.512
22 	-4513.32    	-3132.17	-1489.03	422.736
23 	-4363.9     	-3135.11	-1489.03	409.55 
24 	-6329.41    	-3423.5 	-1489.03	831.119
25 	-5593.52    	-3359.5 	-1489.03	701.899
26 	-5071.99    	-3119.78	-1489.03	415.044
27 	-4403.17    	-3101.02	-1489.03	372.321
28 	-5508.16    	-3237.28	-1489.03	565.216
29 	-4653.2     	-3103.41	-1489.03	367.261
30 	-1.06444e+06	-15991.5	-1489.03	115540 
31 	-1.06442e+06	-22242.4	-1489.03	141088 
32 	-1.0646e+06 	-26483.9	-1489.03	155664 
33 	-1.06448e+06	-20109.3	-1489.03	133159 
34 	-4261.02    	-3094.82	-1489.03	318.407
35 	-4140.87    	-3063.41	-1489.03	299.801
36 	-4698.24    	-3111.82	-1489.03	413.94 
37 	-4474.39    	-3043.23	-1489.03	302.849
38 	-4305.83    	-3032.98	-1489.03	296.376
39 	-4328.56    	-3131.3 	-1489.03	325.173
40 	-1.06458e+06	-24494.9	-1489.03	148563 
41 	-1.06456e+06	-18097.5	-1489.03	124669 
42 	-1.06438e+06	-13932  	-1489.03	105557 
43 	-1.06439e+06	-16009.8	-1489.03	115522 
44 	-3.18783e+06	-60557.9	-1489.03	423356 
45 	-3.18777e+06	-48226.2	-1489.03	374099 
46 	-22491.6    	-3257.27	-1489.03	1288.87
47 	-22544.7    	-3340.8 	-1489.03	1549.97
48 	-22499      	-3363.04	-1489.03	1552.53
49 	-4891.66    	-3164.82	-1489.03	322.193
50 	-5798.39    	-3251.52	-1489.03	531.754
51 	-5720.75    	-3160.55	-1489.03	404.51 
52 	-5692.91    	-3200.94	-1489.03	545.699
53 	-6115.01    	-3290.36	-1489.03	560.572
54 	-6085.27    	-3369.4 	-1489.03	666.538
55 	-5852.99    	-3206.52	-1489.03	440.846
56 	-6998.88    	-3159.19	-1489.03	473.83 
57 	-6670.93    	-3135.56	-1489.03	431.273
58 	-12528.6    	-3240.13	-1489.03	1020.03
59 	-13030.8    	-3194.28	-1489.03	932.358
60 	-35334.1    	-5356.7 	-1489.03	8107.88
61 	-35192.6    	-4542.42	-1489.03	6602.78
62 	-34821.9    	-5024.53	-1489.03	7231.63
63 	-35831.1    	-4842.24	-1489.03	6616.26
64 	-35218      	-4533.79	-1489.03	6033.82
65 	-35467.4    	-4354.35	-1489.03	5922.41
66 	-34958.8    	-4164.63	-1489.03	5411.39
67 	-14166.6    	-3448.02	-1489.03	1153.28
68 	-58464.3    	-4588.05	-1489.03	7308.56
69 	-57842.8    	-3997.48	-1489.03	6410.69
70 	-57671.8    	-4230.24	-1489.03	7254.58
71 	-5490.42    	-3098.77	-1489.03	319.107
72 	-4637.03    	-3114.53	-1489.03	327.058
73 	-4905.31    	-3244.71	-1489.03	399.865
74 	-7199.19    	-3618.88	-1489.03	1047.84
75 	-6772.96    	-3399.52	-1489.03	793.788
76 	-6540.83    	-3311.84	-1489.03	679.174
77 	-5936.36    	-3203.96	-1489.03	513.595
78 	-5780.61    	-3192.45	-1489.03	462.728
79 	-6050.5     	-3253.13	-1489.03	515.794
80 	-6081.08    	-3245.91	-1489.03	548.655
81 	-7636.43    	-4157.1 	-1489.03	1459.56
82 	-6806.3     	-3359.39	-1489.03	692.862
83 	-4741.23    	-3242.86	-1489.03	406.952
84 	-4726.89    	-3180.72	-1489.03	279.987
85 	-5099.27    	-3239.02	-1489.03	324.795
86 	-6727.44    	-3476.87	-1489.03	749.543
87 	-5937.62    	-3346.54	-1489.03	484.226
88 	-4941.62    	-3260.18	-1489.03	363.109
89 	-6278.37    	-3253.96	-1489.03	418.394
90 	-6460.1     	-3240.64	-1489.03	438.25 
91 	-6317.82    	-3241.43	-1489.03	463.902
92 	-4876.46    	-3282.7 	-1489.03	364.853
93 	-9988.14    	-3419.76	-1489.03	1016.32
94 	-15563.2    	-3586.07	-1489.03	1656.2 
95 	-9948.99    	-3321.31	-1489.03	470.27 
96 	-4415.56    	-3291.83	-1489.03	291.931
97 	-4382.36    	-3268.03	-1489.03	304.516
98 	-5936.55    	-3478.69	-1489.03	587.863
99 	-5509.12    	-3394.84	-1489.03	510.108
