gen	min     	avg     	max     	std    
0  	-160265 	-3764.48	-1692.39	8103.6 
1  	-160265 	-3795.74	-1692.39	8027.02
2  	-36369.7	-3455.33	-1692.39	3171.52
3  	-23577.5	-3292.4 	-1692.39	2512.16
4  	-22366.9	-3161.24	-1692.39	2050.43
5  	-21758.2	-3099.59	-1692.39	2001.14
6  	-21674.3	-3160.4 	-1692.39	1857.34
7  	-296055 	-4959.86	-1692.39	22690.3
8  	-12155.5	-3054.92	-1593.13	1206.8 
9  	-8885.91	-3068.08	-1593.13	1139.61
10 	-8666.48	-2931.4 	-1593.13	940.294
11 	-8052.48	-2923.34	-1593.13	828.855
12 	-8085.46	-2839.51	-1593.13	790.676
13 	-14120.5	-2843.12	-1593.13	971.977
14 	-14112.9	-3040.32	-1593.13	1731.42
15 	-14070  	-3055.01	-1593.13	1810.88
16 	-6077.6 	-2740.69	-1581.81	690.2  
17 	-6417.82	-2823.9 	-1581.81	870.156
18 	-6305.03	-2972.63	-1581.81	810.724
19 	-8537.78	-3033.87	-1581.81	885.598
20 	-6080.82	-2912.7 	-1581.81	784.864
21 	-17601.7	-2919.81	-1581.81	1293.31
22 	-15553  	-3045.2 	-1581.81	1471.53
23 	-16329.6	-3315.84	-1548.24	2075.73
24 	-16378.1	-3101.82	-1548.24	1368.84
25 	-7538.52	-2907.09	-1548.24	896.723
26 	-13207.9	-2721.68	-1548.24	952.555
27 	-10122.6	-2599.1 	-1527.16	909.042
28 	-9299.9 	-2656.2 	-1527.16	977.951
29 	-9464.9 	-2857.65	-1527.16	929.103
30 	-9385.45	-2650.55	-1527.16	920.241
31 	-172524 	-17632  	-1527.16	46985.1
32 	-18279.2	-2980.51	-1527.16	2022.97
33 	-18787.5	-3269.73	-1527.16	2504.49
34 	-9369.9 	-3022.55	-1527.16	1410.46
35 	-16904.9	-3021.18	-1527.16	1669.76
36 	-25902.7	-3893.58	-1527.16	3939.01
37 	-363018 	-21903.6	-1527.16	79302.7
38 	-362949 	-17357.2	-1527.16	69985  
39 	-361448 	-16472.1	-1527.16	68317.5
40 	-361448 	-14918.2	-1496.85	64845.6
41 	-43381.3	-2915.64	-1496.85	2226.32
42 	-14026.9	-3260.6 	-1496.85	2016.07
43 	-16254.6	-3973.42	-1496.85	3370.69
44 	-15783.5	-3472.62	-1496.85	3155.4 
45 	-14702.1	-3563.78	-1496.85	2968.85
46 	-29605.2	-4958.43	-1496.85	6377.89
47 	-29381.4	-4944.98	-1496.85	6606.61
48 	-32950.2	-4593.88	-1496.85	6266.61
49 	-25581  	-3596.32	-1496.85	3334.59
50 	-17513.8	-3455.1 	-1496.85	2781.17
51 	-17605.1	-3404.71	-1496.85	2910.23
52 	-16157  	-3206.07	-1496.85	2734.18
53 	-14435.5	-3117.54	-1496.85	2430.41
54 	-14372.5	-3026.32	-1496.85	2284.82
55 	-29596  	-3405.04	-1496.85	3116.57
56 	-418481 	-18791.1	-1496.85	79379.9
57 	-420554 	-16981.2	-1496.85	75485  
58 	-420323 	-9516.86	-1496.85	52383.2
59 	-29207.7	-2815.74	-1496.85	2328.39
60 	-29909.4	-3566.52	-1496.85	4316.67
61 	-29551.9	-3630.49	-1496.85	4120.35
62 	-19717  	-2792.15	-1496.85	1211.19
63 	-7483.72	-2551.67	-1496.85	816.215
64 	-7606.97	-2641.49	-1496.85	768.648
65 	-11401.4	-2931.75	-1496.85	1566.71
66 	-9787.74	-2747.55	-1496.85	1408.21
67 	-9277.55	-2580.51	-1496.85	794.737
68 	-6278.84	-2522.62	-1496.85	583.38 
69 	-14655.8	-3676.85	-1496.85	3081.72
70 	-14167.2	-2867.19	-1496.85	1717.15
71 	-8454.67	-2961.43	-1496.85	1315.84
72 	-8653.64	-2514.26	-1496.85	849.782
73 	-8429.51	-2677.56	-1496.85	927.328
74 	-11462.2	-2664.99	-1496.85	1113.28
75 	-8964.75	-2667.69	-1496.85	847.996
76 	-94530.8	-3822.39	-1496.85	10804.1
77 	-94951.9	-4262.14	-1496.85	8330.11
78 	-96606.6	-4363.24	-1496.85	9411.94
79 	-141646 	-4985.42	-1496.85	11945.5
80 	-271147 	-30975.8	-1496.85	53527.2
81 	-134519 	-7101.63	-1496.85	21329.5
82 	-94640.6	-4301.26	-1496.85	10916.2
83 	-95153.8	-4326.47	-1496.85	11641.1
84 	-94719  	-5028.98	-1496.85	11159.6
85 	-33410.1	-2866.37	-1496.85	1896.73
86 	-110893 	-7789.81	-1496.85	21933.1
87 	-110555 	-8705.16	-1496.85	23740.7
88 	-110658 	-9503.21	-1496.85	25389.1
89 	-109921 	-8338.92	-1496.85	23324.5
90 	-112086 	-8177.7 	-1496.85	23793.4
91 	-39607.1	-4146.19	-1496.85	4078.94
92 	-23630.1	-4332.85	-1496.85	3917.22
93 	-13314  	-2598.4 	-1496.85	1389.92
94 	-7706.29	-2505.42	-1496.85	1067.59
95 	-5326.75	-2322.58	-1496.85	514.72 
96 	-10526.5	-2764.51	-1496.85	1344.03
97 	-7564.49	-2483.39	-1496.85	632.578
98 	-4913.7 	-2539.7 	-1496.85	430.648
99 	-5650.21	-2879.19	-1496.85	733.265
