gen	min     	avg     	max     	std    
0  	-69514.6	-7816.54	-3621.4 	6228.14
1  	-69700  	-7643.03	-3621.4 	5713.24
2  	-69693  	-7482.53	-3621.4 	5210.29
3  	-69389.3	-7405.18	-3563.67	5520.92
4  	-69386.3	-7007.81	-3440.74	4842.19
5  	-68612.9	-7054.54	-3404.94	5156.94
6  	-68170.1	-7302.78	-3663.27	6132.57
7  	-68046.1	-6806.95	-3684.44	4212.97
8  	-72401.1	-6959.39	-3602.95	5034.13
9  	-78232  	-7905.61	-3698.53	9873.33
10 	-81901  	-7775.31	-3535.03	8957.87
11 	-81065.1	-8692.49	-3529.01	10495.9
12 	-103048 	-8716   	-3529.01	10528.9
13 	-80010.3	-8417.69	-3529.01	9516.6 
14 	-83153.5	-7709.21	-3459.3 	8124.03
15 	-78725.9	-7754.46	-3514.3 	6299.64
16 	-78843.6	-7643.3 	-3766.81	6181.46
17 	-79002.5	-8146.08	-3638.68	7619.18
18 	-89140  	-8610.03	-3682.16	9341.43
19 	-92166.2	-8503.95	-3571.11	8800.21
20 	-88988.2	-7792.83	-3819.32	8877.46
21 	-97450.6	-8994.85	-3883.27	11046.7
22 	-88842.7	-8090.28	-3690.63	8862.64
23 	-80743.3	-7894.32	-3665.71	7816.36
24 	-98065.9	-8659.11	-3611.51	10002.6
25 	-98116.6	-9022.95	-3538.47	10035  
26 	-98263.5	-8466.83	-3882.21	9341.08
27 	-99352.5	-8287.04	-3694.75	8759.98
28 	-91778.2	-8591.89	-3790.33	8839.85
29 	-88631.8	-7593.3 	-3661.22	7254.46
30 	-89614.5	-6945.86	-3752.2 	6306.98
31 	-89599.2	-7056.91	-3711.28	6484.39
32 	-90006.4	-7844.11	-3743.36	7508.21
33 	-580006 	-14451.3	-3890.07	62446.6
34 	-580436 	-13517.6	-3468.45	62527.2
35 	-584388 	-19042.8	-3765.26	80577.8
36 	-584073 	-13354.4	-3743.31	57365.7
37 	-46918.3	-7028.84	-3645.25	3629.29
38 	-88543.5	-7228.19	-3676.04	6437.13
39 	-87731  	-7362.8 	-3655.04	6700.84
40 	-87697.3	-6903.62	-3572.15	5260.43
41 	-91773.2	-7404.47	-3760.95	5342.32
42 	-59043.1	-7080.38	-3579.77	5403.86
43 	-60309.9	-7660.76	-3545.89	5306.42
44 	-64012  	-7162.41	-3425.96	5304.32
45 	-48136.9	-6795.1 	-3581.23	3732.64
46 	-47377.3	-8059.07	-3604.75	4864.67
47 	-88310.9	-8105.62	-3682.09	5894.37
48 	-92227.1	-7221.13	-3457.2 	6169.35
49 	-48716.8	-7196.65	-3501.37	4612.45
50 	-88685.7	-7070.49	-3568.9 	5566.46
51 	-37389.7	-7661.25	-3512.79	5016.65
52 	-33107.6	-7480.01	-3537.9 	4461.49
53 	-34959.8	-7076.24	-3462.06	4761.14
54 	-32718.6	-7780.25	-3343.12	5513.14
55 	-32387.5	-6571.89	-3579.35	3727.94
56 	-37837.9	-6528.38	-3557.47	4003.04
57 	-41486.9	-8106.71	-3361.82	7524.71
58 	-29737.3	-7127.2 	-3564.74	3687.41
59 	-31250.3	-9931.08	-3704.69	6673.85
60 	-22504.5	-5886.84	-3584.26	2323.86
61 	-23320.9	-5587.51	-3534.71	1893.51
62 	-267508 	-9620   	-3449.18	29893.2
63 	-268442 	-9676.22	-3614.55	31966.2
64 	-258173 	-9533.77	-3503.43	26811  
65 	-296992 	-12061.7	-3483.24	28862  
66 	-257424 	-12666.5	-3706.47	25720.8
67 	-256319 	-10559  	-3534.17	20157  
68 	-87290.6	-5677.83	-3550.61	4128.34
69 	-203703 	-6682.13	-3609.56	10783.4
70 	-202916 	-6666.44	-3394.35	11510.8
71 	-205281 	-6296.97	-3478.12	9072.93
72 	-107669 	-6579.93	-3524.76	5712.47
73 	-104724 	-6818.42	-3413.26	8545.09
74 	-108235 	-7523.04	-3409.61	9317.46
75 	-108277 	-7816.29	-3496.25	10435.8
76 	-201491 	-7496.85	-3810.77	11675.9
77 	-202938 	-7572.05	-3455.71	12693.9
78 	-107571 	-6949.31	-3557.5 	8092.54
79 	-106907 	-6665.55	-3644.04	6768.12
80 	-107108 	-6506.37	-3536.61	6722.56
81 	-106996 	-6315.33	-3516.12	6620.64
82 	-106178 	-8944.87	-3522.42	13142.9
83 	-104101 	-6820.8 	-3703.79	8155.97
84 	-26601.6	-6172.72	-3469.62	2818.64
85 	-39564.7	-7150.07	-3454   	5777.26
86 	-105138 	-10400.8	-3576.4 	13709.3
87 	-76838.1	-9389.23	-3497.93	11034.4
88 	-151645 	-14115.2	-3560.68	25659.9
89 	-148718 	-11183.3	-3801.33	20618.8
90 	-151724 	-12382.7	-3993.9 	25660.3
91 	-106103 	-8302   	-3692.47	8708.06
92 	-107460 	-8275.11	-3672.37	8295.34
93 	-104488 	-6702.22	-3498.52	7177.91
94 	-104193 	-6808.88	-3529.32	7258.38
95 	-103470 	-6515.07	-3437.67	5727.85
96 	-103801 	-6842.09	-3441.32	5547.96
97 	-104542 	-6849.53	-3723.02	5644.43
98 	-31005.7	-6797.57	-3891.49	3684.54
99 	-44923.2	-7139.86	-3677.19	4897.03
