gen	min         	avg     	max     	std        
0  	-202895     	-7940.92	-3910.17	9883.34    
1  	-202895     	-7922.85	-3886.13	10120.1    
2  	-202895     	-7678.11	-3886.13	9864.49    
3  	-202899     	-7906.58	-3629.08	12864.6    
4  	-202899     	-7984.33	-3897.66	12888      
5  	-108254     	-8582.7 	-3994.03	11183      
6  	-111631     	-7799.43	-3977.71	9345.6     
7  	-103623     	-7631.41	-3716.57	8925.71    
8  	-236377     	-12301.5	-3716.57	33643.6    
9  	-1.02918e+07	-294570 	-3557.95	1.69497e+06
10 	-1.02875e+07	-315119 	-3366.76	1.75232e+06
11 	-23559.8    	-7007.74	-3366.76	3179.65    
12 	-30729.2    	-7210.71	-3477.21	3695.39    
13 	-25086.8    	-7099.46	-3440.13	3522.86    
14 	-24751.3    	-7055.87	-3436.48	3466.4     
15 	-36813.3    	-7847.75	-3425.49	5570.14    
16 	-54760.5    	-8629.19	-3425.49	8359.04    
17 	-198654     	-9793.1 	-3502.66	12936.8    
18 	-198640     	-11300.6	-3527.36	16911.8    
19 	-133063     	-13226.6	-3536.83	22798.5    
20 	-216839     	-12404.4	-3664.76	22848.4    
21 	-55367.1    	-8573.79	-3869.85	8748.02    
22 	-201188     	-7643.79	-3549.03	10511.7    
23 	-200436     	-7655.6 	-3669.23	10463.5    
24 	-204725     	-7845.97	-3639.18	13510.5    
25 	-201597     	-8209.21	-3664.65	13826.8    
26 	-200628     	-8412.71	-3496.07	14209.4    
27 	-201721     	-8401.5 	-3716.42	14796.3    
28 	-199553     	-8407.29	-3702.9 	11151.7    
29 	-200428     	-8728.75	-3621.84	12237.1    
30 	-199719     	-9750.34	-3385.93	12669.9    
31 	-199232     	-8309.3 	-3305.37	12351.8    
32 	-203439     	-8816.74	-3572.93	13199.5    
33 	-448876     	-10315.4	-3489.18	36363.1    
34 	-467126     	-9996.09	-3539.92	34901.7    
35 	-469384     	-11614.8	-3546.01	40117.5    
36 	-453354     	-9389.19	-3462.8 	34402.3    
37 	-451991     	-8530.14	-3669.87	28246.9    
38 	-447822     	-8449.41	-3788.21	23425.3    
39 	-447754     	-9280.19	-3669.32	20814.7    
40 	-447538     	-8909.74	-3419.16	22513.8    
41 	-447835     	-8779.97	-3604.57	20804.6    
42 	-447912     	-8079.36	-3402.3 	22088.9    
43 	-448451     	-9146.63	-3570.88	30829.7    
44 	-448947     	-9632.96	-3710.92	31861.4    
45 	-448316     	-8956.22	-3624.42	24790.5    
46 	-198588     	-7413.17	-3511.13	9423.29    
47 	-2.28523e+06	-43703.4	-3598.84	285676     
48 	-2.2842e+06 	-47909.6	-3467.54	302658     
49 	-2.28698e+06	-48242.5	-3615.5 	302833     
50 	-2.28466e+06	-38805.2	-3279.95	267582     
51 	-2.28733e+06	-34619  	-3529.64	248131     
52 	-201183     	-7368.33	-3561.31	9493.15    
53 	-33865.8    	-6468.3 	-3834.14	3345.9     
54 	-201685     	-6429.5 	-3683.51	8856.5     
55 	-198990     	-7173.41	-3431.74	9168.38    
56 	-201098     	-7498.03	-3912.19	9314.49    
57 	-14005      	-6587.53	-3521.73	2173.83    
58 	-22258.1    	-7144.39	-3474.7 	2564.01    
59 	-261946     	-7857.2 	-3571.87	12001.6    
60 	-23726.8    	-6706.37	-3620.64	3352.48    
61 	-261456     	-8159.52	-3906.72	14725.3    
62 	-647323     	-29223  	-3653.86	116229     
63 	-202270     	-7193.31	-3514.83	13109      
64 	-200126     	-6642.85	-3755.12	9224       
65 	-200582     	-6846.54	-3812.7 	9341.94    
66 	-200065     	-6569.46	-3606.79	9475.21    
67 	-200041     	-7536.9 	-3491.22	12357.3    
68 	-199551     	-6475.15	-3529.34	12269.5    
69 	-199532     	-6380.91	-3804.76	12272.3    
70 	-200739     	-6738.45	-3723.96	8831.89    
71 	-11405.7    	-5572.34	-3420.53	1310.08    
72 	-29706.5    	-6420.61	-3669.5 	3753.21    
73 	-199513     	-7043.48	-3632.31	9784.29    
74 	-31106.2    	-7332.25	-3730.95	5023.96    
75 	-33191.8    	-7609.03	-3607.43	5593.38    
76 	-31984.6    	-6950.5 	-3398.45	4261.65    
77 	-31449.7    	-6332.08	-3790.3 	2808.68    
78 	-33338.4    	-5739.83	-3398.21	1929.59    
79 	-33766.4    	-6426.53	-3359.4 	3463.41    
80 	-33272.5    	-5712.43	-3377.77	2045.42    
81 	-17006      	-6091.73	-3606.48	2066.36    
82 	-13970.2    	-5795.33	-3512.14	1545.95    
83 	-153798     	-6942.34	-3457.81	11780.4    
84 	-148537     	-7492.53	-3753.6 	13195.2    
85 	-148822     	-11317.2	-3712.55	15641.6    
86 	-149096     	-10875.1	-3634.38	13708.8    
87 	-148723     	-7051.72	-3542.44	9192.79    
88 	-145339     	-6280.62	-3563.55	6644.85    
89 	-157824     	-7669.45	-3687.89	11916.5    
90 	-155797     	-6027.32	-3205.49	9300.75    
91 	-159400     	-7284.07	-3404.13	13075.9    
92 	-144611     	-6362.48	-3599.62	6589.54    
93 	-145548     	-5854.73	-3493.01	6468.44    
94 	-24887.3    	-6437.39	-3326.17	4661.78    
95 	-27638.5    	-6824.57	-3868.59	3302.86    
96 	-60678.4    	-7021.26	-3520.26	4574.55    
97 	-25874.8    	-6139.94	-3795.06	2647.33    
98 	-29743.9    	-6990.69	-3821.65	3772.66    
99 	-61955.6    	-7388.76	-3441.98	6118.25    
