gen	min         	avg     	max     	std    
0  	-186934     	-8685.19	-3681.67	13939.9
1  	-66095.4    	-7633.09	-3681.67	5726.24
2  	-65999.8    	-7388.37	-3681.67	5504.82
3  	-66000.2    	-7313.21	-3681.67	5385.89
4  	-66000.2    	-7494.31	-3732.38	5822.89
5  	-65914.1    	-7135.29	-3758.02	5002.26
6  	-79725.6    	-7304.29	-3811.33	5779.64
7  	-210896     	-8210.47	-3752.38	10417.1
8  	-210896     	-8629.12	-3774.57	10847.9
9  	-200099     	-8298.31	-3756.65	9722.46
10 	-199830     	-8118.33	-3697.53	9715.75
11 	-64418.4    	-7725.48	-3838.68	4549.6 
12 	-64242.1    	-7678.77	-3750.38	4784.99
13 	-64194.7    	-7441.56	-3663.01	4570.63
14 	-122576     	-9072.91	-3723.91	14733.6
15 	-122288     	-8275.14	-3669.33	11181.9
16 	-122345     	-8923.09	-3572.15	11564.9
17 	-129095     	-8949.85	-3495.63	11393  
18 	-129085     	-9362.67	-3522.15	12299.3
19 	-129361     	-9265.84	-3601.11	11630.8
20 	-48463.3    	-8460.21	-3575.22	7708.75
21 	-89670.6    	-9290.72	-3553.45	12670.2
22 	-140887     	-18227.5	-3627.82	33880.7
23 	-36857.4    	-6790.38	-3390.59	4891.35
24 	-48603.9    	-7218.82	-3597.81	5390.53
25 	-48641.9    	-7223.36	-3623.07	5125.43
26 	-33044.5    	-6533.46	-3670.68	4102.76
27 	-32907.5    	-6396.35	-3710.03	3851.08
28 	-235955     	-6964.19	-3669.46	10995.1
29 	-238789     	-10702.5	-3499.91	29206.3
30 	-48378.5    	-6772   	-3762.72	3693.36
31 	-49270.1    	-7353.51	-3808.54	4537.3 
32 	-100477     	-9000.17	-3810.84	13267.4
33 	-99998.5    	-8585.78	-3961.3 	11605.7
34 	-101387     	-7450.52	-3587.49	10546.3
35 	-31120.6    	-6633.74	-3649.44	3832.45
36 	-29933.9    	-6631.13	-3614.88	3263.22
37 	-30250.4    	-7138.27	-3565.88	3507.71
38 	-30895.4    	-7526.34	-3756.99	4016.63
39 	-27288.1    	-6879.14	-3739.11	3565.53
40 	-25859.1    	-6493.65	-3610.75	2750.26
41 	-41384.7    	-7073.93	-3427.75	5531.43
42 	-41284.8    	-7270.87	-3604.99	4922.82
43 	-53134.9    	-7286.17	-3666.08	5255.46
44 	-37418.6    	-6776.67	-3623.29	4174.44
45 	-204300     	-16855.4	-3680   	42789.9
46 	-35556.7    	-6783.91	-3462.07	4858.3 
47 	-35672.9    	-6766.41	-3257.62	5006.04
48 	-31927.2    	-6518.44	-3308.4 	3908.87
49 	-110130     	-13233.7	-3593.84	22028.2
50 	-87831.9    	-7552.46	-3502.65	6194.61
51 	-223831     	-12700  	-3648.13	35950.9
52 	-222860     	-12584.3	-3635.84	35917.8
53 	-224172     	-12114.9	-3645.26	32431.9
54 	-31151.7    	-7453.63	-3565.05	4372.03
55 	-32551      	-6869.48	-3534.87	4304.76
56 	-40036      	-7649.33	-3512.9 	4771.57
57 	-39414.8    	-7133.31	-3573.49	4588.75
58 	-50968.3    	-9806.19	-3799.59	10221  
59 	-66591.3    	-12572.1	-3724.82	16497.6
60 	-52029.7    	-8668.23	-3709.63	10116.7
61 	-47945.9    	-7657.47	-3754.51	8512.74
62 	-26873      	-7832.15	-3658.27	3484.21
63 	-33245.4    	-7495.98	-3689.9 	5355.5 
64 	-33722.3    	-7589.78	-3470.57	5310.42
65 	-15668.9    	-6479.34	-3483.16	2566.57
66 	-16989.8    	-7092.97	-3721.34	2472.68
67 	-37696      	-7265.62	-3677.44	4954.49
68 	-35960      	-6776.03	-3616.2 	4653   
69 	-32059.9    	-7373.26	-3618.39	4617.57
70 	-19522      	-6978.1 	-3492.58	3116.69
71 	-15257      	-6066.17	-3570.6 	2187.81
72 	-15173      	-6156.05	-3330.15	2059.54
73 	-28917.5    	-7951.31	-3512.34	5774.3 
74 	-29513.8    	-7305.35	-3599.69	5242.27
75 	-27870.1    	-6898.38	-3473.24	5046.48
76 	-27390.4    	-7238.15	-3432.12	5137.71
77 	-18197.7    	-5903.04	-3701.51	1747.91
78 	-79528.5    	-6127.4 	-3476.99	3894.27
79 	-45934.1    	-6170.62	-3463.5 	3953.55
80 	-76249.7    	-7056.58	-3316.67	5631.51
81 	-44666.7    	-6767.41	-3435.03	4233.05
82 	-19796.9    	-6240.44	-3372.13	2186.25
83 	-17051      	-5500.65	-3366.82	1878.09
84 	-76775.3    	-7440.51	-3470.02	8422.84
85 	-45121.3    	-8303.48	-3565.03	6794.68
86 	-26015.5    	-6345.49	-3621.3 	3462.55
87 	-29814      	-7182.45	-3680.54	3604.79
88 	-27069.1    	-7557.31	-3398.66	3811.85
89 	-23717.1    	-6304.57	-3408.6 	3306.18
90 	-5.97251e+06	-18523.1	-3398.82	266564 
91 	-5.97546e+06	-29662.5	-3299.38	376717 
92 	-5.97446e+06	-78789.4	-3614.41	649641 
93 	-5.98452e+06	-128251 	-3519.22	835196 
94 	-5.97538e+06	-127003 	-3673.79	835265 
95 	-5.97456e+06	-41935.9	-3510.13	460867 
96 	-5.9749e+06 	-30052.5	-3437.93	376675 
97 	-5.97272e+06	-18012.6	-3558.02	266577 
98 	-5.9792e+06 	-31445.9	-3603.77	376930 
99 	-5.9737e+06 	-54200.7	-3574.23	531544 
