gen	min         	avg     	max     	std    
0  	-31002.3    	-3470.52	-2427.66	2031.15
1  	-31269.3    	-3419.51	-2392.08	1878.63
2  	-50027.8    	-3449.77	-2395.16	2634.46
3  	-50027.8    	-3434.8 	-2414.52	2595.94
4  	-21832.6    	-3297.77	-2414.52	1464.8 
5  	-52191.6    	-3378.66	-2416.39	2646.36
6  	-30993.8    	-3190.13	-2411.24	1499.67
7  	-30872.7    	-3321.96	-2411.24	2216.52
8  	-35757.3    	-3579.53	-2395.38	2809.76
9  	-30678.7    	-3303.97	-2376.06	2023.93
10 	-30813.8    	-3162.6 	-2366.76	1688.16
11 	-16797.9    	-3153.37	-2338.62	1202.26
12 	-16723.8    	-3328.38	-2338.87	1505.78
13 	-16678.7    	-3026.38	-2377.11	971.366
14 	-16649.9    	-3084.83	-2388.83	1015.83
15 	-16637.2    	-3201.71	-2415.72	1134.51
16 	-10651.3    	-3059.36	-2395.32	926.344
17 	-10844.6    	-3068.25	-2386.94	931.422
18 	-6770.99    	-2894.04	-2386.56	545.7  
19 	-17455.9    	-2958.14	-2359.22	869.359
20 	-16669.6    	-2879.69	-2374.75	818.483
21 	-17575.4    	-3006.31	-2351.66	1078.86
22 	-8032.92    	-3027.8 	-2364.22	816.719
23 	-8044.38    	-2870.65	-2348.45	551.628
24 	-6593.41    	-2846.65	-2335.5 	517.954
25 	-6601.21    	-2806.04	-2322.08	515.814
26 	-6911.03    	-2810.71	-2355.76	513.617
27 	-6891.49    	-2905.46	-2349.52	737.907
28 	-6845.52    	-2750.62	-2318.75	474.791
29 	-7335.23    	-2753.68	-2366.91	477.282
30 	-6441.34    	-2721.55	-2327.29	422.113
31 	-6789.38    	-2852.54	-2324.54	672.552
32 	-6174.9     	-2746.75	-2327.82	513.713
33 	-6254.74    	-2708   	-2310.3 	437.001
34 	-1.05013e+06	-11076.8	-2347.24	93297.4
35 	-1.05007e+06	-9100.81	-2330.5 	80860.5
36 	-1.04984e+06	-9210.31	-2343.23	80845.2
37 	-1.04985e+06	-9096.11	-2330.13	80858.4
38 	-1.0498e+06 	-6973.32	-2331.91	66083.3
39 	-1.04964e+06	-4832.6 	-2308.66	46773.9
40 	-1.04962e+06	-4788.38	-2323.11	46774.9
41 	-1.0502e+06 	-5994.25	-2332.36	47119.7
42 	-1.05007e+06	-5908.2 	-2338.72	47076  
43 	-36609.7    	-3954.18	-2282.26	5911.31
44 	-34245.1    	-3771.27	-2310.48	5513   
45 	-33461.4    	-3394.12	-2311.25	4467.18
46 	-33415.1    	-3352.38	-2328.74	4274.75
47 	-33141.1    	-3308.22	-2321.59	4049.07
48 	-33111.4    	-3072.77	-2282.37	3321.52
49 	-33947.6    	-3392.07	-2316.73	3403.94
50 	-33244.8    	-2959.75	-2290.67	2740.53
51 	-33520      	-3271.81	-2315.49	3150.01
52 	-7548.08    	-2880.74	-2286.12	846.725
53 	-7903.88    	-2715.04	-2314.05	423.653
54 	-7914.36    	-2674.54	-2302.79	347.695
55 	-7464.1     	-2613.1 	-2328.48	301.703
56 	-8905.4     	-2803.34	-2314.87	668.294
57 	-8744.87    	-2799.16	-2315.24	634.923
58 	-20741      	-2879.61	-2284.11	1637.46
59 	-20578.9    	-2853.48	-2284.57	1505.51
60 	-17032.8    	-2853.32	-2286.27	1068.96
61 	-17147.5    	-2992.89	-2266.7 	1609.16
62 	-16498.9    	-2894.56	-2303.12	1183.26
63 	-16387.8    	-2790.59	-2281.39	1010.7 
64 	-7298.37    	-2707.31	-2303.27	727.268
65 	-16245.6    	-2740.9 	-2321.74	958.261
66 	-6550.71    	-2721.88	-2294.67	694.212
67 	-6617.18    	-2652.91	-2290.11	568.412
68 	-16304.8    	-2884.19	-2300.7 	1146.02
69 	-16292      	-2970.86	-2309.48	1178.18
70 	-16481.3    	-3013.78	-2284.84	1583.34
71 	-16396.1    	-3162.08	-2299.61	1918.79
72 	-16303      	-3068.41	-2314.83	1634.07
73 	-16499.4    	-2730.18	-2353.1 	847.512
74 	-16434.3    	-3102.74	-2283.54	1786.1 
75 	-18187.9    	-3931.73	-2327.99	3803.73
76 	-17035.9    	-3438.05	-2333.83	3099.5 
77 	-16264.3    	-2840.37	-2335.1 	744.183
78 	-16267.9    	-2800.84	-2313.23	770.236
79 	-4912.3     	-2730.13	-2308.98	517.179
80 	-16868.1    	-2832.98	-2311.83	845.558
81 	-16358.2    	-2876.48	-2297.87	1090.57
82 	-8304.33    	-2927.01	-2328.23	1000.23
83 	-5260.69    	-2743.15	-2284.06	605.622
84 	-5585.28    	-2754.14	-2283.12	585.833
85 	-5600.11    	-2806.11	-2306.5 	615.038
86 	-3494.18    	-2621.16	-2287.32	220.91 
87 	-3327.63    	-2546.14	-2275.8 	172.798
88 	-3355.11    	-2521.8 	-2298.01	139.73 
89 	-3248.56    	-2597.29	-2285.72	193.387
90 	-3647.11    	-2567.76	-2280.32	180.442
91 	-3423.26    	-2527.89	-2300.52	153.932
92 	-3540.95    	-2532.65	-2275.74	147.837
93 	-7322.82    	-2635.58	-2314.37	719.401
94 	-7821.78    	-2625.35	-2299.45	719.065
95 	-8134.91    	-2788.56	-2277.92	954.042
96 	-8539.92    	-2742.36	-2307.47	670.401
97 	-7934.91    	-2670.41	-2304.95	536.641
98 	-3678.82    	-2511.89	-2301.79	138.352
99 	-3906.82    	-2585.88	-2290.61	239.94 
