gen	min     	avg     	max     	std    
0  	-35974.9	-3557.62	-2401.74	3035.17
1  	-35825.5	-3570.57	-2399.47	3271.21
2  	-35855.5	-3509.52	-2400.51	3113.83
3  	-35825.5	-3332.62	-2380.48	2424.89
4  	-28313.2	-3231.23	-2380.48	2241.31
5  	-28284.6	-3566.23	-2433.02	3061.91
6  	-25498.7	-3201.94	-2399.7 	1509.94
7  	-30947.9	-3569   	-2338.61	3272.33
8  	-30723.8	-3532.32	-2370.45	2674.19
9  	-30725.7	-3236.72	-2369.55	1664.65
10 	-11211.7	-3173.82	-2334.14	1065   
11 	-10674.4	-3099.8 	-2335.84	908.914
12 	-10766.5	-3090.53	-2299.55	909.515
13 	-10413.9	-3052.92	-2315.63	964.676
14 	-10494  	-3043.2 	-2350.2 	969.229
15 	-8344.05	-3004.81	-2332.96	773.034
16 	-6406.42	-3002.23	-2331.8 	727.763
17 	-6519.3 	-2936.36	-2309.23	660.526
18 	-5375.07	-2863.69	-2281.89	493.389
19 	-5380.46	-2863.72	-2260.98	503.123
20 	-6071.42	-2891.3 	-2274.72	575.532
21 	-5267.97	-2836.11	-2274.89	534.136
22 	-5247.53	-2819.33	-2234.18	485.141
23 	-5210.52	-2790.43	-2245.25	422.73 
24 	-5209.18	-2774.17	-2250.09	438.834
25 	-44216.4	-3002.82	-2279.05	2646.9 
26 	-43740.9	-2890.3 	-2242.43	1893.23
27 	-43932.8	-2940.53	-2270.7 	2670.84
28 	-43751.4	-2898.04	-2288.6 	1975.61
29 	-43952.5	-2916.96	-2242.64	2048.03
30 	-43928.5	-2864.54	-2239.42	1977.36
31 	-43853.1	-2892.69	-2271.26	2001.55
32 	-5264.96	-2774.38	-2282.59	485.754
33 	-46707.6	-2872.21	-2265.63	2079.74
34 	-43832.7	-3394.31	-2272.64	3983.41
35 	-44122.9	-3172.01	-2277.49	3293.55
36 	-43914.9	-3128.57	-2283.95	3326.02
37 	-44172  	-3304.27	-2256.1 	3864.36
38 	-43916.6	-3183.5 	-2244.09	3452.21
39 	-45708.3	-3318.51	-2241.22	3887.43
40 	-144499 	-5924.73	-2236.26	17321.4
41 	-103208 	-4900.75	-2246.19	13647.3
42 	-103167 	-4148.45	-2232.55	10436.9
43 	-104449 	-3594.14	-2231.88	9195.27
44 	-104362 	-3880.34	-2198.11	10177  
45 	-104367 	-3677.44	-2223.58	10168  
46 	-103183 	-4010.39	-2240.41	11859.3
47 	-104077 	-3863.92	-2252.74	11033.1
48 	-104062 	-4171.28	-2241.65	12015.8
49 	-104150 	-4334.19	-2259.88	12783.1
50 	-103983 	-4949.82	-2228.21	14879.7
51 	-103938 	-4830.87	-2245.41	14234.7
52 	-104546 	-5276.35	-2243.29	13503.1
53 	-36332  	-3262.69	-2240.09	4735.08
54 	-19279.3	-3782.14	-2272   	4011.94
55 	-4714.3 	-2681.47	-2225.76	390.598
56 	-28019  	-2923.8 	-2264.95	1323.5 
57 	-28471  	-3262.73	-2226.99	2110.7 
58 	-27765.7	-3431.33	-2232.49	2484.02
59 	-27839.1	-3424.42	-2251.07	2523.29
60 	-27268.8	-2600.56	-2233.54	1142.52
61 	-27248.2	-2792.65	-2236.77	1351.51
62 	-16279.3	-2595.91	-2210.93	905.994
63 	-16325.5	-2619.56	-2233.52	893.284
64 	-16375.8	-2602.9 	-2251.3 	896.225
65 	-16322.5	-2597.07	-2242.71	898.286
66 	-4540.05	-2566.87	-2249.69	211.469
67 	-4652.68	-2596.81	-2258.51	266.33 
68 	-16497.8	-2659.99	-2236.5 	798.786
69 	-16633  	-2568.92	-2232.5 	657.66 
70 	-16752.4	-2610.72	-2264.61	677.153
71 	-4781.91	-2565.19	-2233.86	207.216
72 	-3604.24	-2527.4 	-2254.69	178.756
73 	-4770.11	-2688.76	-2267.93	469.955
74 	-37696  	-3320.69	-2248.52	4507.31
75 	-6666.08	-3079.75	-2249.69	752.295
76 	-7306.96	-3199.89	-2240.9 	954.541
77 	-7655.1 	-2955.83	-2227.2 	862.877
78 	-6473.22	-2872.97	-2230.01	773.278
79 	-6177.44	-2703.38	-2214.77	646.321
80 	-11952  	-3632.77	-2260.05	1603.31
81 	-9259.12	-3534.22	-2245.72	1471.89
82 	-8085.7 	-3357.36	-2263.42	1319.85
83 	-7018.58	-2845.52	-2236.19	741.55 
84 	-5615.84	-2625.55	-2222.38	544.506
85 	-4704.62	-2560.38	-2239.12	237.274
86 	-3314.35	-2506.72	-2228.33	161.908
87 	-4735.67	-2545.76	-2226.57	336.526
88 	-3978.36	-2543.93	-2242.56	277.919
89 	-25015.7	-4275.26	-2224.65	6016.96
90 	-4148.09	-2508.09	-2230.69	231.232
91 	-3901.88	-2520.15	-2232.5 	233.864
92 	-3899.96	-2581   	-2241.76	297.376
93 	-3978.56	-2622.49	-2237.42	312.134
94 	-4348.25	-2670.28	-2254.57	333.654
95 	-4806.24	-2633.71	-2251.59	294.293
96 	-11415.9	-2614.57	-2249.38	477.637
97 	-11518.6	-2576.65	-2260.56	595.18 
98 	-12389  	-2825.85	-2256.52	1365.82
99 	-12293.8	-2946.63	-2257.28	1653.04
