gen	min         	avg     	max     	std       
0  	-2.27554e+06	-12827.3	-3777.11	101612    
1  	-2.27554e+06	-12939.7	-3777.11	101630    
2  	-2.27503e+06	-12218.3	-3729.53	101489    
3  	-77765.4    	-7885.66	-3918.68	7059.8    
4  	-77232.8    	-7771.87	-3883.52	6328.89   
5  	-77880.5    	-8152.76	-3812.7 	7608.3    
6  	-77305.6    	-8059.77	-3826.95	7492.38   
7  	-53098      	-7741.24	-3766.41	5696.61   
8  	-53108.6    	-7836.32	-3639.63	5837.61   
9  	-60111.6    	-7694.69	-3579.18	5698.18   
10 	-53088.5    	-7506.76	-3875.79	4359.9    
11 	-67338.4    	-8464.79	-3806.71	8461.88   
12 	-64998.8    	-7718.43	-3587.56	6854.43   
13 	-63471.8    	-7128.28	-3696.96	5070.75   
14 	-70639.1    	-7390.44	-3716.23	6925.27   
15 	-72392.6    	-7278.47	-3728.46	6207.12   
16 	-72217      	-7152.06	-3534.89	5996.69   
17 	-70945.9    	-7389.08	-3570.7 	6175.63   
18 	-280008     	-8846.35	-3544.15	21439.2   
19 	-276661     	-8153.42	-3851.87	17394.8   
20 	-276643     	-8992.75	-3679.16	17911.3   
21 	-276109     	-8523.05	-3623.02	13687.6   
22 	-276303     	-7753.37	-3697.75	13752.6   
23 	-70926.4    	-7234.52	-3542.94	5483.43   
24 	-747437     	-58142.1	-3791.99	183861    
25 	-745728     	-56968.8	-3565.68	183476    
26 	-130886     	-7913.21	-3618.1 	9462.26   
27 	-131240     	-8429.02	-3709.31	12146.9   
28 	-133262     	-8421.53	-3360.92	13293.4   
29 	-131277     	-10889.7	-3795.46	21208.7   
30 	-132993     	-13424.6	-3860.52	22754.1   
31 	-134472     	-8313.14	-3771.78	11566.1   
32 	-134456     	-8238.97	-3753.55	10743.4   
33 	-134463     	-10743.1	-3696.41	12223.7   
34 	-167798     	-7494.65	-3534.53	11542     
35 	-167794     	-8259.6 	-3493.24	13026.3   
36 	-168120     	-8344.94	-3682.74	14003.3   
37 	-168090     	-8674.84	-3474.87	13186.5   
38 	-32316.4    	-6305.98	-3434.5 	3242.17   
39 	-26028.7    	-6622.45	-3461.42	2769.45   
40 	-47966.6    	-6250.89	-3433.75	4184.1    
41 	-47320.3    	-7006.83	-3563.46	5875.59   
42 	-47920.4    	-6739.8 	-3574.24	5558.07   
43 	-48545.6    	-6597.57	-3450.23	5739.03   
44 	-47581.9    	-6031.09	-3554.83	3974.23   
45 	-49048.3    	-6783.72	-3580.85	5287.12   
46 	-56739.5    	-13132.6	-3832.49	14710.1   
47 	-65408.6    	-14831.4	-3849.86	18600.1   
48 	-19564.5    	-6127.15	-3538.01	2439.35   
49 	-43212.7    	-6444.59	-3671.6 	4153.01   
50 	-61545.7    	-10019.8	-3649.32	13196.6   
51 	-62080.2    	-9534.03	-3669.51	12440.1   
52 	-62949.7    	-9249.72	-3609.56	12188.5   
53 	-37349.2    	-7328.29	-3614.21	5729.68   
54 	-69393.8    	-8639.85	-3526.08	10436.2   
55 	-66921.4    	-6541.26	-3730.14	5027.44   
56 	-65080.3    	-6870.04	-3568.7 	4590.11   
57 	-65623.5    	-7043.67	-3513.54	4981.3    
58 	-65479.4    	-7097.12	-3751.54	4533.07   
59 	-29081.2    	-6096.82	-3363.37	2510.55   
60 	-62870.2    	-7384.65	-3770.13	4911.04   
61 	-65995.6    	-7461.62	-3603.96	5357.47   
62 	-66017.7    	-7138.72	-3829.05	4970.84   
63 	-65730.7    	-6995.98	-3652.58	5206.55   
64 	-70340.7    	-6999.23	-3558.11	5928.48   
65 	-62547.5    	-6272.46	-3678.29	4136.57   
66 	-62861.9    	-6586.98	-3627.73	4427.73   
67 	-63239.5    	-6411.83	-3834.5 	3770.11   
68 	-41247.4    	-6503.6 	-3983.93	3458.62   
69 	-41910.1    	-6602.3 	-3643.47	4035.31   
70 	-64108.4    	-8225.76	-3828.9 	7364.95   
71 	-128716     	-6957.73	-3768.18	6790.45   
72 	-128980     	-6456.59	-3758.64	6541      
73 	-129120     	-6537.07	-3694.02	8445.8    
74 	-130594     	-8088.03	-3449.06	10470.2   
75 	-128576     	-8328.88	-3591.02	11263.1   
76 	-128815     	-8459.67	-3575.81	12549.4   
77 	-129818     	-9207.11	-3585.12	12803.9   
78 	-128288     	-6970.27	-3752.81	8660.52   
79 	-128360     	-7317.74	-3644.91	8517.44   
80 	-130105     	-8996.51	-3641.99	12373.6   
81 	-294394     	-15201.1	-3413.07	35227.5   
82 	-177162     	-14991.6	-3657.53	31860.6   
83 	-129713     	-11277.1	-3316.31	10699.2   
84 	-59489.6    	-7815.41	-3579.25	6498.05   
85 	-127909     	-8090.04	-3703.64	7359.61   
86 	-126940     	-6872.76	-3706   	6733.13   
87 	-126535     	-7477.04	-3548.13	7875.57   
88 	-46694.8    	-7948.18	-3584.64	8460.9    
89 	-677994     	-57027.7	-3481.03	169081    
90 	-676845     	-63520.6	-3628.05	179108    
91 	-679274     	-58975.8	-3149.83	173289    
92 	-52524.9    	-7954.91	-3622.05	9052.13   
93 	-48227.7    	-7267.19	-3303.51	8443.42   
94 	-48131.7    	-8821.01	-3726.11	9683.87   
95 	-54166.5    	-9955.49	-3738.6 	9452.91   
96 	-64952.3    	-10179.7	-3688.73	10367.5   
97 	-9.23419e+06	-123307 	-3552.18	1.0003e+06
98 	-9.19277e+06	-83697.6	-3405.95	817952    
99 	-9.22318e+06	-82666  	-3480.75	818739    
