gen	min         	avg     	max     	std    
0  	-912812     	-11470.7	-3748.82	57590.1
1  	-913730     	-15011.8	-3616.42	80909.6
2  	-916194     	-14670.1	-3616.42	80882.4
3  	-917350     	-14478.9	-3616.42	80984.9
4  	-917350     	-14561.8	-3616.42	81011.8
5  	-912747     	-9281.9 	-3457.18	40884  
6  	-912950     	-10677.2	-3411.7 	57283.8
7  	-912950     	-10632.4	-3405.14	57328.1
8  	-914045     	-10829.5	-3404.4 	57396  
9  	-914013     	-10797.4	-3416.14	57273.2
10 	-914013     	-10646.7	-3457.18	57315.5
11 	-30664.7    	-6983.79	-3577.5 	3122.64
12 	-31327.6    	-6903.25	-3557.69	3646.19
13 	-30162.6    	-6775.21	-3848.37	3180.49
14 	-27647.5    	-7242.23	-3577.41	3900.86
15 	-30041.2    	-7276.26	-3811.9 	3707.3 
16 	-25241.7    	-7322.16	-3820.07	3842.59
17 	-21878.5    	-7271.76	-3854.42	3596.73
18 	-22181.6    	-6793.63	-3662.75	3448.37
19 	-22329.4    	-6677.12	-3772.03	3441.22
20 	-239884     	-7752.55	-3468.02	16617.6
21 	-228060     	-7548.84	-3368.23	15243.3
22 	-185598     	-7460.32	-3425.16	13986.2
23 	-185525     	-8441.23	-3594.3 	17916.8
24 	-194563     	-9572.47	-3738.58	22709.7
25 	-194668     	-10202.8	-3561.83	25250.4
26 	-225112     	-10476.5	-3648.28	26010.5
27 	-224895     	-10800  	-3696.97	28127.3
28 	-224859     	-10911.5	-3730.36	28073.1
29 	-224932     	-9863.96	-3630.49	26744.8
30 	-224842     	-7034.61	-3471.09	10181.9
31 	-224708     	-7247.19	-3462.61	10170.8
32 	-224452     	-7468.76	-3605.28	10185.6
33 	-223612     	-7998.6 	-3658.35	14108.2
34 	-16664.4    	-6529.92	-3527.52	2578.67
35 	-223978     	-7049.94	-3651.97	10039  
36 	-16079.8    	-6946.4 	-3325.37	2436.96
37 	-228520     	-6981.34	-3403.7 	10227.8
38 	-613165     	-53203.3	-3285.14	127314 
39 	-234642     	-9197.45	-3340.82	15021.9
40 	-222629     	-7432.9 	-3578.1 	10131.5
41 	-223049     	-6786.29	-3686.85	10074.6
42 	-259546     	-10678.5	-3706.1 	29327.9
43 	-262715     	-9046.23	-3364.19	23674.5
44 	-177202     	-6694.05	-3392.93	8219.42
45 	-177329     	-6051.7 	-3438.17	8124.05
46 	-177691     	-6257   	-3409.73	8343.62
47 	-177917     	-6836.49	-3374.64	8581.34
48 	-27370      	-6859.16	-3373.21	3996.45
49 	-39884.5    	-7725.91	-3754.65	5491.05
50 	-40242.3    	-7701.16	-3328.28	5020.8 
51 	-40407.7    	-7137.73	-3554.34	4481.71
52 	-64086      	-8607.3 	-3770.1 	7227.08
53 	-50380.4    	-9970.36	-3585.85	7828.39
54 	-40328      	-7821.88	-3773.19	6444.99
55 	-38633.2    	-5892.27	-3468.82	2413.58
56 	-38787.3    	-5940.81	-3865.24	2095.05
57 	-39030.1    	-5773.3 	-3735.38	2219.21
58 	-38983.4    	-5901.59	-3631.03	2181.95
59 	-38205.5    	-6760.57	-3644.45	3618.01
60 	-92645.1    	-6307.34	-3650.45	6006.47
61 	-92559.7    	-6315   	-3514.66	6993.63
62 	-92552.4    	-5782.33	-3506.34	4235.77
63 	-97384      	-6180.63	-3560.1 	4548.06
64 	-90620.7    	-7694.71	-3674.04	4794.79
65 	-92060.7    	-7307.2 	-3531.32	4885.47
66 	-88020      	-8660.96	-3551.49	12144.9
67 	-279111     	-9183.37	-3528.23	27174.1
68 	-90467.4    	-7412.02	-3523.67	7066.7 
69 	-23386.4    	-6473.68	-3606.88	2868.14
70 	-23313.2    	-6839.03	-3495.51	2991.19
71 	-26759.1    	-7256.1 	-3755.2 	3450.05
72 	-26164.7    	-6323.82	-3685.33	3241.72
73 	-19586      	-6021.52	-3782.26	1733.92
74 	-33776.6    	-6966.76	-3556.38	4617.7 
75 	-38884.3    	-9046.77	-3454.34	6535.75
76 	-15987      	-6062.01	-3683.87	1722   
77 	-46053.2    	-6714.73	-3734.43	3685.74
78 	-48762.5    	-6293.04	-3536.1 	3075.68
79 	-1.23325e+06	-10812.8	-3603.13	77521.1
80 	-1.23846e+06	-13726.2	-3562.62	94884.2
81 	-1.23842e+06	-11849.6	-3821.41	77607.4
82 	-1.23822e+06	-8311.5 	-3554.43	55082.8
83 	-1.24139e+06	-13170.7	-3904.96	77651.3
84 	-1.23467e+06	-14171.4	-3892.55	55800.4
85 	-1.23327e+06	-14436.8	-3836.84	78063.7
86 	-1.23323e+06	-15094.5	-3575.05	78118.5
87 	-53342.5    	-7020.4 	-3560.45	6377.35
88 	-55968.3    	-8976.12	-3741.9 	10616.4
89 	-55813.9    	-6840.7 	-3480.83	6572.79
90 	-63247.8    	-9599.21	-3414.14	7374.97
91 	-52024      	-6300.79	-3607.89	4748.89
92 	-50291      	-6493.53	-3641.99	4056.77
93 	-50282.6    	-6856.49	-3671.83	4996.06
94 	-50638.3    	-7236.06	-3763.79	6130.03
95 	-15388.9    	-6350.31	-3665.26	2182.45
96 	-17084.8    	-6527.5 	-3727.09	2416.52
97 	-177550     	-12328.8	-3655.79	24753.2
98 	-166669     	-9362.28	-3777.35	16552.5
99 	-184145     	-14628.6	-3634.86	32749.5
