gen	min     	avg     	max     	std    
0  	-153310 	-8676.26	-3624.36	11107.6
1  	-142924 	-9034.28	-3624.36	11844.1
2  	-142924 	-8532.95	-3624.36	10660.4
3  	-75468.6	-8095.82	-3647.06	8174.48
4  	-86902.2	-8652.26	-3691.31	10226.4
5  	-92504.7	-9167.68	-3691.31	11697.8
6  	-92504.7	-10470.1	-3592.7 	13949.9
7  	-76602.6	-9936.63	-3592.7 	12314.1
8  	-77013.9	-8622.63	-3432.1 	9010.66
9  	-76783.1	-9372.12	-3458.9 	10681.5
10 	-79394  	-9104.08	-3479.1 	10649.2
11 	-78041.7	-9029.82	-3483.54	10424.5
12 	-121483 	-14840.4	-3413.15	26150.1
13 	-88568.8	-8523.22	-3413.75	9946.69
14 	-88834.1	-8188.48	-3537.76	9048.82
15 	-64491.2	-7171.57	-3654.39	5866.88
16 	-64766.6	-6903.58	-3602.54	4768.74
17 	-64666.4	-6690.85	-3751.15	4591.35
18 	-62545.4	-6480.26	-3731.24	4317.94
19 	-26875.4	-5991.2 	-3527.29	2248.96
20 	-390640 	-19012.9	-3629.08	66050.1
21 	-20512.5	-6432.52	-3630.49	2547.36
22 	-29077.8	-6886.72	-3698.57	2836.1 
23 	-31325.8	-6804.33	-3693.34	2437.8 
24 	-39666.4	-6696.61	-3713.66	2792.6 
25 	-21654.8	-6441.07	-3720.68	2187.34
26 	-21982.2	-6486.55	-3681.73	2463.98
27 	-21416  	-6410.22	-3519.44	2339.74
28 	-21635.7	-6456.23	-3743.39	2186.92
29 	-22777.2	-6884.53	-3851   	2402.48
30 	-27307.4	-6455.34	-3587.49	3297.95
31 	-31238  	-6559.43	-3573.24	3208.07
32 	-23876  	-6163.04	-3598.27	2314.73
33 	-24130.1	-6605.58	-3659.48	2582.53
34 	-19893.3	-6501.82	-3695.08	2544.56
35 	-21265.8	-6461.44	-3659.25	2900.06
36 	-80496.2	-7118.64	-3447.9 	7187.74
37 	-21651.4	-7078.86	-3632.8 	3336.37
38 	-44026.2	-8068.26	-3752.53	6919.04
39 	-49843.3	-8115.9 	-3375.35	7515.18
40 	-47020.7	-7922.6 	-3522.62	7157.35
41 	-41816.3	-6787.88	-3573.87	4087.99
42 	-201181 	-9564.39	-3482.12	22727.5
43 	-24558.9	-6255.21	-3471.61	2534.61
44 	-33343.7	-6946.07	-3436.77	4517.82
45 	-199700 	-11803.6	-3683.6 	29113.1
46 	-206376 	-11964.4	-3705.14	26403.9
47 	-30157.4	-6392.74	-3609.33	3907.65
48 	-36832.7	-8028.73	-3642.19	6859.01
49 	-34112  	-8392.88	-3743.1 	6437.05
50 	-34930  	-8127.75	-3415.43	6183.52
51 	-39068.9	-7779.89	-3613.47	4718.42
52 	-33363  	-7928.81	-3559.06	4659.19
53 	-28380  	-6569.35	-3407.65	3353.56
54 	-34644.7	-6755.62	-3392.33	3555.99
55 	-31131.9	-6645.52	-3517.16	3154.6 
56 	-30235.9	-6116.67	-3623.64	2789.78
57 	-17730.3	-5893   	-3490.08	1901.01
58 	-15745.4	-5930.1 	-3536.79	1827.25
59 	-24924.8	-5837.33	-3544.24	2928.72
60 	-36963.6	-7122.14	-3667.82	5103.72
61 	-24990.2	-6383.92	-3576.96	3079.14
62 	-25863.2	-6035.24	-3572.65	2440.32
63 	-49644.2	-7111.6 	-3574.2 	7452.83
64 	-22858.5	-5590.44	-3610.17	1665.43
65 	-24282.9	-5945.82	-3593.81	2080.03
66 	-22963  	-5620.14	-3586.83	1563.56
67 	-25456.2	-5937.69	-3728.94	1636.92
68 	-16519.9	-6011.82	-3340.27	2114.91
69 	-31298.4	-7694.37	-3568.05	6437.68
70 	-15013.5	-5702.62	-3446.1 	1669.26
71 	-18268.8	-5925.54	-3401.79	1914.36
72 	-18188.2	-6774.3 	-3271.05	2439.02
73 	-22512.4	-6621.16	-3581.28	2759.42
74 	-28615.1	-6969.98	-3496.95	3444.36
75 	-15178.2	-6482.04	-3679.65	2136.32
76 	-15449.2	-6633.15	-3712.23	2241.58
77 	-14837  	-5890.54	-3626.69	1721.7 
78 	-15606.3	-5512.54	-3439.05	1277.08
79 	-26926.4	-8433.54	-3343.41	6207.65
80 	-24619.2	-7305.28	-3584.91	5058.16
81 	-203644 	-12580.4	-3660.45	29526.8
82 	-197133 	-11050.4	-3655.74	24087.4
83 	-68114.6	-10198.5	-3320.35	14259.3
84 	-73782  	-10346.7	-3528.48	13761.4
85 	-21454.5	-7266.07	-3635.81	2525.56
86 	-26658.3	-7596.81	-3577.86	4183.19
87 	-24338.1	-6660.31	-3544.22	3348.17
88 	-24742.5	-6755.47	-3579.45	3499.3 
89 	-24979.9	-6370.1 	-3688.74	2832.97
90 	-34053  	-9115.56	-3762.08	4623.03
91 	-25181.7	-6580.07	-3485.72	3229.77
92 	-224884 	-10213.5	-3497.99	29013.9
93 	-224474 	-9893.08	-3626.92	29022.4
94 	-224155 	-8985.16	-3675.65	25658.7
95 	-232953 	-9560.18	-3522.91	29171.3
96 	-224329 	-9664.51	-3427.2 	24157.4
97 	-42928.6	-5972.56	-3301.25	5087.54
98 	-43007.4	-6409.97	-3306.2 	5725.53
99 	-44243.9	-6345.29	-3365.73	5175.72
