gen	min         	avg     	max     	std        
0  	-93433.7    	-8464   	-3773.78	8622.68    
1  	-1.24349e+07	-107850 	-3773.78	1.10699e+06
2  	-1.24349e+07	-132737 	-3684.24	1.23638e+06
3  	-1.24349e+07	-115022 	-3684.24	1.11793e+06
4  	-1.24344e+07	-65186.3	-3836.72	800171     
5  	-95649.3    	-8208.12	-3836.72	8621.56    
6  	-86252.5    	-8073.64	-3688.47	8411.79    
7  	-86156.5    	-8060.6 	-3684.78	8912.73    
8  	-147680     	-9041.48	-3729.84	12926.5    
9  	-147296     	-8011.49	-3995.67	10625.1    
10 	-147734     	-7947.74	-3793.24	8706.27    
11 	-37659.3    	-7556.8 	-3578.83	4758.79    
12 	-43953.2    	-7537.49	-3568.28	4791.86    
13 	-43937.5    	-7698.12	-3518.48	5019.84    
14 	-130079     	-7580.61	-3819.74	9976.02    
15 	-128536     	-7199.57	-3750.57	8397.25    
16 	-35560.4    	-6482.98	-3719.06	2703.86    
17 	-36281      	-6395.8 	-3481.09	3134.51    
18 	-47269.8    	-7394.67	-3583.01	5479.56    
19 	-38088.4    	-6876.87	-3659.66	4414.61    
20 	-38318.1    	-6830.81	-3499.21	4367.14    
21 	-37874.4    	-7405.18	-3572.25	5355.39    
22 	-374833     	-18924.4	-3648.28	61993.2    
23 	-375888     	-19424.7	-3765.79	63963.5    
24 	-40145.3    	-8432.41	-3525.88	7308.65    
25 	-42200.6    	-8208.62	-3613.02	6526.06    
26 	-43311.4    	-7990.46	-3624.86	6156.58    
27 	-43435.7    	-8733.8 	-3620.46	7069.36    
28 	-44302.1    	-7394.63	-3691.18	4792.44    
29 	-43437.8    	-8142.26	-3550.52	6041.17    
30 	-572025     	-22557  	-3498.75	89855.3    
31 	-574250     	-22224.1	-3557.65	89927.6    
32 	-588753     	-18326  	-3515.32	79730.9    
33 	-575751     	-16138.9	-3685.86	61927.4    
34 	-579906     	-17092.2	-3584.89	66577.7    
35 	-580414     	-23470.8	-3288.39	86666.4    
36 	-580922     	-20554.5	-3597.25	83291.3    
37 	-579499     	-22698.1	-3388.47	74876.8    
38 	-581787     	-14933.1	-3336.24	66922.2    
39 	-580895     	-20011.9	-3295.29	66032.7    
40 	-580459     	-17666.8	-3473.88	70740.1    
41 	-580452     	-15580.1	-3642.24	64163.5    
42 	-572275     	-13913.5	-3597.33	58204.6    
43 	-573636     	-14423.9	-3610.22	63423      
44 	-203585     	-7424.72	-3786.59	12780.8    
45 	-22598.5    	-6881.86	-3703   	2957.66    
46 	-205454     	-7459.27	-3460.6 	9377.47    
47 	-203869     	-7850.49	-3592.65	9487.98    
48 	-19178.2    	-6086.83	-3597.64	1921.32    
49 	-16216.4    	-5766.58	-3506.31	1643.28    
50 	-18420.8    	-5846.07	-3389.59	2042.95    
51 	-28376.6    	-6675.73	-3585.86	3045.9     
52 	-23553.9    	-6750.67	-3623.5 	2998.23    
53 	-22202.3    	-6965.43	-3750.85	3041.03    
54 	-64408.1    	-8940.56	-3685.77	12039.5    
55 	-58495.6    	-8725.97	-3490.64	10657.2    
56 	-54291.8    	-7666.2 	-3560.36	6428.99    
57 	-52190.7    	-7465.9 	-3568.17	6236.4     
58 	-60581.9    	-8326.68	-3642.78	9294.24    
59 	-268604     	-32487.9	-3640.42	70735.7    
60 	-107095     	-12327.6	-3403.24	17901.6    
61 	-62001.1    	-10600.5	-3458.77	14176      
62 	-71687      	-10442.6	-3764.67	13152.9    
63 	-118145     	-12919.5	-3516.39	25159      
64 	-130732     	-15684  	-3498.43	25521.5    
65 	-98348.3    	-18004.5	-3427.76	24465.3    
66 	-27094.7    	-7849.09	-3286.29	4924.82    
67 	-30013.2    	-7309.54	-3589.27	4819.21    
68 	-30345.8    	-8149.02	-3621.8 	5901.74    
69 	-19945.4    	-7433.89	-3595.52	2829.4     
70 	-14173.8    	-6379.97	-3565.72	2054.84    
71 	-101807     	-7104.37	-3415.39	8591.16    
72 	-100797     	-6705.53	-3474.72	7568.38    
73 	-101141     	-7304.8 	-3392.31	6924.69    
74 	-99632.8    	-6802.39	-3511.63	7364.52    
75 	-99329.2    	-5915.86	-3596.57	4733.81    
76 	-99709.3    	-6759.27	-3702.93	6995.94    
77 	-38632      	-6014.93	-3392.1 	4381.4     
78 	-518595     	-62984.6	-3525.25	144008     
79 	-100600     	-6356.73	-3528.07	5188.46    
80 	-48245.1    	-5722.72	-3454.74	2793.41    
81 	-48571.9    	-6101.39	-3504.71	2933.92    
82 	-48428.6    	-5907.9 	-3320.42	3032.1     
83 	-50618.8    	-7549.84	-3424.44	5903.62    
84 	-100621     	-6806.38	-3645.61	6194.63    
85 	-107749     	-9163.38	-3635.62	7816       
86 	-105473     	-12070.2	-3567.89	12063.3    
87 	-99158.3    	-7277.28	-3549.46	7352.32    
88 	-101578     	-8809.23	-3509.89	8386.97    
89 	-101328     	-8132.27	-3291.79	8119.51    
90 	-99453.5    	-6033.97	-3389.57	5762.75    
91 	-99671.4    	-6728.88	-3527.85	5533.82    
92 	-99378.2    	-20926  	-3490.24	26308.9    
93 	-99632.1    	-22032.7	-3332.75	26729.7    
94 	-27032.8    	-8863.74	-3461.51	4877.25    
95 	-99111.9    	-9493.6 	-3610.05	6715.25    
96 	-99866.3    	-7649.58	-3392.42	6387.52    
97 	-56551.4    	-7142.04	-3656.77	5023.13    
98 	-57669      	-8485.39	-3421.94	9174.37    
99 	-93700.8    	-14194.7	-3591.89	14793.4    
