gen	min         	avg         	max     	std        
0  	-112445     	-7937.48    	-3784.56	7685.44    
1  	-112445     	-8372.65    	-3784.56	9011.06    
2  	-126503     	-8539.56    	-3784.56	9804.73    
3  	-126503     	-7899.43    	-3784.56	7861.53    
4  	-127013     	-7716.33    	-3897.58	6994.29    
5  	-126998     	-7534.23    	-3884.66	7274.76    
6  	-47297.9    	-7270.11    	-3872.7 	5079.8     
7  	-47248.2    	-7508.02    	-3872.7 	5118.24    
8  	-413477     	-7930.49    	-3911.24	18566.8    
9  	-415027     	-7438.2     	-3979.5 	18527      
10 	-415012     	-7341.74    	-3583.81	18444.9    
11 	-412157     	-7412.82    	-3552.47	18354.5    
12 	-33249.8    	-6679.75    	-3872.27	2666.37    
13 	-25692.3    	-6445.61    	-3757.32	2178.76    
14 	-50452.3    	-7445.34    	-3805.7 	6211.23    
15 	-50762.2    	-7713.76    	-3710.63	6930.46    
16 	-49892.7    	-7688.75    	-3671.05	6757.94    
17 	-31864.3    	-6968.87    	-3547.12	4161.43    
18 	-71250.7    	-7039.51    	-3577.78	6328.19    
19 	-71001.6    	-7911.51    	-3616.93	6588.65    
20 	-142596     	-12487      	-3573.56	24704.5    
21 	-497287     	-20059.1    	-3676.59	76700.2    
22 	-493599     	-16889.8    	-3659.8 	67631.4    
23 	-494617     	-16360.8    	-3588.95	67444      
24 	-503611     	-22367.7    	-3455.37	85024.8    
25 	-497291     	-32574.3    	-3580.32	106650     
26 	-488952     	-23232.7    	-3479.9 	87160.8    
27 	-24130.4    	-7260.41    	-3402.48	3982.68    
28 	-42403.1    	-6304.43    	-3412.53	3015.83    
29 	-21907.2    	-5718.2     	-3336.13	2390.17    
30 	-1.86773e+07	-864518     	-3518.26	3.91079e+06
31 	-1.86767e+07	-976437     	-3452.95	4.14504e+06
32 	-1.86891e+07	-1.23805e+06	-3477.99	4.63552e+06
33 	-1.86814e+07	-1.08947e+06	-3562.95	4.36376e+06
34 	-29292.1    	-6441.31    	-3425.32	4099.01    
35 	-134210     	-6841.26    	-3564.9 	7115.19    
36 	-29460.9    	-6337.22    	-3574.61	3960.55    
37 	-138836     	-7025.1     	-3489.75	7481.76    
38 	-135088     	-7486.5     	-3320.97	9612.99    
39 	-133983     	-7842.74    	-3607.1 	10978      
40 	-132226     	-7335.17    	-3304.71	9334.39    
41 	-32057.1    	-6848.03    	-3342.53	4691.36    
42 	-21293.6    	-5933.44    	-3462.85	2412.4     
43 	-20889.7    	-6185.73    	-3449.1 	2720.05    
44 	-24420.2    	-6104.92    	-3513.53	2936.8     
45 	-19846.4    	-5810.61    	-3389.13	2308.32    
46 	-54673.4    	-6318.06    	-3259.49	6162.75    
47 	-51074.1    	-6459.13    	-3362.17	4660.91    
48 	-119978     	-9431.35    	-3172.82	16771.6    
49 	-48940.7    	-7141.11    	-3183.25	6766.16    
50 	-45195      	-7606.57    	-3539.08	7554.97    
51 	-47346.4    	-8114.47    	-3548.14	7735.08    
52 	-45377.4    	-7561.56    	-3601.88	4196.56    
53 	-35963.1    	-7047.61    	-3708.76	3874.64    
54 	-28257.7    	-7095.43    	-3567.03	4138.29    
55 	-30222.1    	-6067.83    	-3454.35	2811.04    
56 	-28448.8    	-6104.26    	-3684.61	2843.12    
57 	-35011      	-7261.07    	-3449.09	4637.32    
